ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.15,-0.6,9.88,-0.04,0.0,-0.03,0.0,0.0,0.0,16,2019-04-29 17:21:51:647
-0.15,-0.6,9.88,-0.04,0.0,-0.03,0.0,0.0,0.0,22,2019-04-29 17:21:51:653
-0.15,-0.6,9.88,-0.04,0.0,-0.03,0.0,0.0,0.0,26,2019-04-29 17:21:51:657
-0.27,-0.73,9.95,-0.17,-0.13,0.03,0.0,0.0,0.0,31,2019-04-29 17:21:51:662
-0.27,-0.73,9.95,-0.17,-0.13,0.03,0.0,0.0,0.0,37,2019-04-29 17:21:51:668
-0.27,-0.73,9.95,-0.17,-0.13,0.03,0.0,0.0,0.0,42,2019-04-29 17:21:51:673
-0.27,-0.73,9.95,-0.17,-0.13,0.03,0.0,0.0,0.0,47,2019-04-29 17:21:51:678
-0.23,-0.75,9.99,-0.11,-0.16,0.07,0.0,0.0,0.0,51,2019-04-29 17:21:51:682
-0.23,-0.75,9.99,-0.11,-0.16,0.07,0.0,0.0,0.0,56,2019-04-29 17:21:51:687
-0.23,-0.75,9.99,-0.11,-0.16,0.07,0.0,0.0,0.0,62,2019-04-29 17:21:51:693
-0.23,-0.75,9.99,-0.11,-0.16,0.07,0.0,0.0,0.0,67,2019-04-29 17:21:51:698
-0.23,-0.58,9.89,-0.14,0.0,-0.03,0.0,0.0,0.0,72,2019-04-29 17:21:51:703
-0.23,-0.58,9.89,-0.14,0.0,-0.03,0.0,0.0,0.0,77,2019-04-29 17:21:51:708
-0.23,-0.58,9.89,-0.14,0.0,-0.03,0.0,0.0,0.0,81,2019-04-29 17:21:51:712
-0.13,-0.69,9.99,0.0,0.07,-0.08,0.0,0.0,0.0,87,2019-04-29 17:21:51:718
-0.13,-0.69,9.99,0.0,0.07,-0.08,0.0,0.0,0.0,91,2019-04-29 17:21:51:722
-0.13,-0.69,9.99,0.0,0.07,-0.08,0.0,0.0,0.0,96,2019-04-29 17:21:51:727
-0.13,-0.69,9.99,0.0,0.07,-0.08,0.0,0.0,0.0,102,2019-04-29 17:21:51:733
-0.13,-0.69,9.99,0.0,0.07,-0.08,0.0,0.0,0.0,107,2019-04-29 17:21:51:738
-0.02,-0.49,9.89,0.05,0.09,-0.04,0.0,0.0,0.0,111,2019-04-29 17:21:51:742
-0.02,-0.49,9.89,0.05,0.09,-0.04,0.0,0.0,0.0,117,2019-04-29 17:21:51:748
-0.02,-0.49,9.89,0.05,0.09,-0.04,0.0,0.0,0.0,122,2019-04-29 17:21:51:753
-0.02,-0.49,9.89,0.05,0.09,-0.04,0.0,0.0,0.0,126,2019-04-29 17:21:51:757
0.0,-0.58,10.02,0.08,0.0,0.09,0.0,0.0,0.0,131,2019-04-29 17:21:51:762
0.0,-0.58,10.02,0.08,0.0,0.09,0.0,0.0,0.0,136,2019-04-29 17:21:51:767
0.0,-0.58,10.02,0.08,0.0,0.09,0.0,0.0,0.0,142,2019-04-29 17:21:51:773
0.0,-0.58,10.02,0.08,0.0,0.09,0.0,0.0,0.0,147,2019-04-29 17:21:51:778
-0.05,-0.58,9.99,0.04,0.0,0.05,0.0,0.0,0.0,151,2019-04-29 17:21:51:782
-0.05,-0.58,9.99,0.04,0.0,0.05,0.0,0.0,0.0,157,2019-04-29 17:21:51:788
-0.05,-0.58,9.99,0.04,0.0,0.05,0.0,0.0,0.0,161,2019-04-29 17:21:51:792
-0.05,-0.58,9.99,0.04,0.0,0.05,0.0,0.0,0.0,167,2019-04-29 17:21:51:798
-0.08,-0.55,9.93,0.02,0.03,0.0,0.0,0.0,0.0,172,2019-04-29 17:21:51:803
-0.08,-0.55,9.93,0.02,0.03,0.0,0.0,0.0,0.0,176,2019-04-29 17:21:51:807
-0.08,-0.55,9.93,0.02,0.03,0.0,0.0,0.0,0.0,182,2019-04-29 17:21:51:813
-0.1,-0.56,9.93,0.0,0.02,0.0,0.0,0.0,0.0,187,2019-04-29 17:21:51:818
