ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-8.55,5.76,0.45,0.0,0.0,-0.01,6,1559244044.251
-8.24,5.43,0.6,-0.01,0.0,-0.01,12,1559244044.257
-8.24,5.43,0.6,-0.01,0.0,-0.01,16,1559244044.261
-8.24,5.43,0.6,-0.01,0.0,-0.01,21,1559244044.266
-8.24,5.43,0.6,-0.01,0.0,-0.01,26,1559244044.271
-8.66,5.7,0.51,-0.01,0.0,-0.01,31,1559244044.276
-8.66,5.7,0.51,-0.01,0.0,-0.01,36,1559244044.281
-8.66,5.7,0.51,-0.01,0.0,-0.01,41,1559244044.286
-8.66,5.7,0.51,-0.01,0.0,-0.01,46,1559244044.291
-8.44,5.57,0.38,-0.01,0.01,-0.01,51,1559244044.296
-8.44,5.57,0.38,-0.01,0.01,-0.01,57,1559244044.302
-8.44,5.57,0.38,-0.01,0.01,-0.01,62,1559244044.307
-8.44,5.57,0.38,-0.01,0.01,-0.01,66,1559244044.311
-8.4,5.48,0.53,-0.01,0.01,-0.01,71,1559244044.316
-8.4,5.48,0.53,-0.01,0.01,-0.01,77,1559244044.322
-8.4,5.48,0.53,-0.01,0.01,-0.01,81,1559244044.326
-8.4,5.48,0.53,-0.01,0.01,-0.01,86,1559244044.331
-8.4,5.48,0.53,-0.01,0.01,-0.01,91,1559244044.336
-8.53,5.57,0.5,0.0,0.01,-0.01,96,1559244044.341
-8.53,5.57,0.5,0.0,0.01,-0.01,101,1559244044.346
-8.53,5.57,0.5,0.0,0.01,-0.01,108,1559244044.353
-8.47,5.52,0.48,0.0,0.01,-0.01,111,1559244044.356
-8.47,5.52,0.48,0.0,0.01,-0.01,116,1559244044.361
-8.47,5.52,0.48,0.0,0.01,-0.01,122,1559244044.367
-8.47,5.52,0.48,0.0,0.01,-0.01,126,1559244044.371
-8.47,5.52,0.48,0.0,0.01,-0.01,131,1559244044.376
-8.47,5.52,0.48,0.0,0.01,-0.01,136,1559244044.381
-8.51,5.49,0.44,0.0,0.01,-0.01,141,1559244044.386
-8.51,5.49,0.44,0.0,0.01,-0.01,146,1559244044.391
-8.51,5.49,0.44,0.0,0.01,-0.01,151,1559244044.396
-8.51,5.49,0.44,0.0,0.01,-0.01,156,1559244044.401
-8.57,5.63,0.4,0.0,0.0,-0.01,161,1559244044.406
-8.57,5.63,0.4,0.0,0.0,-0.01,166,1559244044.411
-8.57,5.63,0.4,0.01,0.0,0.0,172,1559244044.417
-8.57,5.63,0.4,0.01,0.0,0.0,176,1559244044.421
-8.7,5.44,0.1,0.01,0.0,0.0,181,1559244044.426
-8.7,5.44,0.1,0.01,0.0,0.0,186,1559244044.431
-8.68,5.44,0.49,0.01,0.0,0.0,192,1559244044.437
-8.68,5.44,0.49,0.01,0.0,0.0,196,1559244044.441
-8.68,5.44,0.49,0.01,0.0,0.0,201,1559244044.446
-8.68,5.44,0.49,0.01,0.0,0.0,206,1559244044.451
-8.68,5.44,0.49,0.01,0.0,0.0,211,1559244044.456
-8.68,5.44,0.49,0.01,0.0,0.0,216,1559244044.461
-8.61,5.61,0.28,0.01,0.0,0.01,223,1559244044.468
-8.61,5.61,0.28,0.01,0.0,0.01,226,1559244044.471
-8.61,5.61,0.28,0.01,0.0,0.01,231,1559244044.476
-8.61,5.61,0.28,0.01,0.0,0.01,236,1559244044.481
