ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.38,-9.33,0.13,0.0,0.0,-0.01,4,1559243532.523
-3.38,-9.33,0.13,0.0,0.0,-0.01,9,1559243532.528
-3.38,-9.33,0.13,0.0,0.0,-0.01,15,1559243532.534
-3.38,-9.33,0.13,0.0,0.0,-0.01,20,1559243532.539
-3.35,-9.35,0.14,0.0,0.0,-0.01,24,1559243532.543
-3.35,-9.35,0.14,0.0,0.0,-0.01,29,1559243532.548
-3.35,-9.35,0.14,0.0,0.0,-0.01,34,1559243532.553
-3.35,-9.35,0.14,0.0,0.0,-0.01,39,1559243532.558
-3.4,-9.32,0.05,0.0,0.0,-0.01,44,1559243532.563
-3.4,-9.32,0.05,0.0,0.0,-0.01,49,1559243532.568
-3.4,-9.32,0.05,0.0,0.0,-0.01,54,1559243532.573
-3.4,-9.32,0.05,0.0,0.0,-0.01,59,1559243532.578
-3.4,-9.32,0.05,0.0,0.0,-0.01,64,1559243532.583
-3.43,-9.31,0.16,0.0,0.0,-0.01,69,1559243532.588
-3.43,-9.31,0.16,0.0,0.0,-0.01,74,1559243532.593
-3.43,-9.31,0.16,0.0,0.0,-0.01,79,1559243532.598
-3.43,-9.31,0.16,0.0,0.0,-0.01,84,1559243532.603
-3.35,-9.35,0.04,0.0,0.0,-0.01,89,1559243532.608
-3.35,-9.35,0.04,0.0,0.0,-0.01,94,1559243532.613
-3.35,-9.35,0.04,0.0,0.0,-0.01,99,1559243532.618
-3.35,-9.35,0.04,0.0,0.0,-0.01,104,1559243532.623
-3.35,-9.35,0.04,0.0,0.0,-0.01,109,1559243532.628
-3.4,-9.38,0.0,0.0,0.0,-0.01,114,1559243532.633
-3.4,-9.38,0.0,0.0,0.0,-0.01,119,1559243532.638
