ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.72,-0.32,-9.48,0.05,0.5,-9.79,-0.05,0.03,-0.1,0,0,0.01,-11.1,10.01,67.98,321.637,-2.924,-179.707,4,2019-05-30 12:12:14:353
-0.72,-0.32,-9.48,0.05,0.5,-9.79,-0.05,0.03,-0.1,0,0,0.01,-11.1,10.01,67.98,321.637,-2.924,-179.707,10,2019-05-30 12:12:14:359
-0.72,-0.32,-9.48,0.05,0.5,-9.79,-0.05,0.03,-0.1,0,0,0.01,-11.1,10.01,67.98,321.637,-2.924,-179.707,15,2019-05-30 12:12:14:364
-0.72,-0.32,-9.48,0.05,0.5,-9.79,-0.05,0.03,-0.1,0,0,0.01,-11.1,10.01,67.98,321.637,-2.924,-179.707,20,2019-05-30 12:12:14:369
-0.72,-0.32,-9.48,0.05,0.5,-9.79,-0.05,0.03,-0.1,0,0,0.01,-11.1,10.01,67.98,321.637,-2.924,-179.707,25,2019-05-30 12:12:14:374
0.73,1,-10.73,0.05,0.5,-9.79,-0.05,0.03,-0.1,0.04,-0.03,0.03,-10.44,10.19,67.86,324.35,-2.924,-179.707,30,2019-05-30 12:12:14:379
0.73,1,-10.73,0.05,0.51,-9.79,0.61,0.53,-1,0.04,-0.03,0.03,-10.44,10.19,67.86,324.35,-2.924,-179.707,35,2019-05-30 12:12:14:384
0.73,1,-10.73,0.05,0.51,-9.79,0.61,0.53,-1,0.04,-0.03,0.03,-10.44,10.19,67.86,324.35,-2.924,-179.707,40,2019-05-30 12:12:14:389
0.73,1,-10.73,0.05,0.51,-9.79,0.61,0.53,-1,0.04,-0.03,0.03,-10.44,10.19,67.86,324.35,-2.924,-179.707,45,2019-05-30 12:12:14:394
0.73,1,-10.73,0.05,0.51,-9.79,0.61,0.53,-1,0.04,-0.03,0.03,-10.44,10.19,67.86,324.35,-2.924,-179.707,50,2019-05-30 12:12:14:399
0.73,1,-10.73,0.05,0.51,-9.79,0.61,0.53,-1,0.04,-0.03,0.03,-10.44,10.19,67.86,324.35,-2.924,-179.707,55,2019-05-30 12:12:14:404
-0.18,0.61,-10.73,0.05,0.51,-9.79,0.61,0.53,-1,0.04,-0.03,0.03,-10.44,10.19,67.86,324.35,-2.924,-179.707,61,2019-05-30 12:12:14:410
-0.18,0.61,-10.73,0.05,0.51,-9.79,0.61,0.53,-1,0.04,-0.03,0.03,-10.44,10.19,67.86,324.35,-2.924,-179.707,65,2019-05-30 12:12:14:414
-0.18,0.61,-10.73,0.05,0.51,-9.79,0,0.03,0.36,0.01,0,-0.01,-10.13,10.97,67.56,324.35,-2.924,-179.707,70,2019-05-30 12:12:14:419
-0.18,0.61,-10.73,0.05,0.51,-9.79,0,0.03,0.36,0.01,0,-0.01,-10.13,10.97,67.56,324.35,-2.924,-179.707,75,2019-05-30 12:12:14:424
-0.18,0.61,-10.73,0.05,0.51,-9.79,0,0.03,0.36,0.01,0,-0.01,-10.13,10.97,67.56,324.35,-2.924,-179.707,80,2019-05-30 12:12:14:429
-0.18,0.61,-10.73,0.05,0.51,-9.79,0,0.03,0.36,0.01,0,-0.01,-10.13,10.97,67.56,324.35,-2.924,-179.707,84,2019-05-30 12:12:14:433
0.38,0.25,-9.63,0.05,0.51,-9.79,0,0.03,0.36,0.01,0,-0.01,-10.13,10.97,67.56,324.35,-2.924,-179.707,90,2019-05-30 12:12:14:439
0.38,0.25,-9.63,0.05,0.51,-9.79,0,0.03,0.36,0.01,0,-0.01,-10.13,10.97,67.56,324.35,-2.924,-179.707,95,2019-05-30 12:12:14:444
0.38,0.25,-9.63,0.05,0.51,-9.79,0,0.03,0.36,0.02,0.01,0,-10.08,10.91,67.38,326.286,-2.982,-179.707,100,2019-05-30 12:12:14:449
0.38,0.25,-9.63,0.05,0.51,-9.79,-0.06,-0.1,-0.27,0.02,0.01,0,-10.08,10.91,67.38,326.286,-2.982,-179.707,105,2019-05-30 12:12:14:454
0.38,0.25,-9.63,0.05,0.51,-9.79,-0.06,-0.1,-0.27,0.02,0.01,0,-10.08,10.91,67.38,326.286,-2.982,-179.707,110,2019-05-30 12:12:14:459
0.38,0.25,-9.63,0.05,0.51,-9.79,-0.06,-0.1,-0.27,0.02,0.01,0,-10.08,10.91,67.38,326.286,-2.982,-179.707,115,2019-05-30 12:12:14:464
