ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.96,-2.1,9.2,-1.81,-2.05,9.41,0.07,0.15,-0.08,-0.06,-0.05,0.02,22.01,-0.72,-45.42,229.7546,12.0754,10.8878,5,2019-06-03 16:34:23:529
-1.96,-2.1,9.2,-1.81,-2.05,9.41,0.07,0.15,-0.08,-0.06,-0.05,0.02,22.01,-0.72,-45.42,229.7546,12.0754,10.8878,11,2019-06-03 16:34:23:535
-1.96,-2.1,9.2,-1.81,-2.05,9.41,0.07,0.15,-0.08,-0.06,-0.05,0.02,22.01,-0.72,-45.42,229.7546,12.0754,10.8878,16,2019-06-03 16:34:23:540
-1.96,-2.1,9.2,-1.81,-2.05,9.41,0.07,0.15,-0.08,-0.06,-0.05,0.02,22.01,-0.72,-45.42,229.7546,12.0754,10.8878,20,2019-06-03 16:34:23:544
-1.96,-2.1,9.2,-1.81,-2.05,9.41,0.07,0.15,-0.08,-0.06,-0.05,0.02,22.01,-0.72,-45.42,229.7546,12.0754,10.8878,26,2019-06-03 16:34:23:550
-1.96,-2.1,9.2,-1.8,-2.07,9.41,0.07,0.15,-0.08,-0.06,-0.05,0.02,22.01,-0.72,-45.42,229.7546,12.0754,10.8878,30,2019-06-03 16:34:23:554
-1.96,-2.1,9.2,-1.8,-2.07,9.41,0.07,0.15,-0.08,-0.06,-0.05,0.02,22.01,-0.72,-45.42,229.7546,12.0754,10.8878,35,2019-06-03 16:34:23:559
-1.94,-2.09,9.58,-1.8,-2.07,9.41,0.07,0.15,-0.08,-0.06,-0.05,0.02,22.01,-0.72,-45.42,229.7546,12.0754,10.8878,40,2019-06-03 16:34:23:564
-1.94,-2.09,9.58,-1.8,-2.07,9.41,0.08,0.04,0.19,-0.18,-0.08,0.04,21.78,-0.78,-45.72,229.7546,12.0754,10.8878,45,2019-06-03 16:34:23:569
-1.94,-2.09,9.58,-1.8,-2.07,9.41,0.08,0.04,0.19,-0.18,-0.08,0.04,21.78,-0.78,-45.72,229.7546,12.0754,10.8878,50,2019-06-03 16:34:23:574
