ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.75,0.05,0.95,0.0,0.0,0.03,5,1559243534.206
9.7,0.05,1.0,0.0,0.0,0.03,11,1559243534.212
9.7,0.05,1.0,0.0,0.0,0.03,15,1559243534.216
9.7,0.05,1.0,0.0,0.0,0.03,20,1559243534.221
9.7,0.05,1.0,0.0,0.0,0.03,25,1559243534.226
9.79,-0.02,0.88,0.0,0.0,0.03,30,1559243534.231
9.79,-0.02,0.88,0.0,0.0,0.03,35,1559243534.236
9.79,-0.02,0.88,0.0,0.0,0.03,40,1559243534.241
9.79,-0.02,0.88,0.0,0.0,0.03,45,1559243534.246
9.79,-0.02,0.88,0.0,0.0,0.03,50,1559243534.251
9.79,-0.02,0.88,0.0,0.0,0.03,55,1559243534.256
9.75,0.01,0.88,0.0,0.0,0.02,60,1559243534.261
9.75,0.01,0.88,0.0,0.0,0.02,65,1559243534.266
9.75,0.01,0.88,0.0,0.0,0.02,70,1559243534.271
9.75,0.01,0.88,0.0,0.0,0.02,75,1559243534.276
9.75,-0.02,0.92,0.0,0.0,0.02,80,1559243534.281
9.75,-0.02,0.92,0.0,0.0,0.02,85,1559243534.286
9.75,-0.02,0.92,0.0,0.0,0.02,91,1559243534.292
9.75,-0.02,0.92,0.0,0.0,0.02,95,1559243534.296
9.75,-0.02,0.92,0.0,0.0,0.02,100,1559243534.301
9.75,-0.02,0.92,0.0,0.0,0.02,108,1559243534.309
9.75,-0.02,0.92,0.0,0.0,0.02,110,1559243534.311
9.77,0.02,0.86,0.0,0.0,0.02,115,1559243534.316
9.77,0.02,0.86,0.0,0.0,0.02,120,1559243534.321
9.77,0.02,0.86,0.0,0.0,0.02,125,1559243534.326
9.77,0.02,0.86,0.0,0.0,0.02,130,1559243534.331
9.77,0.02,0.86,0.0,0.0,0.02,135,1559243534.336
9.75,0.02,0.89,0.0,0.0,0.02,140,1559243534.341
9.75,0.02,0.89,0.0,0.0,0.02,145,1559243534.346
9.75,0.02,0.89,0.0,0.0,0.02,150,1559243534.351
9.77,-0.04,0.91,0.0,0.0,0.02,155,1559243534.356
9.77,-0.04,0.91,0.0,0.0,0.02,160,1559243534.361
9.77,-0.04,0.91,0.0,0.0,0.02,165,1559243534.366
9.77,-0.04,0.91,0.0,0.0,0.02,169,1559243534.37
9.77,-0.04,0.91,0.0,0.0,0.02,175,1559243534.376
9.74,-0.04,1.01,0.0,0.0,0.02,180,1559243534.381
9.74,-0.04,1.01,0.0,0.0,0.02,185,1559243534.386
9.74,-0.04,1.01,0.0,0.0,0.02,190,1559243534.391
9.75,0.0,0.97,0.0,0.0,0.01,195,1559243534.396
9.75,0.0,0.97,0.0,0.0,0.01,200,1559243534.401
9.75,0.0,0.97,0.0,0.0,0.01,205,1559243534.406
9.75,0.0,0.97,0.0,0.0,0.01,210,1559243534.411
9.78,0.05,0.94,0.0,0.0,0.01,215,1559243534.416
9.78,0.05,0.94,0.0,0.0,0.01,220,1559243534.421
9.78,0.05,0.94,0.0,0.0,0.01,225,1559243534.426
9.73,-0.02,1.04,0.0,0.0,0.01,230,1559243534.431
9.73,-0.02,1.04,0.0,0.0,0.01,235,1559243534.436
9.73,-0.02,1.04,0.0,0.0,0.01,240,1559243534.441
