ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.52,-0.41,10.13,0.2,0.04,0.16,0.0,0.0,0.02,7,2019-04-29 17:27:25:938
0.52,-0.41,10.13,0.2,0.04,0.16,0.0,0.0,0.02,12,2019-04-29 17:27:25:943
0.52,-0.41,10.13,0.2,0.04,0.16,0.0,0.0,0.02,18,2019-04-29 17:27:25:949
0.52,-0.41,10.13,0.2,0.04,0.16,0.0,0.0,0.02,23,2019-04-29 17:27:25:954
0.52,-0.41,10.13,0.2,0.04,0.16,0.0,0.0,0.02,27,2019-04-29 17:27:25:958
0.4,-0.32,9.97,0.08,0.11,0.0,0.0,0.0,0.02,32,2019-04-29 17:27:25:963
0.4,-0.32,9.97,0.08,0.11,0.0,0.0,0.0,0.02,37,2019-04-29 17:27:25:968
0.14,-0.39,10.04,-0.16,0.02,0.08,0.0,0.0,0.02,43,2019-04-29 17:27:25:974
0.14,-0.39,10.04,-0.16,0.02,0.08,0.0,0.0,0.02,50,2019-04-29 17:27:25:981
0.14,-0.39,10.04,-0.16,0.02,0.08,0.0,0.0,0.02,52,2019-04-29 17:27:25:983
0.19,-0.37,10.03,-0.16,0.02,0.08,0.0,0.0,0.01,58,2019-04-29 17:27:25:989
0.19,-0.37,10.03,-0.1,0.02,0.07,0.0,0.0,0.01,64,2019-04-29 17:27:25:995
0.19,-0.37,10.03,-0.1,0.02,0.07,0.0,0.0,0.01,68,2019-04-29 17:27:25:999
0.19,-0.37,10.03,-0.1,0.02,0.07,0.0,0.0,0.01,73,2019-04-29 17:27:26:004
0.19,-0.37,10.03,-0.1,0.02,0.07,0.0,0.0,0.01,77,2019-04-29 17:27:26:008
0.28,-0.39,10.07,-0.01,0.0,0.12,0.0,0.0,0.02,83,2019-04-29 17:27:26:014
0.28,-0.39,10.07,-0.01,0.0,0.12,0.0,0.0,0.02,88,2019-04-29 17:27:26:019
