ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.4971141357,9.8136824951,1.0767757263,0.0406368463,-0.0269118316,-0.021847217000000002,0.0,2019-06-20 14:47:18:378000
-2.4695812378,9.8112883301,1.1090969543,0.0406368463,-0.028509728300000002,-0.0214477429,0.0051198006,2019-06-20 14:47:18:383000
-2.4887345581,9.804105835,1.1114911194,0.0401042141,-0.028110254100000003,-0.0211814268,0.0099840164,2019-06-20 14:47:18:388000
-2.4767637329,9.794529174800001,1.117476532,0.0405036883,-0.026645515499999998,-0.0210482687,0.015103817,2019-06-20 14:47:18:393000
-2.481552063,9.794529174800001,1.0731844788,0.039837898,-0.027577621899999998,-0.021847217000000002,0.0199677944,2019-06-20 14:47:18:398000
-2.4887345581,9.804105835,1.1138852844,0.039837898,-0.0283765702,-0.0209151107,0.0250878334,2019-06-20 14:47:18:403000
-2.4827491455,9.810091247599999,1.0648049011,0.0399710561,-0.027977096099999998,-0.0221135331,0.0299518108,2019-06-20 14:47:18:408000
-2.5007053833,9.8136824951,1.0827611389,0.0402373722,-0.0274444638,-0.0209151107,0.0350718498,2019-06-20 14:47:18:413000
-2.4791578979,9.796923339800001,1.0971261292,0.0402373722,-0.02771078,-0.021980375099999998,0.0399358273,2019-06-20 14:47:18:417000
-2.4887345581,9.8005145874,1.0827611389,0.0399710561,-0.028509728300000002,-0.0226461654,0.0450558662,2019-06-20 14:47:18:423000
-2.4659899902,9.8005145874,1.0540311584,0.0403705302,-0.0282434122,-0.0223798493,0.050175905199999996,2019-06-20 14:47:18:428000
-2.4719754028,9.8160766602,1.0815640564,0.0401042141,-0.028909202400000004,-0.0226461654,0.055039882699999994,2019-06-20 14:47:18:433000
-2.4743695678999997,9.7885437622,1.0779728088,0.0391721077,-0.029441834700000002,-0.023445113700000002,0.0601599216,2019-06-20 14:47:18:438000
