ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.09425495560000001,0.2844435871,9.8122110367,0.0011058813,-0.004875707,-0.0056970935,0.0,2019-06-20 14:47:13:126000
-0.0750969574,0.2796540856,9.7834749222,-0.0028898359,-0.0036769921999999997,-0.003033282,0.0050187111,2019-06-20 14:47:13:131000
-0.09425495560000001,0.2796540856,9.7762899399,0.0032369306,-0.0022118957,-0.0002362801,0.0091590881,2019-06-20 14:47:13:135000
-0.06791270519999999,0.3395228088,9.7738952637,-0.001291549,0.0003187251,0.0013620067999999999,0.015034198799999999,2019-06-20 14:47:13:141000
-0.10143920029999999,0.30120682719999997,9.7978429794,-0.0004924055000000001,-0.0014127523,-0.0019677575,0.0191230774,2019-06-20 14:47:13:145000
-0.0918602049,0.3347333372,9.793053627,0.0020382154,-0.0027446582,0.0009624350999999999,0.0250196457,2019-06-20 14:47:13:151000
-0.1158076972,0.2988120914,9.8265800476,0.0020382154,-0.0012795617999999999,-0.0006358518,0.029127121000000002,2019-06-20 14:47:13:155000
-0.09904444960000001,0.31078583,9.8026323318,-0.0015579301000000002,-0.0054084698,0.0020279596,0.035006999999999996,2019-06-20 14:47:13:161000
-0.1086234525,0.3131805658,9.8217906952,-0.0008919772,-0.0016791336,-0.0026337103,0.0391249657,2019-06-20 14:47:13:165000
-0.0607284568,0.2988120914,9.7954483032,0.0028373589,-0.0026114674,0.0004296728,0.0450162888,2019-06-20 14:47:13:171000
-0.1277814507,0.3227595687,9.788264274600001,0.000573119,-0.0032774205,0.0005628634,0.0500154495,2019-06-20 14:47:13:176000
-0.0607284568,0.303601563,9.7691059113,0.0007063096000000001,0.0003187251,0.001894769,0.05412864690000001,2019-06-20 14:47:13:180000
-0.07030745599999999,0.2868383229,9.7691059113,0.0029705494,-0.0058080412,0.0002964822,0.0592188835,2019-06-20 14:47:13:185000
-0.0511494577,0.3179700673,9.764316558800001,-0.000359215,-0.0020787053,-0.0022341386,0.0650138855,2019-06-20 14:47:13:191000
-0.0607284568,0.2820488214,9.8122110367,4.03567448934288e-05,-0.0076727091,-0.0025005197,0.0691194534,2019-06-20 14:47:13:195000
-0.0918602049,0.3227595687,9.7499475479,-0.001291549,-0.0023450863000000002,0.007222391999999999,0.0750107765,2019-06-20 14:47:13:201000
-0.0822812021,0.3059963286,9.8050270081,0.0007063096000000001,-0.0038101828000000003,-0.0013018046000000001,0.0791273117,2019-06-20 14:47:13:205000
-0.06791270519999999,0.2916278243,9.819396019000001,0.006966266600000001,-0.0015459429000000001,0.0008292445,0.0850105286,2019-06-20 14:47:13:211000
-0.0655179545,0.3131805658,9.781079292300001,0.0023045964,-0.004342945,-0.0025005197,0.0891227722,2019-06-20 14:47:13:215000
-0.0918602049,0.2964173257,9.8122110367,0.000573119,0.0012510591,0.0021611501999999998,0.0950155258,2019-06-20 14:47:13:221000
