ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2976697683,-0.122613579,9.9066362381,0.0043398816,-0.005483456,0.0046294379,-3.5655784446,-3.5858178261,0,0,2019-07-25 11:50:21:495
0.2401957959,-0.0387973413,9.8012676239,-0.0007213602,-0.0041515501,0.0062277247,-7.0654160778,-7.1094310273,0,0.0033199787,2019-07-25 11:50:21:498
0.2856960297,-0.0627448335,9.8132410049,0.0035407382,-0.005483456,0.0054285813,-10.4897248278,-10.5605813346,0,0.0066683292,2019-07-25 11:50:21:502
0.1755375415,-0.1058503315,9.8419780731,0.0016760702,-0.0025532633,0.0062277247,-13.8590168685,-13.9373593566,0,0.0099992752,2019-07-25 11:50:21:505
0.2282220423,-0.0603500865,9.7749252319,0.0027415948,-0.0060162182,0.0091579171,-17.1539732667,-17.2520448932,0,0.0132958889,2019-07-25 11:50:21:508
0.2401957959,-0.0699290857,9.8347940445,0.0040735005,-0.0041515501,0.0080923926,-20.3821205044,-20.4996334409,0,0.0166938305,2019-07-25 11:50:21:512
0.2090640366,-0.1058503315,9.8204250336,0.0027415948,-0.0038851689,0.0118217284,-23.5493639801,-23.6777999102,0,0.0200068951,2019-07-25 11:50:21:515
0.2952750325,-0.1010608301,9.7533721924,0.0046062627,-0.0038851689,0.0126208723,-26.6429779696,-26.7932216969,0,0.023296833,2019-07-25 11:50:21:518
0.2401957959,-0.0962713361,9.8395833969,0.0016760702,-0.0057498371,0.0160838275,-29.6810729506,-29.8464600804,0,0.0266354084,2019-07-25 11:50:21:522
0.2401957959,-0.0819028318,9.8443727493,0.0011433079,-0.0020205009,0.015018303,-32.6591206569,-32.840210593,0,0.029957056,2019-07-25 11:50:21:525
0.2330115438,-0.0986660793,9.7198457718,0.0067373117,-0.0020205009,0.0176821142,-35.5781021748,-35.7730102519,0,0.0332233906,2019-07-25 11:50:21:528
0.2617485225,-0.0387973413,9.6791353226,-0.000454979,0.0011760727,0.0179484948,-38.4357813359,-38.6528709069,0,0.0365872383,2019-07-25 11:50:21:531
0.2665380239,-0.043586839,9.8252153397,0.0035407382,-0.0052170748,0.0192804,-41.2349868466,-41.4754087605,0,0.0400013924,2019-07-25 11:50:21:535
0.3000645339,-0.0411920883,9.8635311127,0.0006105456,-0.007614505,0.0203459245,-43.9740433742,-44.2412268035,0,0.043261528,2019-07-25 11:50:21:538
