ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.02,-0.3,9.95,0.04,0.02,0.0,0.0,0.0,0.0,5,2019-04-29 17:37:02:889
0.02,-0.3,9.95,-0.01,0.01,0.0,0.0,0.0,0.0,10,2019-04-29 17:37:02:894
0.02,-0.3,9.95,-0.01,0.01,0.0,0.0,0.0,0.0,15,2019-04-29 17:37:02:899
0.02,-0.3,9.95,-0.01,0.01,0.0,0.0,0.0,0.0,20,2019-04-29 17:37:02:904
0.02,-0.3,9.95,-0.01,0.01,0.0,0.0,0.0,0.0,26,2019-04-29 17:37:02:910
0.02,-0.3,9.95,-0.01,0.01,0.0,0.0,0.0,0.0,31,2019-04-29 17:37:02:915
0.02,-0.3,9.95,-0.01,0.01,0.0,0.0,0.0,0.0,36,2019-04-29 17:37:02:920
0.02,-0.3,9.95,-0.01,0.01,0.0,0.0,0.0,0.0,40,2019-04-29 17:37:02:924
0.02,-0.3,9.95,-0.01,0.01,0.0,0.0,0.0,0.0,45,2019-04-29 17:37:02:929
-0.01,-0.23,9.95,-0.04,0.07,0.0,0.0,0.0,0.0,50,2019-04-29 17:37:02:934
-0.01,-0.23,9.95,-0.04,0.07,0.0,0.0,0.0,0.0,55,2019-04-29 17:37:02:939
-0.01,-0.23,9.95,-0.04,0.07,0.0,0.0,0.0,0.0,60,2019-04-29 17:37:02:944
-0.01,-0.27,9.94,-0.04,0.01,-0.01,0.0,0.0,0.0,65,2019-04-29 17:37:02:949
-0.01,-0.27,9.94,-0.04,0.01,-0.01,0.0,0.0,0.0,70,2019-04-29 17:37:02:954
-0.01,-0.27,9.94,-0.04,0.01,-0.01,0.0,0.0,0.0,76,2019-04-29 17:37:02:960
0.03,-0.23,9.92,0.0,0.05,-0.02,0.0,0.0,0.0,80,2019-04-29 17:37:02:964
0.03,-0.23,9.92,0.0,0.05,-0.02,0.0,0.0,0.0,85,2019-04-29 17:37:02:969
0.03,-0.23,9.92,0.0,0.05,-0.02,0.0,0.0,0.0,90,2019-04-29 17:37:02:974
0.03,-0.23,9.92,0.0,0.05,-0.02,0.0,0.0,0.0,95,2019-04-29 17:37:02:979
0.03,-0.23,9.92,0.0,0.05,-0.02,0.0,0.0,0.0,101,2019-04-29 17:37:02:985
0.03,-0.23,9.92,0.0,0.05,-0.02,0.0,0.0,0.0,106,2019-04-29 17:37:02:990
0.03,-0.23,9.92,0.0,0.05,-0.02,0.0,0.0,0.0,110,2019-04-29 17:37:02:994
0.03,-0.23,9.92,0.0,0.05,-0.02,0.0,0.0,0.0,115,2019-04-29 17:37:02:999
0.03,-0.19,9.93,0.0,0.08,-0.02,0.0,0.0,0.0,120,2019-04-29 17:37:03:004
0.03,-0.19,9.93,0.0,0.08,-0.02,0.0,0.0,0.0,125,2019-04-29 17:37:03:009
0.03,-0.19,9.93,0.0,0.08,-0.02,0.0,0.0,0.0,130,2019-04-29 17:37:03:014
-0.02,-0.22,9.95,0.0,0.08,-0.02,0.0,0.0,0.0,135,2019-04-29 17:37:03:019
-0.02,-0.22,9.95,-0.06,0.03,0.0,0.0,0.0,0.0,140,2019-04-29 17:37:03:024
-0.02,-0.22,9.95,-0.06,0.03,0.0,0.0,0.0,0.0,145,2019-04-29 17:37:03:029
-0.02,-0.22,9.95,-0.06,0.03,0.0,0.0,0.0,0.0,150,2019-04-29 17:37:03:034
-0.02,-0.22,9.95,-0.06,0.03,0.0,0.0,0.0,0.0,155,2019-04-29 17:37:03:039
-0.02,-0.22,9.95,-0.06,0.03,0.0,0.0,0.0,0.0,161,2019-04-29 17:37:03:045
-0.02,-0.22,9.95,-0.06,0.03,0.0,0.0,0.0,0.0,166,2019-04-29 17:37:03:050
-0.02,-0.22,9.95,-0.06,0.03,0.0,0.0,0.0,0.0,171,2019-04-29 17:37:03:055
-0.02,-0.22,9.95,-0.06,0.03,0.0,0.0,0.0,0.0,175,2019-04-29 17:37:03:059
0.01,-0.22,9.95,-0.01,0.02,0.0,0.0,0.0,0.0,181,2019-04-29 17:37:03:065
0.01,-0.22,9.95,-0.01,0.02,0.0,0.0,0.0,0.0,185,2019-04-29 17:37:03:069
0.01,-0.22,9.95,-0.01,0.02,0.0,0.0,0.0,0.0,190,2019-04-29 17:37:03:074
0.01,-0.22,9.95,-0.01,0.02,0.0,0.0,0.0,0.0,196,2019-04-29 17:37:03:080
0.05,-0.23,10.0,0.01,0.0,0.05,0.0,0.0,0.0,201,2019-04-29 17:37:03:085
0.05,-0.23,10.0,0.01,0.0,0.05,0.0,0.0,0.0,206,2019-04-29 17:37:03:090
0.05,-0.23,10.0,0.01,0.0,0.05,0.0,0.0,0.0,211,2019-04-29 17:37:03:095
0.05,-0.23,10.0,0.01,0.0,0.05,0.0,0.0,0.0,215,2019-04-29 17:37:03:099
0.09,-0.2,9.89,0.03,0.01,-0.05,0.0,0.0,0.0,221,2019-04-29 17:37:03:105
0.09,-0.2,9.89,0.03,0.01,-0.05,0.0,0.0,0.0,226,2019-04-29 17:37:03:110
0.09,-0.2,9.89,0.03,0.01,-0.05,0.0,0.0,0.0,230,2019-04-29 17:37:03:114
0.1,-0.19,10.0,0.04,0.02,0.04,0.0,0.0,0.0,238,2019-04-29 17:37:03:122
0.1,-0.19,10.0,0.04,0.02,0.04,0.0,0.0,0.0,240,2019-04-29 17:37:03:124
0.1,-0.19,10.0,0.04,0.02,0.04,0.0,0.0,0.0,245,2019-04-29 17:37:03:129
0.1,-0.19,10.0,0.04,0.02,0.04,0.0,0.0,0.0,250,2019-04-29 17:37:03:134
0.1,-0.19,10.0,0.04,0.02,0.04,0.0,0.0,0.0,255,2019-04-29 17:37:03:139
0.1,-0.19,10.0,0.04,0.02,0.04,0.0,0.0,0.0,260,2019-04-29 17:37:03:144
0.05,-0.21,10.03,0.04,0.02,0.04,0.0,0.0,0.0,265,2019-04-29 17:37:03:149
0.05,-0.21,10.03,-0.01,0.0,0.07,0.0,0.0,0.0,270,2019-04-29 17:37:03:154
0.05,-0.21,10.03,-0.01,0.0,0.07,0.0,0.0,0.0,275,2019-04-29 17:37:03:159
0.02,-0.25,9.91,-0.04,-0.03,-0.04,0.0,0.0,0.0,281,2019-04-29 17:37:03:165
0.02,-0.25,9.91,-0.04,-0.03,-0.04,0.0,0.0,0.0,285,2019-04-29 17:37:03:169
0.02,-0.25,9.91,-0.04,-0.03,-0.04,0.0,0.0,0.0,290,2019-04-29 17:37:03:174
0.02,-0.25,9.91,-0.04,-0.03,-0.04,0.0,0.0,0.0,295,2019-04-29 17:37:03:179
0.08,-0.23,9.96,0.0,0.0,0.0,0.0,0.0,0.0,301,2019-04-29 17:37:03:185
0.08,-0.23,9.96,0.0,0.0,0.0,0.0,0.0,0.0,306,2019-04-29 17:37:03:190
0.08,-0.23,9.96,0.0,0.0,0.0,0.0,0.0,0.0,311,2019-04-29 17:37:03:195
0.02,-0.15,9.99,0.0,0.0,0.0,0.0,0.0,0.0,315,2019-04-29 17:37:03:199
0.02,-0.15,9.99,-0.06,0.05,0.03,0.0,0.0,-0.01,321,2019-04-29 17:37:03:205
0.02,-0.15,9.99,-0.06,0.05,0.03,0.0,0.0,-0.01,326,2019-04-29 17:37:03:210
0.02,-0.15,9.99,-0.06,0.05,0.03,0.0,0.0,-0.01,330,2019-04-29 17:37:03:214
0.02,-0.15,9.99,-0.06,0.05,0.03,0.0,0.0,-0.01,335,2019-04-29 17:37:03:219
0.02,-0.15,9.99,-0.06,0.05,0.03,0.0,0.0,-0.01,340,2019-04-29 17:37:03:224
0.02,-0.15,9.99,-0.06,0.05,0.03,0.0,0.0,-0.01,345,2019-04-29 17:37:03:229
0.02,-0.15,9.99,-0.06,0.05,0.03,0.0,0.0,-0.01,351,2019-04-29 17:37:03:235
