ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.15,-0.24,10.04,0.06,0.0,0.08,0.0,0.0,0.0,7,2019-04-29 17:29:30:440
-0.15,-0.24,10.04,0.06,0.0,0.08,0.0,0.0,0.0,13,2019-04-29 17:29:30:446
-0.07,-0.17,9.89,-0.01,0.01,-0.06,0.0,0.0,0.0,17,2019-04-29 17:29:30:450
-0.07,-0.17,9.89,-0.01,0.01,-0.06,0.0,0.0,0.0,22,2019-04-29 17:29:30:455
-0.07,-0.17,9.89,-0.01,0.01,-0.06,0.0,0.0,0.0,28,2019-04-29 17:29:30:461
-0.07,-0.17,9.89,-0.01,0.01,-0.06,0.0,0.0,0.0,33,2019-04-29 17:29:30:466
-0.07,-0.17,9.89,-0.01,0.01,-0.06,0.0,0.0,0.0,37,2019-04-29 17:29:30:470
-0.06,-0.21,10.04,-0.01,-0.02,0.07,0.0,0.0,0.0,42,2019-04-29 17:29:30:475
-0.06,-0.21,10.04,-0.01,-0.02,0.07,0.0,0.0,0.0,48,2019-04-29 17:29:30:481
-0.06,-0.21,10.04,-0.01,-0.02,0.07,0.0,0.0,0.0,53,2019-04-29 17:29:30:486
-0.02,-0.17,9.99,0.03,0.01,0.02,0.0,0.0,0.0,57,2019-04-29 17:29:30:490
-0.02,-0.17,9.99,0.03,0.01,0.02,0.0,0.0,0.0,63,2019-04-29 17:29:30:496
-0.02,-0.17,9.99,0.03,0.01,0.02,0.0,0.0,0.0,68,2019-04-29 17:29:30:501
-0.02,-0.17,9.99,0.03,0.01,0.02,0.0,0.0,0.0,73,2019-04-29 17:29:30:506
0.01,-0.16,9.91,0.06,0.01,-0.05,0.0,0.0,0.0,78,2019-04-29 17:29:30:511
0.01,-0.16,9.91,0.06,0.01,-0.05,0.0,0.0,0.0,82,2019-04-29 17:29:30:515
0.01,-0.16,9.91,0.06,0.01,-0.05,0.0,0.0,0.0,87,2019-04-29 17:29:30:520
0.01,-0.16,9.91,0.06,0.01,-0.05,0.0,0.0,0.0,93,2019-04-29 17:29:30:526
0.0,-0.15,9.99,0.05,0.02,0.03,0.0,0.0,0.0,97,2019-04-29 17:29:30:530
0.0,-0.15,9.99,0.05,0.02,0.03,0.0,0.0,0.0,102,2019-04-29 17:29:30:535
0.0,-0.15,9.99,0.05,0.02,0.03,0.0,0.0,0.0,108,2019-04-29 17:29:30:541
0.0,-0.15,9.99,0.05,0.02,0.03,0.0,0.0,0.0,112,2019-04-29 17:29:30:545
-0.01,-0.21,10.05,0.03,-0.03,0.07,0.0,0.0,0.0,117,2019-04-29 17:29:30:550
-0.01,-0.21,10.05,0.03,-0.03,0.07,0.0,0.0,0.0,122,2019-04-29 17:29:30:555
-0.01,-0.21,10.05,0.03,-0.03,0.07,0.0,0.0,0.0,128,2019-04-29 17:29:30:561
-0.01,-0.21,10.05,0.03,-0.03,0.07,0.0,0.0,0.0,132,2019-04-29 17:29:30:565
-0.01,-0.21,10.05,0.03,-0.03,0.07,0.0,0.0,0.0,137,2019-04-29 17:29:30:570
-0.01,-0.21,10.05,0.03,-0.03,0.07,0.0,0.0,0.0,143,2019-04-29 17:29:30:576
-0.02,-0.15,9.97,0.02,0.02,0.0,0.0,0.0,0.0,147,2019-04-29 17:29:30:580
-0.02,-0.15,9.97,0.02,0.02,0.0,0.0,0.0,0.0,152,2019-04-29 17:29:30:585
-0.02,-0.15,9.97,0.02,0.02,0.0,0.0,0.0,0.0,157,2019-04-29 17:29:30:590
-0.02,-0.15,9.97,0.02,0.02,0.0,0.0,0.0,0.0,163,2019-04-29 17:29:30:596
-0.04,-0.16,9.92,0.0,0.01,-0.04,0.0,0.0,0.0,168,2019-04-29 17:29:30:601
-0.04,-0.16,9.92,0.0,0.01,-0.04,0.0,0.0,0.0,172,2019-04-29 17:29:30:605
-0.04,-0.16,9.92,0.0,0.01,-0.04,0.0,0.0,0.0,178,2019-04-29 17:29:30:611
-0.04,-0.16,9.92,0.0,0.01,-0.04,0.0,0.0,0.0,183,2019-04-29 17:29:30:616
-0.04,-0.16,9.92,0.0,0.01,-0.04,0.0,0.0,0.0,187,2019-04-29 17:29:30:620
-0.04,-0.16,9.92,0.0,0.01,-0.04,0.0,0.0,0.0,192,2019-04-29 17:29:30:625
-0.06,-0.22,9.98,-0.02,-0.03,0.01,0.0,0.0,0.0,198,2019-04-29 17:29:30:631
-0.06,-0.22,9.98,-0.02,-0.03,0.01,0.0,0.0,0.0,202,2019-04-29 17:29:30:635
-0.06,-0.22,9.98,-0.02,-0.03,0.01,0.0,0.0,0.0,208,2019-04-29 17:29:30:641
-0.06,-0.22,9.98,-0.02,-0.03,0.01,0.0,0.0,0.0,213,2019-04-29 17:29:30:646
-0.08,-0.19,9.93,-0.03,0.0,-0.03,0.0,0.0,0.0,218,2019-04-29 17:29:30:651
-0.08,-0.19,9.93,-0.03,0.0,-0.03,0.0,0.0,0.0,222,2019-04-29 17:29:30:655
-0.08,-0.19,9.93,-0.03,0.0,-0.03,0.0,0.0,0.0,228,2019-04-29 17:29:30:661
-0.08,-0.19,9.93,-0.03,0.0,-0.03,0.0,0.0,0.0,233,2019-04-29 17:29:30:666
-0.08,-0.19,9.93,-0.03,0.0,-0.03,0.0,0.0,0.0,238,2019-04-29 17:29:30:671
-0.1,-0.2,9.93,-0.05,-0.01,-0.02,0.0,0.0,0.0,242,2019-04-29 17:29:30:675
-0.1,-0.2,9.93,-0.05,-0.01,-0.02,0.0,0.0,0.0,247,2019-04-29 17:29:30:680
-0.1,-0.2,9.93,-0.05,-0.01,-0.02,0.0,0.0,0.0,252,2019-04-29 17:29:30:685
-0.02,-0.22,10.06,0.01,-0.02,0.09,0.0,0.0,0.0,258,2019-04-29 17:29:30:691
-0.02,-0.22,10.06,0.01,-0.02,0.09,0.0,0.0,0.0,262,2019-04-29 17:29:30:695
-0.02,-0.22,10.06,0.01,-0.02,0.09,0.0,0.0,0.0,268,2019-04-29 17:29:30:701
-0.02,-0.22,10.06,-0.01,-0.04,0.02,0.0,0.0,0.0,272,2019-04-29 17:29:30:705
-0.02,-0.22,10.06,-0.01,-0.04,0.02,0.0,0.0,0.0,278,2019-04-29 17:29:30:711
-0.02,-0.22,10.06,-0.01,-0.04,0.02,0.0,0.0,0.0,283,2019-04-29 17:29:30:716
-0.02,-0.22,10.06,-0.01,-0.04,0.02,0.0,0.0,0.0,288,2019-04-29 17:29:30:721
-0.05,-0.17,9.95,0.0,0.01,-0.01,0.0,0.0,0.0,292,2019-04-29 17:29:30:725
