,Left,Middle,Right
0,,Mean Square Frequency X Gyro Middle,
1,,Zero Crossing Rate Y Accel Middle,
2,,Variance Frequency X Accel Middle,
3,,Mean Square Frequency Y Gyro Middle,
4,,Excess Kurtosis Y Accel Middle,
5,,Excess Kurtosis Z Gyro Middle,
6,,Skew Z Accel Middle,
7,,Zero Crossing Rate Y Gyro Middle,
8,,Mean Square Frequency Z Gyro Middle,
9,,Mean Square Frequency Y Accel Middle,
10,,Excess Kurtosis Y Gyro Middle,
11,,Variance Frequency X Gyro Middle,
12,,Skew X Accel Middle,
13,,Frequency Center Z Gyro Middle,
14,,Min X Gyro Middle,
15,,Zero Crossing Rate Z Gyro Middle,
16,,Mean Y Gyro Middle,
17,,Variance Frequency Y Gyro Middle,
18,,Zero Crossing Rate X Gyro Middle,
19,,Skew Y Gyro Middle,
20,,Autocorrelation X Accel Middle,
21,,Excess Kurtosis X Gyro Middle,
22,,Mean Square Frequency Z Accel Middle,
23,,Mean Z Accel Middle,
24,,Excess Kurtosis Z Accel Middle,
25,,Autocorrelation Z Gyro Middle,
26,,Max Y Accel Middle,
27,,Zero Crossing Rate Z Accel Middle,
28,,Variance Frequency Y Accel Middle,
29,,Skew Z Gyro Middle,
30,,Excess Kurtosis X Accel Middle,
31,,Std Dev Z Gyro Middle,
32,,Autocorrelation Y Gyro Middle,
33,,Mean X Accel Middle,
34,,Min Y Accel Middle,
35,,Frequency Center Z Accel Middle,
36,,Skew Y Accel Middle,
37,,Zero Crossing Rate X Accel Middle,
38,,Min Z Gyro Middle,
39,,Variance Frequency Z Gyro Middle,
40,,Min X Accel Middle,
41,,Skew X Gyro Middle,
42,,Frequency Center Y Gyro Middle,
43,,Autocorrelation X Gyro Middle,
44,,Root Mean Square Frequency Z Gyro Middle,
45,,Mean Square Frequency X Accel Middle,
46,,Autocorrelation Z Accel Middle,
47,,Frequency Center X Gyro Middle,
48,,Mean X Gyro Middle,
49,,Frequency Center X Accel Middle,
50,,Root Mean Square Frequency Y Accel Middle,
51,,Frequency Center Y Accel Middle,
52,,Autocorrelation Y Accel Middle,
53,,Max X Gyro Middle,
54,,Root Mean Square Frequency Y Gyro Middle,
55,,Max Z Gyro Middle,
56,,Root Variance Frequency X Gyro Middle,
57,,Root Variance Frequency Z Gyro Middle,
58,,Variance Frequency Z Accel Middle,
59,,Max X Accel Middle,
60,,Max Y Gyro Middle,
61,,Mean Y Accel Middle,
62,,Max Z Accel Middle,
63,,L2 Norm Z Gyro Middle,
64,,Root Variance Frequency Y Accel Middle,
65,,Root Mean Square Frequency X Gyro Middle,
66,,Root Variance Frequency Y Gyro Middle,
67,,Min Y Gyro Middle,
68,,Root Mean Squared X Gyro Middle,
69,,Root Mean Squared Z Gyro Middle,
70,,Std Dev X Gyro Middle,
71,,Root Mean Squared X Accel Middle,
72,,Mean Z Gyro Middle,
73,,Root Variance Frequency Z Accel Middle,
74,,Min Z Accel Middle,
75,,Root Variance Frequency X Accel Middle,
76,,Std Dev Y Accel Middle,
77,,L2 Norm Y Accel Middle,
78,,L2 Norm X Gyro Middle,
79,,L2 Norm Y Gyro Middle,
80,,Std Dev X Accel Middle,
81,,Root Mean Square Frequency Z Accel Middle,
82,,Root Mean Square Frequency X Accel Middle,
83,,Root Mean Squared Y Accel Middle,
84,,L2 Norm X Accel Middle,
85,,Root Mean Squared Y Gyro Middle,
86,,Std Dev Y Gyro Middle,
87,,Std Dev Z Accel Middle,
88,,L2 Norm Z Accel Middle,
89,,Root Mean Squared Z Accel Middle,
90,,Label,
