,Left,Middle,Right
0,,PSDLog 1.0 Hz Y Gyro Middle,
1,,PSDLog 42.0 Hz Y Accel Middle,
2,,PSDLog 0.0 Hz Y Gyro Middle,
3,,PSDLog 29.0 Hz Y Accel Middle,
4,,PSDLog 3.0 Hz Y Gyro Middle,
5,,PSDLog 2.0 Hz Y Gyro Middle,
6,,PSDLog 36.0 Hz Y Accel Middle,
7,,PSDLog 7.0 Hz Y Gyro Middle,
8,,PSDLog 38.0 Hz Y Accel Middle,
9,,PSDLog 4.0 Hz Y Gyro Middle,
10,,PSDLog 44.0 Hz Y Accel Middle,
11,,PSDLog 8.0 Hz Y Gyro Middle,
12,,PSDLog 32.0 Hz Y Accel Middle,
13,,PSDLog 11.0 Hz Z Accel Middle,
14,,PSDLog 47.0 Hz Y Accel Middle,
15,,PSDLog 9.0 Hz Y Gyro Middle,
16,,PSDLog 41.0 Hz Y Accel Middle,
17,,PSDLog 11.0 Hz Y Gyro Middle,
18,,PSDLog 40.0 Hz Y Accel Middle,
19,,PSDLog 28.0 Hz Y Accel Middle,
20,,PSDLog 1.0 Hz X Gyro Middle,
21,,PSDLog 48.0 Hz Y Accel Middle,
22,,PSDLog 6.0 Hz Y Gyro Middle,
23,,PSDLog 43.0 Hz Y Accel Middle,
24,,PSDLog 37.0 Hz Y Accel Middle,
25,,PSDLog 10.0 Hz Y Gyro Middle,
26,,PSDLog 46.0 Hz Z Accel Middle,
27,,PSDLog 5.0 Hz Y Gyro Middle,
28,,PSDLog 45.0 Hz Y Accel Middle,
29,,PSDLog 1.0 Hz X Accel Middle,
30,,PSDLog 39.0 Hz Y Accel Middle,
31,,PSDLog 10.0 Hz Z Accel Middle,
32,,PSDLog 46.0 Hz Y Accel Middle,
33,,PSDLog 3.0 Hz X Accel Middle,
34,,PSDLog 35.0 Hz Y Accel Middle,
35,,PSDLog 0.0 Hz X Gyro Middle,
36,,PSDLog 48.0 Hz Z Accel Middle,
37,,PSDLog 31.0 Hz Y Accel Middle,
38,,PSDLog 55.0 Hz Y Accel Middle,
39,,PSDLog 2.0 Hz Z Accel Middle,
40,,PSDLog 49.0 Hz Y Accel Middle,
41,,PSDLog 13.0 Hz Y Gyro Middle,
42,,PSDLog 33.0 Hz Y Accel Middle,
43,,PSDLog 1.0 Hz Z Accel Middle,
44,,PSDLog 52.0 Hz Y Accel Middle,
45,,PSDLog 8.0 Hz Z Accel Middle,
46,,PSDLog 30.0 Hz Y Accel Middle,
47,,PSDLog 57.0 Hz Z Accel Middle,
48,,PSDLog 27.0 Hz Y Accel Middle,
49,,PSDLog 26.0 Hz Y Accel Middle,
50,,PSDLog 9.0 Hz Z Accel Middle,
51,,PSDLog 47.0 Hz Z Accel Middle,
