# Parameters

Dataset = set_full
Cutoff Frequency = Unfiltered
Data Window = 200
Trim Size = 13s per side

n Features = 10
Datasets = All

# Extracted Features - Middle 

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 6 	 Min Z Accel Middle 			 0.067
2 	 87 	 Mean Square Frequency Y Accel Middle 	 0.060
3 	 72 	 Mean Square Frequency X Gyro Middle 	 0.053
4 	 49 	 Max X Accel Middle 			 0.045
5 	 76 	 Autocorrelation Y Accel Middle 	 0.044
6 	 1 	 Autocorrelation Z Accel Middle 	 0.043
7 	 84 	 Std Dev Y Accel Middle 		 0.041
8 	 81 	 Min Y Accel Middle 			 0.040
9 	 51 	 Min X Accel Middle 			 0.040
10 	 45 	 Variance Frequency Z Gyro Middle 	 0.040

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 6 	 Min Z Accel Middle 			 0.067
2 	 32 	 Excess Kurtosis Z Gyro Middle 		 0.005
3 	 85 	 Zero Crossing Rate Y Accel Middle 	 0.006
4 	 87 	 Mean Square Frequency Y Accel Middle 	 0.007
5 	 5 	 Mean Z Accel Middle 			 0.004
6 	 40 	 Zero Crossing Rate Z Gyro Middle 	 0.003
7 	 60 	 Variance Frequency X Accel Middle 	 0.004
8 	 23 	 Skew Y Gyro Middle 			 0.002
9 	 45 	 Variance Frequency Z Gyro Middle 	 0.001
10 	 77 	 Excess Kurtosis Y Accel Middle 	 0.000


# Extracted Features - Left


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 55 	 Zero Crossing Rate X Accel Left 	 0.108
2 	 85 	 Zero Crossing Rate Y Accel Left 	 0.106
3 	 86 	 Frequency Center Y Accel Left 		 0.095
4 	 70 	 Zero Crossing Rate X Gyro Left 	 0.082
5 	 57 	 Mean Square Frequency X Accel Left 	 0.082
6 	 77 	 Excess Kurtosis Y Accel Left 		 0.080
7 	 12 	 Mean Square Frequency Z Accel Left 	 0.072
8 	 87 	 Mean Square Frequency Y Accel Left 	 0.071
9 	 9 	 Std Dev Z Accel Left 			 0.070
10 	 14 	 Root Variance Frequency Z Accel Left 	 0.068

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 55 	 Zero Crossing Rate X Accel Left 	 0.108
2 	 85 	 Zero Crossing Rate Y Accel Left 	 0.062
3 	 70 	 Zero Crossing Rate X Gyro Left 	 0.059
4 	 77 	 Excess Kurtosis Y Accel Left 		 0.058
5 	 41 	 Frequency Center Z Gyro Left 		 0.038
6 	 86 	 Frequency Center Y Accel Left 		 0.041
7 	 12 	 Mean Square Frequency Z Accel Left 	 0.040
8 	 25 	 Zero Crossing Rate Y Gyro Left 	 0.035
9 	 57 	 Mean Square Frequency X Accel Left 	 0.035
10 	 17 	 Excess Kurtosis Y Gyro Left 		 0.029


# Extracted Features - Right


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 55 	 Zero Crossing Rate X Accel Right 		 0.156
2 	 10 	 Zero Crossing Rate Z Accel Right 		 0.119
3 	 85 	 Zero Crossing Rate Y Accel Right 		 0.108
4 	 14 	 Root Variance Frequency Z Accel Right 		 0.084
5 	 13 	 Root Mean Square Frequency Z Accel Right 	 0.084
6 	 79 	 Max Y Accel Right 				 0.079
7 	 40 	 Zero Crossing Rate Z Gyro Right 		 0.074
8 	 56 	 Frequency Center X Accel Right 		 0.071
9 	 9 	 Std Dev Z Accel Right 				 0.065
10 	 57 	 Mean Square Frequency X Accel Right 		 0.065

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 55 	 Zero Crossing Rate X Accel Right 	 0.156
2 	 10 	 Zero Crossing Rate Z Accel Right 	 0.087
3 	 85 	 Zero Crossing Rate Y Accel Right 	 0.081
4 	 40 	 Zero Crossing Rate Z Gyro Right 	 0.047
5 	 26 	 Frequency Center Y Gyro Right 		 0.043
6 	 56 	 Frequency Center X Accel Right 	 0.034
7 	 79 	 Max Y Accel Right 			 0.030
8 	 71 	 Frequency Center X Gyro Right 		 0.022
9 	 14 	 Root Variance Frequency Z Accel Right 	 0.025
10 	 86 	 Frequency Center Y Accel Right 	 0.025


# FFT - Middle


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 383 	 Y Accel 36.4 Hz 	 0.150
2 	 389 	 Y Accel 35.4 Hz 	 0.149
3 	 395 	 Y Accel 34.3 Hz 	 0.140
4 	 401 	 Y Accel 33.3 Hz 	 0.118
5 	 377 	 Y Accel 37.4 Hz 	 0.108
6 	 407 	 Y Accel 32.3 Hz 	 0.090
7 	 484 	 Z Accel 19.2 Hz 	 0.087
8 	 490 	 Z Accel 18.2 Hz 	 0.086
9 	 413 	 Y Accel 31.3 Hz 	 0.070
10 	 371 	 Y Accel 38.4 Hz 	 0.069

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 383 	 Y Accel 36.4 Hz 	 0.150
2 	 484 	 Z Accel 19.2 Hz 	 0.049
3 	 395 	 Y Accel 34.3 Hz 	 0.054
4 	 389 	 Y Accel 35.4 Hz 	 0.037
5 	 377 	 Y Accel 37.4 Hz 	 0.026
6 	 478 	 Z Accel 20.2 Hz 	 0.029
7 	 401 	 Y Accel 33.3 Hz 	 0.031
8 	 490 	 Z Accel 18.2 Hz 	 0.029
9 	 371 	 Y Accel 38.4 Hz 	 0.026
10 	 442 	 Z Accel 26.3 Hz 	 0.025


# FFT - Left


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.207
2 	 593 	 Y Accel 1.0 Hz 	 0.120
