,Left,Middle,Right
0,Z Gyro 0.0 Hz,Y Accel 36.4 Hz,Z Gyro 0.0 Hz
1,Z Accel 0.0 Hz,Z Accel 19.2 Hz,Y Accel 4.0 Hz
2,X Accel 4.0 Hz,Y Accel 34.3 Hz,Y Gyro 0.0 Hz
3,X Accel 0.0 Hz,Y Accel 35.4 Hz,X Gyro 0.0 Hz
4,X Accel 6.1 Hz,Y Accel 37.4 Hz,Z Accel 45.5 Hz
5,Y Gyro 0.0 Hz,Z Accel 20.2 Hz,Y Accel 0.0 Hz
6,Y Accel 3.0 Hz,Y Accel 33.3 Hz,Z Accel 37.4 Hz
7,Y Accel 4.0 Hz,Z Accel 18.2 Hz,Z Accel 42.4 Hz
8,Y Accel 27.3 Hz,Y Accel 38.4 Hz,Z Accel 41.4 Hz
9,Y Accel 1.0 Hz,Z Accel 26.3 Hz,Z Accel 0.0 Hz
10,X Gyro 0.0 Hz,Z Accel 17.2 Hz,X Accel 1.0 Hz
11,X Accel 34.3 Hz,Z Accel 22.2 Hz,Z Accel 39.4 Hz
12,Y Gyro 33.3 Hz,Y Accel 32.3 Hz,Y Accel 42.4 Hz
13,Z Gyro 33.3 Hz,Y Accel 31.3 Hz,Z Accel 40.4 Hz
14,X Accel 3.0 Hz,Z Accel 21.2 Hz,Z Accel 44.4 Hz
15,Z Accel 34.3 Hz,Y Accel 39.4 Hz,Y Accel 3.0 Hz
16,Y Accel 34.3 Hz,Z Accel 27.3 Hz,X Gyro 32.3 Hz
17,X Accel 1.0 Hz,Z Accel 28.3 Hz,Y Accel 1.0 Hz
18,Y Gyro 34.3 Hz,X Accel 99.0 Hz,Z Gyro 33.3 Hz
19,Z Gyro 32.3 Hz,Y Accel 30.3 Hz,Y Gyro 33.3 Hz
20,X Accel 33.3 Hz,Z Accel 25.3 Hz,X Gyro 33.3 Hz
21,X Gyro 32.3 Hz,Z Accel 32.3 Hz,X Accel 33.3 Hz
22,Y Gyro 32.3 Hz,Z Accel 16.2 Hz,X Accel 3.0 Hz
23,Y Accel 0.0 Hz,Y Accel 29.3 Hz,Y Gyro 32.3 Hz
24,X Gyro 33.3 Hz,Z Accel 24.2 Hz,Z Gyro 32.3 Hz
25,Z Accel 33.3 Hz,Y Accel 40.4 Hz,Y Accel 35.4 Hz
26,Z Gyro 35.4 Hz,X Accel 19.2 Hz,Z Accel 33.3 Hz
27,Y Accel 33.3 Hz,Z Accel 30.3 Hz,Y Accel 33.3 Hz
28,X Gyro 34.3 Hz,Z Accel 23.2 Hz,X Accel 34.3 Hz
29,Y Accel 32.3 Hz,X Accel 18.2 Hz,Y Accel 32.3 Hz
30,Z Gyro 34.3 Hz,X Accel 97.0 Hz,Y Accel 34.3 Hz
31,X Gyro 36.4 Hz,Y Accel 28.3 Hz,X Accel 36.4 Hz
32,Y Accel 36.4 Hz,Z Accel 31.3 Hz,Y Gyro 35.4 Hz
33,Z Accel 37.4 Hz,X Accel 17.2 Hz,X Accel 2.0 Hz
34,Y Accel 37.4 Hz,Y Accel 27.3 Hz,Z Gyro 36.4 Hz
35,X Accel 37.4 Hz,X Accel 93.9 Hz,Y Gyro 36.4 Hz
36,Z Gyro 36.4 Hz,X Accel 94.9 Hz,X Gyro 36.4 Hz
37,Y Gyro 36.4 Hz,X Accel 92.9 Hz,Z Accel 36.4 Hz
38,X Accel 35.4 Hz,X Accel 98.0 Hz,Y Accel 36.4 Hz
39,Z Accel 36.4 Hz,X Accel 87.9 Hz,Z Accel 34.3 Hz
40,Y Accel 35.4 Hz,X Accel 91.9 Hz,Z Gyro 35.4 Hz
41,X Accel 36.4 Hz,Y Accel 0.0 Hz,X Accel 0.0 Hz
42,X Gyro 30.3 Hz,X Accel 96.0 Hz,X Gyro 34.3 Hz
