,Left,Middle,Right
0,FFT 0.0 Hz Z Gyro Left,FFT 19.0 Hz Z Accel Middle,FFT 0.0 Hz Z Gyro Right
1,FFT 0.0 Hz Z Accel Left,FFT 21.0 Hz Z Accel Middle,FFT 4.0 Hz Y Accel Right
2,FFT 4.0 Hz X Accel Left,FFT 18.0 Hz Z Accel Middle,FFT 0.0 Hz Y Gyro Right
3,FFT 0.0 Hz X Accel Left,FFT 20.0 Hz Z Accel Middle,FFT 0.0 Hz X Gyro Right
4,FFT 6.0 Hz X Accel Left,FFT 17.0 Hz Z Accel Middle,FFT 13.0 Hz Y Gyro Right
5,FFT 0.0 Hz Y Gyro Left,FFT 25.0 Hz Z Accel Middle,FFT 0.0 Hz Y Accel Right
6,FFT 3.0 Hz Y Accel Left,FFT 22.0 Hz Z Accel Middle,FFT 13.0 Hz X Gyro Right
7,FFT 4.0 Hz Y Accel Left,FFT 0.0 Hz Y Accel Middle,FFT 0.0 Hz Z Accel Right
8,FFT 0.0 Hz X Gyro Left,FFT 16.0 Hz Z Accel Middle,FFT 13.0 Hz Z Gyro Right
9,FFT 1.0 Hz Y Accel Left,FFT 26.0 Hz Z Accel Middle,FFT 14.0 Hz X Gyro Right
10,FFT 13.0 Hz Z Gyro Left,FFT 24.0 Hz Z Accel Middle,FFT 1.0 Hz X Accel Right
11,FFT 13.0 Hz Z Accel Left,FFT 19.0 Hz X Accel Middle,FFT 14.0 Hz X Accel Right
12,FFT 13.0 Hz X Gyro Left,FFT 17.0 Hz X Accel Middle,FFT 14.0 Hz Y Accel Right
13,FFT 13.0 Hz Y Gyro Left,FFT 18.0 Hz X Accel Middle,FFT 14.0 Hz Z Accel Right
14,FFT 3.0 Hz X Accel Left,FFT 27.0 Hz Z Accel Middle,FFT 12.0 Hz Z Accel Right
15,FFT 14.0 Hz Y Gyro Left,FFT 23.0 Hz Z Accel Middle,FFT 3.0 Hz Y Accel Right
16,FFT 14.0 Hz Z Accel Left,FFT 0.0 Hz X Accel Middle,FFT 14.0 Hz Y Gyro Right
17,FFT 1.0 Hz X Accel Left,FFT 27.0 Hz Y Accel Middle,FFT 1.0 Hz Y Accel Right
18,FFT 14.0 Hz X Accel Left,FFT 31.0 Hz Y Accel Middle,FFT 14.0 Hz Z Gyro Right
19,FFT 14.0 Hz Y Accel Left,FFT 15.0 Hz Z Accel Middle,FFT 13.0 Hz Z Accel Right
20,FFT 14.0 Hz Z Gyro Left,FFT 24.0 Hz Y Accel Middle,FFT 15.0 Hz Y Accel Right
21,FFT 14.0 Hz X Gyro Left,FFT 32.0 Hz Y Accel Middle,FFT 13.0 Hz Y Accel Right
22,FFT 15.0 Hz Y Accel Left,FFT 21.0 Hz Y Accel Middle,FFT 3.0 Hz X Accel Right
23,FFT 0.0 Hz Y Accel Left,FFT 20.0 Hz X Accel Middle,FFT 11.0 Hz Z Gyro Right
24,FFT 12.0 Hz Y Accel Left,FFT 25.0 Hz Y Accel Middle,FFT 12.0 Hz Y Accel Right
25,FFT 12.0 Hz Z Accel Left,FFT 29.0 Hz Y Accel Middle,FFT 11.0 Hz Z Accel Right
26,FFT 11.0 Hz X Gyro Left,FFT 22.0 Hz Y Accel Middle,FFT 11.0 Hz X Gyro Right
27,FFT 11.0 Hz Y Gyro Left,FFT 26.0 Hz Y Accel Middle,FFT 11.0 Hz Y Gyro Right
28,FFT 11.0 Hz Z Gyro Left,FFT 28.0 Hz Z Accel Middle,FFT 13.0 Hz X Accel Right
29,FFT 12.0 Hz X Accel Left,FFT 30.0 Hz Y Accel Middle,FFT 12.0 Hz X Accel Right
30,FFT 13.0 Hz Y Accel Left,FFT 23.0 Hz Y Accel Middle,FFT 12.0 Hz Z Gyro Right
31,FFT 13.0 Hz X Accel Left,FFT 20.0 Hz Y Accel Middle,FFT 16.0 Hz Z Accel Right
32,FFT 12.0 Hz X Gyro Left,FFT 0.0 Hz Z Accel Middle,FFT 2.0 Hz X Accel Right
33,FFT 16.0 Hz X Gyro Left,FFT 21.0 Hz X Accel Middle,FFT 12.0 Hz X Gyro Right
34,FFT 12.0 Hz Y Gyro Left,FFT 28.0 Hz Y Accel Middle,FFT 12.0 Hz Y Gyro Right
35,FFT 12.0 Hz Z Gyro Left,FFT 16.0 Hz X Accel Middle,FFT 15.0 Hz X Accel Right
36,FFT 15.0 Hz X Accel Left,FFT 33.0 Hz Y Accel Middle,FFT 11.0 Hz X Accel Right
37,FFT 11.0 Hz Y Accel Left,FFT 19.0 Hz Y Accel Middle,FFT 18.0 Hz X Gyro Right
38,FFT 15.0 Hz Z Accel Left,FFT 24.0 Hz X Accel Middle,FFT 18.0 Hz Z Gyro Right
39,FFT 18.0 Hz X Gyro Left,FFT 0.0 Hz Z Gyro Middle,FFT 18.0 Hz X Accel Right
40,FFT 18.0 Hz Z Gyro Left,FFT 22.0 Hz X Accel Middle,FFT 18.0 Hz Y Accel Right
41,FFT 18.0 Hz X Accel Left,FFT 29.0 Hz Z Accel Middle,FFT 0.0 Hz X Accel Right
42,FFT 18.0 Hz Y Accel Left,FFT 34.0 Hz Y Accel Middle,FFT 18.0 Hz Z Accel Right
43,FFT 18.0 Hz Z Accel Left,FFT 25.0 Hz X Accel Middle,FFT 17.0 Hz Y Gyro Right
44,FFT 17.0 Hz Y Gyro Left,FFT 1.0 Hz X Accel Middle,FFT 18.0 Hz Y Gyro Right
45,FFT 18.0 Hz Y Gyro Left,FFT 26.0 Hz X Accel Middle,FFT 17.0 Hz Z Accel Right
46,FFT 17.0 Hz X Gyro Left,FFT 14.0 Hz X Accel Middle,FFT 19.0 Hz X Accel Right
47,FFT 19.0 Hz X Accel Left,FFT 14.0 Hz Z Accel Middle,FFT 19.0 Hz Y Accel Right
48,FFT 2.0 Hz X Accel Left,FFT 27.0 Hz X Accel Middle,FFT 19.0 Hz Z Accel Right
49,FFT 19.0 Hz Y Accel Left,FFT 15.0 Hz X Accel Middle,FFT 17.0 Hz Z Gyro Right
50,FFT 19.0 Hz Z Accel Left,FFT 23.0 Hz X Accel Middle,FFT 2.0 Hz Y Accel Right
51,FFT 17.0 Hz Z Gyro Left,FFT 16.0 Hz Y Accel Middle,FFT 15.0 Hz Z Accel Right
52,FFT 15.0 Hz X Gyro Left,FFT 12.0 Hz Z Accel Middle,FFT 17.0 Hz X Gyro Right
53,FFT 16.0 Hz Z Accel Left,FFT 18.0 Hz Y Accel Middle,FFT 16.0 Hz Y Accel Right
54,FFT 16.0 Hz Y Gyro Left,FFT 11.0 Hz X Gyro Middle,FFT 16.0 Hz X Gyro Right
55,FFT 15.0 Hz Z Gyro Left,FFT 11.0 Hz Z Accel Middle,FFT 15.0 Hz Y Gyro Right
56,FFT 16.0 Hz X Accel Left,FFT 1.0 Hz Z Accel Middle,FFT 15.0 Hz Z Gyro Right
57,FFT 2.0 Hz Y Accel Left,FFT 11.0 Hz Y Accel Middle,FFT 16.0 Hz X Accel Right
58,FFT 16.0 Hz Y Accel Left,FFT 11.0 Hz Y Gyro Middle,FFT 15.0 Hz X Gyro Right
59,FFT 15.0 Hz Y Gyro Left,FFT 10.0 Hz Z Gyro Middle,FFT 9.0 Hz Y Gyro Right
60,FFT 9.0 Hz Y Gyro Left,FFT 12.0 Hz X Accel Middle,FFT 17.0 Hz Y Accel Right
61,FFT 17.0 Hz Z Accel Left,FFT 12.0 Hz Y Accel Middle,FFT 16.0 Hz Y Gyro Right
62,FFT 16.0 Hz Z Gyro Left,FFT 11.0 Hz Z Gyro Middle,FFT 16.0 Hz Z Gyro Right
63,FFT 17.0 Hz X Accel Left,FFT 12.0 Hz X Gyro Middle,FFT 17.0 Hz X Accel Right
64,FFT 17.0 Hz Y Accel Left,FFT 11.0 Hz X Accel Middle,FFT 11.0 Hz Y Accel Right
65,FFT 11.0 Hz Z Accel Left,FFT 10.0 Hz X Accel Middle,FFT 19.0 Hz Y Gyro Right
66,FFT 19.0 Hz Y Gyro Left,FFT 10.0 Hz Z Accel Middle,FFT 10.0 Hz Z Gyro Right
67,FFT 11.0 Hz X Accel Left,FFT 1.0 Hz Y Gyro Middle,FFT 4.0 Hz Z Gyro Right
68,FFT 5.0 Hz X Accel Left,FFT 9.0 Hz Z Gyro Middle,FFT 5.0 Hz Y Accel Right
69,FFT 5.0 Hz Z Accel Left,FFT 12.0 Hz Z Gyro Middle,FFT 4.0 Hz Z Accel Right
70,FFT 4.0 Hz X Gyro Left,FFT 10.0 Hz Y Accel Middle,FFT 4.0 Hz X Gyro Right
