,Left,Middle,Right
0,Zero Crossing Rate X Accel Left,Root Mean Square Frequency Y Accel Middle,Zero Crossing Rate Y Accel Right
1,Zero Crossing Rate Y Accel Left,Excess Kurtosis Z Gyro Middle,Zero Crossing Rate Z Accel Right
2,Zero Crossing Rate Z Gyro Left,Mean Y Gyro Middle,Zero Crossing Rate X Accel Right
3,Variance Frequency Z Accel Left,Skew Z Accel Middle,Zero Crossing Rate Z Gyro Right
4,Variance Frequency Y Accel Left,Zero Crossing Rate X Gyro Middle,Variance Frequency Y Accel Right
5,Zero Crossing Rate Z Accel Left,Zero Crossing Rate Z Accel Middle,Zero Crossing Rate X Gyro Right
6,Frequency Center Z Gyro Left,Mean Square Frequency Z Gyro Middle,Variance Frequency X Accel Right
7,Frequency Center X Accel Left,Excess Kurtosis X Gyro Middle,Zero Crossing Rate Y Gyro Right
8,Variance Frequency X Gyro Left,Mean Square Frequency Y Gyro Middle,Variance Frequency Z Accel Right
9,Excess Kurtosis X Accel Left,Autocorrelation Z Gyro Middle,Frequency Center Z Gyro Right
10,Zero Crossing Rate Y Gyro Left,Skew X Accel Middle,Min Y Accel Right
11,Excess Kurtosis Y Gyro Left,Mean Z Accel Middle,Variance Frequency Y Gyro Right
12,Min Y Accel Left,Frequency Center Y Gyro Middle,Frequency Center X Accel Right
13,Zero Crossing Rate X Gyro Left,Frequency Center Z Gyro Middle,Min X Accel Right
14,Max Y Accel Left,Skew Y Gyro Middle,Mean Square Frequency Z Accel Right
15,Mean Square Frequency Z Accel Left,Min Z Accel Middle,Mean Square Frequency Y Gyro Right
16,Min X Accel Left,Zero Crossing Rate Z Gyro Middle,Max Y Accel Right
17,Max X Accel Left,Skew Y Accel Middle,Variance Frequency X Gyro Right
18,Excess Kurtosis Y Accel Left,Variance Frequency Y Accel Middle,Max X Accel Right
19,Std Dev Z Gyro Left,Zero Crossing Rate X Accel Middle,Mean Square Frequency Z Gyro Right
20,Frequency Center Y Accel Left,Zero Crossing Rate Y Accel Middle,Excess Kurtosis X Gyro Right
21,Mean Square Frequency Y Gyro Left,Excess Kurtosis Y Gyro Middle,Excess Kurtosis Y Gyro Right
22,Excess Kurtosis Z Gyro Left,Mean X Accel Middle,Mean Square Frequency X Gyro Right
23,Mean Square Frequency X Gyro Left,Skew Z Gyro Middle,Excess Kurtosis Z Gyro Right
24,Variance Frequency Y Gyro Left,Skew X Gyro Middle,Excess Kurtosis Z Accel Right
25,Mean Square Frequency X Accel Left,Variance Frequency Z Accel Middle,Excess Kurtosis Y Accel Right
26,Excess Kurtosis Z Accel Left,Variance Frequency X Gyro Middle,Frequency Center Y Accel Right
27,Autocorrelation X Gyro Left,Autocorrelation X Gyro Middle,Root Mean Square Frequency Z Accel Right
28,Excess Kurtosis X Gyro Left,Excess Kurtosis Y Accel Middle,Std Dev Z Gyro Right
29,Variance Frequency X Accel Left,Zero Crossing Rate Y Gyro Middle,Autocorrelation Z Accel Right
30,Max Z Accel Left,Excess Kurtosis X Accel Middle,Std Dev X Gyro Right
31,Mean Square Frequency Z Gyro Left,Mean Square Frequency Z Accel Middle,Excess Kurtosis X Accel Right
32,Std Dev Z Accel Left,Variance Frequency Z Gyro Middle,Variance Frequency Z Gyro Right
33,Variance Frequency Z Gyro Left,Mean Y Accel Middle,Skew Z Accel Right
34,Skew Y Gyro Left,Std Dev Z Gyro Middle,Skew Y Gyro Right
35,Autocorrelation Y Gyro Left,Mean Square Frequency Y Accel Middle,Min X Gyro Right
36,Root Mean Square Frequency Z Accel Left,Excess Kurtosis Z Accel Middle,Autocorrelation Y Gyro Right
37,Autocorrelation Z Accel Left,Variance Frequency X Accel Middle,Skew X Gyro Right
38,Skew Z Accel Left,Root Mean Square Frequency Z Gyro Middle,L2 Norm Z Gyro Right
39,Skew X Gyro Left,Mean Square Frequency X Gyro Middle,Std Dev Y Gyro Right
40,Max Z Gyro Left,Min Z Gyro Middle,Frequency Center Z Accel Right
41,Root Variance Frequency X Gyro Left,Frequency Center Z Accel Middle,Skew X Accel Right
42,Root Mean Square Frequency Z Gyro Left,Max X Gyro Middle,Mean Square Frequency X Accel Right
43,Root Mean Square Frequency Y Gyro Left,Mean Square Frequency X Accel Middle,Frequency Center Y Gyro Right
44,Frequency Center X Gyro Left,Autocorrelation Y Accel Middle,Std Dev Z Accel Right
45,Skew X Accel Left,Autocorrelation X Accel Middle,Root Variance Frequency X Gyro Right
46,Skew Y Accel Left,Variance Frequency Y Gyro Middle,Root Mean Square Frequency Z Gyro Right
47,Skew Z Gyro Left,Max Z Gyro Middle,Root Variance Frequency Z Accel Right
48,Frequency Center Z Accel Left,Root Variance Frequency Y Accel Middle,Root Mean Square Frequency Y Gyro Right
49,Frequency Center Y Gyro Left,Frequency Center X Gyro Middle,Autocorrelation X Gyro Right
50,L2 Norm Y Accel Left,Root Variance Frequency Z Gyro Middle,Skew Z Gyro Right
51,L2 Norm X Gyro Left,Frequency Center X Accel Middle,Root Variance Frequency Y Accel Right
52,Root Variance Frequency Z Accel Left,Min X Accel Middle,Max Z Accel Right
53,Mean Square Frequency Y Accel Left,Frequency Center Y Accel Middle,Frequency Center X Gyro Right
54,Max Y Gyro Left,Mean X Gyro Middle,Skew Y Accel Right
55,Max X Gyro Left,Autocorrelation Z Accel Middle,Min Z Accel Right
56,Min Y Gyro Left,Root Mean Squared Z Gyro Middle,Max X Gyro Right
57,Min X Gyro Left,Max Y Accel Middle,Min Y Gyro Right
58,Std Dev Y Accel Left,Min Y Accel Middle,Min Z Gyro Right
59,Root Variance Frequency Z Gyro Left,Max X Accel Middle,Max Y Gyro Right
60,Std Dev X Gyro Left,Root Mean Square Frequency X Gyro Middle,Root Mean Squared Y Accel Right
61,Root Mean Squared Z Accel Left,Max Z Accel Middle,Root Variance Frequency Z Gyro Right
62,Root Mean Square Frequency X Gyro Left,Min X Gyro Middle,Root Mean Square Frequency X Gyro Right
63,Min Z Gyro Left,Mean Z Gyro Middle,Mean Square Frequency Y Accel Right
64,Root Variance Frequency Y Gyro Left,Std Dev X Gyro Middle,L2 Norm Y Gyro Right
65,Autocorrelation X Accel Left,Autocorrelation Y Gyro Middle,Std Dev X Accel Right
66,Std Dev Y Gyro Left,L2 Norm Z Gyro Middle,Root Variance Frequency Y Gyro Right
67,Min Z Accel Left,Root Mean Square Frequency Z Accel Middle,Max Z Gyro Right
68,Mean Y Gyro Left,Max Y Gyro Middle,Root Mean Squared Z Accel Right
69,Std Dev X Accel Left,L2 Norm X Gyro Middle,Root Mean Squared X Gyro Right
70,Root Mean Square Frequency Y Accel Left,Min Y Gyro Middle,Root Variance Frequency X Accel Right
71,L2 Norm Y Gyro Left,Root Variance Frequency X Gyro Middle,Mean X Gyro Right
72,Root Mean Square Frequency X Accel Left,L2 Norm X Accel Middle,Std Dev Y Accel Right
73,Autocorrelation Y Accel Left,Std Dev Y Accel Middle,Mean Z Accel Right
74,L2 Norm Z Accel Left,Root Variance Frequency Z Accel Middle,Root Mean Squared X Accel Right
75,Mean X Gyro Left,Root Mean Squared Y Accel Middle,Root Mean Squared Y Gyro Right
76,L2 Norm Z Gyro Left,Root Mean Square Frequency X Accel Middle,Mean Z Gyro Right
77,Mean Z Accel Left,Root Mean Squared X Gyro Middle,Root Mean Square Frequency Y Accel Right
78,L2 Norm X Accel Left,Root Mean Squared X Accel Middle,L2 Norm X Gyro Right
79,Root Mean Squared X Gyro Left,Root Variance Frequency Y Gyro Middle,Root Mean Square Frequency X Accel Right
80,Mean Y Accel Left,L2 Norm Y Accel Middle,L2 Norm Z Accel Right
81,Root Variance Frequency Y Accel Left,Std Dev X Accel Middle,L2 Norm Y Accel Right
82,Root Mean Squared Y Gyro Left,Root Variance Frequency X Accel Middle,Mean X Accel Right
