,Left,Middle,Right
0,Z Accel 61.0 Hz,X Gyro 56.0 Hz,Z Accel 58.0 Hz
1,Z Accel 11.0 Hz,Y Gyro 4.0 Hz,Z Accel 73.0 Hz
2,Z Accel 56.0 Hz,Y Accel 84.0 Hz,Z Accel 46.0 Hz
3,Z Accel 63.0 Hz,Y Gyro 7.0 Hz,Z Accel 56.0 Hz
4,Z Accel 57.0 Hz,X Accel 35.0 Hz,Z Accel 72.0 Hz
5,Z Accel 73.0 Hz,X Gyro 58.0 Hz,Z Accel 53.0 Hz
6,Z Accel 55.0 Hz,Y Gyro 6.0 Hz,Z Accel 88.0 Hz
7,Z Accel 58.0 Hz,Y Accel 89.0 Hz,Z Accel 57.0 Hz
8,Z Accel 62.0 Hz,Y Gyro 3.0 Hz,Z Accel 74.0 Hz
9,Z Accel 80.0 Hz,Y Accel 81.0 Hz,Z Accel 92.0 Hz
10,Z Accel 54.0 Hz,Y Gyro 9.0 Hz,Z Accel 54.0 Hz
11,Z Accel 60.0 Hz,X Gyro 59.0 Hz,Z Accel 71.0 Hz
12,Z Accel 66.0 Hz,X Accel 34.0 Hz,Z Accel 59.0 Hz
13,Z Accel 59.0 Hz,Y Gyro 5.0 Hz,Z Accel 86.0 Hz
14,Z Accel 65.0 Hz,Y Accel 86.0 Hz,Z Accel 70.0 Hz
15,Z Accel 86.0 Hz,Y Gyro 2.0 Hz,Z Accel 55.0 Hz
16,Z Accel 64.0 Hz,X Gyro 63.0 Hz,Z Accel 95.0 Hz
17,Z Accel 78.0 Hz,X Gyro 53.0 Hz,Z Accel 47.0 Hz
18,Z Accel 53.0 Hz,Y Gyro 8.0 Hz,Z Accel 89.0 Hz
19,Z Accel 67.0 Hz,Y Accel 87.0 Hz,Z Accel 69.0 Hz
20,Z Accel 74.0 Hz,X Gyro 57.0 Hz,Z Accel 94.0 Hz
21,Z Accel 46.0 Hz,Y Accel 10.0 Hz,Z Accel 78.0 Hz
22,Z Accel 69.0 Hz,Y Accel 78.0 Hz,Z Accel 52.0 Hz
23,Z Accel 72.0 Hz,Y Accel 51.0 Hz,Z Accel 45.0 Hz
24,Z Accel 10.0 Hz,Y Gyro 10.0 Hz,Z Accel 11.0 Hz
25,Z Accel 51.0 Hz,Y Accel 90.0 Hz,Z Accel 80.0 Hz
26,Z Accel 84.0 Hz,Y Gyro 11.0 Hz,Z Accel 48.0 Hz
27,Z Accel 52.0 Hz,Y Accel 83.0 Hz,Z Accel 76.0 Hz
28,Z Accel 70.0 Hz,X Gyro 65.0 Hz,Z Accel 90.0 Hz
29,Z Accel 68.0 Hz,X Accel 36.0 Hz,Z Accel 61.0 Hz
30,Z Accel 47.0 Hz,X Gyro 61.0 Hz,Z Accel 83.0 Hz
31,Z Accel 12.0 Hz,X Gyro 6.0 Hz,Z Accel 60.0 Hz
32,Z Accel 71.0 Hz,Y Accel 80.0 Hz,Z Accel 96.0 Hz
33,Z Accel 45.0 Hz,X Gyro 55.0 Hz,Z Accel 10.0 Hz
34,Z Accel 89.0 Hz,Y Accel 11.0 Hz,Z Accel 77.0 Hz
35,Z Accel 14.0 Hz,X Accel 33.0 Hz,Z Accel 91.0 Hz
36,Z Accel 75.0 Hz,Y Accel 47.0 Hz,Z Accel 49.0 Hz
37,Z Accel 49.0 Hz,X Gyro 1.0 Hz,Z Accel 44.0 Hz
38,Z Accel 82.0 Hz,X Gyro 62.0 Hz,Z Accel 12.0 Hz
39,Z Accel 48.0 Hz,Y Accel 94.0 Hz,Z Accel 84.0 Hz
40,Z Accel 76.0 Hz,X Accel 37.0 Hz,Z Accel 75.0 Hz
41,Z Accel 9.0 Hz,Z Accel 9.0 Hz,Z Accel 51.0 Hz
42,Z Accel 79.0 Hz,Y Accel 82.0 Hz,Z Accel 97.0 Hz
43,Z Accel 81.0 Hz,Y Accel 12.0 Hz,Z Accel 68.0 Hz
44,Z Accel 50.0 Hz,Y Accel 49.0 Hz,Z Accel 93.0 Hz
45,Z Accel 77.0 Hz,X Gyro 54.0 Hz,Z Accel 85.0 Hz
46,Z Accel 13.0 Hz,X Gyro 5.0 Hz,Z Accel 13.0 Hz
47,Z Accel 92.0 Hz,Y Accel 91.0 Hz,Z Accel 81.0 Hz
48,Z Accel 88.0 Hz,X Gyro 66.0 Hz,Z Accel 43.0 Hz
49,Z Accel 15.0 Hz,Y Gyro 12.0 Hz,Z Accel 98.0 Hz
50,Z Accel 91.0 Hz,Y Gyro 36.0 Hz,Z Accel 14.0 Hz
51,Z Accel 17.0 Hz,Y Accel 52.0 Hz,Z Accel 82.0 Hz
52,Z Accel 85.0 Hz,Z Accel 11.0 Hz,Z Accel 67.0 Hz
53,Z Accel 87.0 Hz,X Gyro 51.0 Hz,Z Accel 42.0 Hz
54,Z Accel 16.0 Hz,Y Gyro 35.0 Hz,Z Accel 9.0 Hz
55,Z Accel 83.0 Hz,X Gyro 88.0 Hz,Z Accel 87.0 Hz
56,Z Accel 43.0 Hz,X Gyro 64.0 Hz,Z Accel 50.0 Hz
57,Z Accel 21.0 Hz,X Gyro 4.0 Hz,Z Accel 79.0 Hz
58,Z Accel 90.0 Hz,Y Accel 92.0 Hz,Z Accel 62.0 Hz
59,Z Accel 44.0 Hz,Y Accel 14.0 Hz,Z Accel 41.0 Hz
60,Z Accel 94.0 Hz,X Gyro 10.0 Hz,Z Accel 8.0 Hz
61,Z Accel 20.0 Hz,Y Accel 98.0 Hz,Z Accel 66.0 Hz
62,Z Accel 97.0 Hz,X Gyro 60.0 Hz,Z Accel 36.0 Hz
63,Z Accel 27.0 Hz,X Gyro 7.0 Hz,Z Accel 99.0 Hz
64,Z Accel 19.0 Hz,Y Accel 75.0 Hz,Z Accel 37.0 Hz
65,Z Accel 98.0 Hz,X Gyro 12.0 Hz,Z Accel 19.0 Hz
66,Z Accel 95.0 Hz,Y Accel 50.0 Hz,Z Accel 34.0 Hz
67,Z Accel 23.0 Hz,X Gyro 89.0 Hz,Z Accel 15.0 Hz
68,Z Accel 96.0 Hz,Z Accel 10.0 Hz,Z Accel 29.0 Hz
69,Z Accel 24.0 Hz,Y Accel 54.0 Hz,Z Accel 40.0 Hz
70,Z Accel 93.0 Hz,Y Accel 93.0 Hz,Z Accel 17.0 Hz
71,Z Accel 28.0 Hz,Y Gyro 1.0 Hz,Z Accel 33.0 Hz
72,Z Accel 41.0 Hz,X Gyro 52.0 Hz,Z Accel 64.0 Hz
73,Z Accel 29.0 Hz,Y Gyro 38.0 Hz,Z Accel 25.0 Hz
74,Z Accel 42.0 Hz,Y Accel 95.0 Hz,Z Accel 63.0 Hz
75,Z Accel 8.0 Hz,X Gyro 2.0 Hz,Z Accel 21.0 Hz
76,Z Accel 22.0 Hz,Y Gyro 37.0 Hz,Z Accel 35.0 Hz
77,Z Accel 26.0 Hz,X Gyro 97.0 Hz,Z Accel 38.0 Hz
78,Z Accel 30.0 Hz,X Gyro 8.0 Hz,Z Accel 7.0 Hz
79,Z Accel 18.0 Hz,Z Accel 35.0 Hz,Z Accel 65.0 Hz
80,Z Accel 7.0 Hz,Y Accel 88.0 Hz,Z Accel 39.0 Hz
81,Z Accel 33.0 Hz,X Gyro 11.0 Hz,Z Accel 16.0 Hz
82,X Accel 67.0 Hz,X Gyro 50.0 Hz,Z Accel 26.0 Hz
83,Z Accel 5.0 Hz,Y Accel 7.0 Hz,Z Accel 20.0 Hz
84,X Accel 68.0 Hz,Y Accel 85.0 Hz,Z Accel 22.0 Hz
85,Z Accel 25.0 Hz,Y Gyro 13.0 Hz,X Gyro 59.0 Hz
86,Z Accel 40.0 Hz,Y Accel 53.0 Hz,Z Accel 18.0 Hz
87,Z Accel 34.0 Hz,Y Accel 77.0 Hz,Z Accel 28.0 Hz
88,X Accel 71.0 Hz,Z Accel 12.0 Hz,Z Accel 23.0 Hz
89,Z Accel 32.0 Hz,Y Gyro 33.0 Hz,Z Accel 32.0 Hz
90,Y Accel 62.0 Hz,Y Accel 9.0 Hz,Z Accel 31.0 Hz
91,Z Accel 31.0 Hz,Y Accel 76.0 Hz,Z Accel 24.0 Hz
92,Z Accel 6.0 Hz,Y Accel 56.0 Hz,Z Accel 6.0 Hz
93,Z Accel 35.0 Hz,X Gyro 90.0 Hz,Z Accel 5.0 Hz
94,X Accel 70.0 Hz,Y Accel 8.0 Hz,Z Accel 27.0 Hz
