,Left,Middle,Right
0,PSDLog 11.0 Hz Z Accel Left,PSDLog 10.0 Hz Y Gyro Middle,PSDLog 11.0 Hz Z Accel Right
1,PSDLog 21.0 Hz Z Accel Left,PSDLog 32.0 Hz Z Accel Middle,PSDLog 26.0 Hz Z Accel Right
2,PSDLog 9.0 Hz Z Gyro Left,PSDLog 3.0 Hz Y Gyro Middle,PSDLog 10.0 Hz Z Accel Right
3,PSDLog 14.0 Hz Z Accel Left,PSDLog 35.0 Hz X Accel Middle,PSDLog 20.0 Hz Z Accel Right
4,PSDLog 10.0 Hz Z Accel Left,PSDLog 7.0 Hz Y Gyro Middle,PSDLog 37.0 Hz Z Accel Right
5,PSDLog 19.0 Hz Z Accel Left,PSDLog 34.0 Hz Z Accel Middle,PSDLog 12.0 Hz Z Accel Right
6,PSDLog 29.0 Hz Z Accel Left,PSDLog 4.0 Hz Y Gyro Middle,PSDLog 25.0 Hz Z Accel Right
7,PSDLog 12.0 Hz Z Accel Left,PSDLog 10.0 Hz Y Accel Middle,PSDLog 14.0 Hz Z Accel Right
8,PSDLog 23.0 Hz Z Accel Left,PSDLog 33.0 Hz X Accel Middle,PSDLog 8.0 Hz Z Accel Right
9,PSDLog 17.0 Hz Z Accel Left,PSDLog 8.0 Hz Y Gyro Middle,PSDLog 24.0 Hz Z Accel Right
10,PSDLog 9.0 Hz Z Accel Left,PSDLog 12.0 Hz X Gyro Middle,PSDLog 32.0 Hz Z Accel Right
11,PSDLog 26.0 Hz Z Accel Left,PSDLog 5.0 Hz Y Gyro Middle,PSDLog 13.0 Hz Z Accel Right
12,PSDLog 13.0 Hz Z Accel Left,PSDLog 35.0 Hz Z Accel Middle,PSDLog 17.0 Hz Z Accel Right
13,PSDLog 28.0 Hz Z Accel Left,PSDLog 2.0 Hz Y Gyro Middle,PSDLog 34.0 Hz Z Accel Right
14,PSDLog 20.0 Hz Z Accel Left,PSDLog 32.0 Hz X Accel Middle,PSDLog 21.0 Hz Z Accel Right
15,PSDLog 16.0 Hz Z Accel Left,PSDLog 11.0 Hz Y Accel Middle,PSDLog 5.0 Hz Z Gyro Right
16,PSDLog 35.0 Hz Z Accel Left,PSDLog 6.0 Hz X Gyro Middle,PSDLog 19.0 Hz Z Accel Right
17,PSDLog 15.0 Hz Z Accel Left,PSDLog 34.0 Hz X Accel Middle,PSDLog 9.0 Hz Z Accel Right
18,PSDLog 24.0 Hz Z Accel Left,PSDLog 9.0 Hz Y Gyro Middle,PSDLog 22.0 Hz Z Accel Right
19,PSDLog 8.0 Hz Z Accel Left,PSDLog 6.0 Hz Y Gyro Middle,PSDLog 7.0 Hz Z Accel Right
20,PSDLog 2.0 Hz Z Gyro Left,PSDLog 33.0 Hz Y Gyro Middle,PSDLog 16.0 Hz Z Accel Right
21,PSDLog 27.0 Hz Z Accel Left,PSDLog 29.0 Hz Y Gyro Middle,PSDLog 35.0 Hz Z Accel Right
22,PSDLog 33.0 Hz Z Accel Left,PSDLog 11.0 Hz Y Gyro Middle,PSDLog 6.0 Hz Z Accel Right
23,PSDLog 7.0 Hz Z Accel Left,PSDLog 1.0 Hz X Gyro Middle,PSDLog 15.0 Hz Z Accel Right
24,PSDLog 22.0 Hz Z Accel Left,PSDLog 8.0 Hz X Gyro Middle,PSDLog 27.0 Hz Z Accel Right
25,PSDLog 18.0 Hz Z Accel Left,PSDLog 14.0 Hz Y Accel Middle,PSDLog 31.0 Hz Z Accel Right
26,PSDLog 34.0 Hz Z Accel Left,PSDLog 28.0 Hz Z Accel Middle,PSDLog 29.0 Hz Z Accel Right
27,PSDLog 6.0 Hz Z Accel Left,PSDLog 10.0 Hz X Gyro Middle,PSDLog 23.0 Hz Z Accel Right
28,PSDLog 32.0 Hz Z Accel Left,PSDLog 9.0 Hz Z Accel Middle,PSDLog 36.0 Hz Z Accel Right
29,PSDLog 6.0 Hz Z Gyro Left,PSDLog 33.0 Hz Z Accel Middle,PSDLog 18.0 Hz Z Accel Right
30,PSDLog 25.0 Hz Z Accel Left,PSDLog 12.0 Hz Y Accel Middle,PSDLog 0.0 Hz X Accel Right
31,PSDLog 0.0 Hz Y Accel Left,PSDLog 36.0 Hz Z Accel Middle,PSDLog 28.0 Hz Z Accel Right
32,PSDLog 30.0 Hz Z Accel Left,PSDLog 5.0 Hz X Gyro Middle,PSDLog 38.0 Hz Z Accel Right
33,PSDLog 5.0 Hz Z Accel Left,PSDLog 7.0 Hz X Gyro Middle,PSDLog 33.0 Hz Z Accel Right
34,PSDLog 31.0 Hz Z Accel Left,PSDLog 4.0 Hz X Gyro Middle,PSDLog 0.0 Hz Y Accel Right
35,PSDLog 36.0 Hz Z Accel Left,PSDLog 32.0 Hz Y Gyro Middle,PSDLog 8.0 Hz Z Gyro Right
36,PSDLog 0.0 Hz X Accel Left,PSDLog 10.0 Hz Z Accel Middle,PSDLog 5.0 Hz Z Accel Right
37,PSDLog 11.0 Hz Z Gyro Left,PSDLog 11.0 Hz X Gyro Middle,PSDLog 28.0 Hz X Gyro Right
38,PSDLog 37.0 Hz Z Accel Left,PSDLog 35.0 Hz Y Gyro Middle,PSDLog 30.0 Hz Z Accel Right
39,PSDLog 0.0 Hz Z Gyro Left,PSDLog 12.0 Hz Y Gyro Middle,PSDLog 2.0 Hz Z Gyro Right
40,PSDLog 39.0 Hz Z Accel Left,PSDLog 34.0 Hz Y Gyro Middle,PSDLog 35.0 Hz Y Gyro Right
41,PSDLog 39.0 Hz X Gyro Left,PSDLog 11.0 Hz Z Accel Middle,PSDLog 20.0 Hz X Accel Right
42,PSDLog 22.0 Hz X Accel Left,PSDLog 8.0 Hz Y Accel Middle,PSDLog 39.0 Hz Z Accel Right
43,PSDLog 39.0 Hz Y Gyro Left,PSDLog 29.0 Hz Z Accel Middle,PSDLog 4.0 Hz Z Gyro Right
44,PSDLog 23.0 Hz Y Accel Left,PSDLog 9.0 Hz X Gyro Middle,PSDLog 27.0 Hz X Gyro Right
45,PSDLog 4.0 Hz Z Gyro Left,PSDLog 3.0 Hz X Gyro Middle,PSDLog 0.0 Hz Z Gyro Right
