# Extracted Features - Remote Power


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 65 	 Max Y Gyro Middle 		 0.119
2 	 20 	 Max Y Accel Middle 	 0.110
3 	 19 	 AC Y Accel Middle 		 0.108
4 	 4 		 AC X Accel Middle 		 0.104
5 	 35 	 Max Z Accel Middle 	 0.102
6 	 27 	 RMSF Y Accel Middle 	 0.092
7 	 30 	 RVF Y Accel Middle 	 0.092
8 	 6 		 Min X Accel Middle 	 0.092
9 	 49 	 AC X Gyro Middle 		 0.091
10 	 21 	 Min Y Accel Middle 	 0.088
11 	 11 	 MSF X Accel Middle 	 0.087
12 	 32 	 SD Z Accel Middle 		 0.087
13 	 64 	 AC Y Gyro Middle 		 0.085
14 	 36 	 Min Z Accel Middle 	 0.084
15 	 33 	 Norm Z Accel Middle 	 0.083
16 	 37 	 RMS Z Accel Middle 	 0.083
17 	 17 	 SD Y Accel Middle 		 0.083
18 	 22 	 RMS Y Accel Middle 	 0.082
19 	 18 	 Norm Y Accel Middle 	 0.082
20 	 34 	 AC Z Accel Middle 		 0.081

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 65 	 Max Y Gyro Middle 		 0.119
2 	 59 	 VF X Gyro Middle 		 0.053
3 	 85 	 EK Z Gyro Middle 		 0.048
4 	 19 	 AC Y Accel Middle 		 0.059
5 	 10 	 EK X Accel Middle 		 0.037
6 	 77 	 SD Z Gyro Middle 		 0.030
7 	 4 		 AC X Accel Middle 		 0.032
8 	 70 	 EK Y Gyro Middle 		 0.028
9 	 83 	 ZCR Z Gyro Middle 		 0.027
10 	 14 	 VF X Accel Middle 		 0.026
11 	 20 	 Max Y Accel Middle 	 0.028
12 	 53 	 ZCR X Gyro Middle 		 0.020
13 	 21 	 Min Y Accel Middle 	 0.021
14 	 89 	 VF Z Gyro Middle 		 0.021
15 	 40 	 EK Z Accel Middle 		 0.020
16 	 11 	 MSF X Accel Middle 	 0.020
17 	 49 	 AC X Gyro Middle 		 0.019
18 	 27 	 RMSF Y Accel Middle 	 0.011
19 	 74 	 VF Y Gyro Middle 		 0.010
20 	 90 	 RVF Z Gyro Middle 		 0.008


# FFT - Remote Power


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 385 	 FFT 0.0 Hz Z Gyro Middle 		 0.060
