,Left,Middle,Right
0,,Excess Kurtosis X Gyro Middle,
1,,Zero Crossing Rate Z Gyro Middle,
2,,Mean Square Frequency Y Gyro Middle,
3,,Excess Kurtosis Y Accel Middle,
4,,Variance Frequency X Gyro Middle,
5,,Excess Kurtosis Z Gyro Middle,
6,,Variance Frequency Y Gyro Middle,
7,,Zero Crossing Rate Y Accel Middle,
8,,Excess Kurtosis Y Gyro Middle,
9,,Variance Frequency Y Accel Middle,
10,,Excess Kurtosis X Accel Middle,
11,,Excess Kurtosis Z Accel Middle,
12,,Autocorrelation Z Accel Middle,
13,,Mean Square Frequency Z Gyro Middle,
14,,Variance Frequency X Accel Middle,
15,,Variance Frequency Z Gyro Middle,
16,,Mean Y Gyro Middle,
17,,Mean Square Frequency Y Accel Middle,
18,,Skew Y Gyro Middle,
19,,Skew Z Accel Middle,
20,,Min X Accel Middle,
21,,Zero Crossing Rate Z Accel Middle,
22,,Mean X Accel Middle,
23,,Skew X Gyro Middle,
24,,Zero Crossing Rate Y Gyro Middle,
25,,Zero Crossing Rate X Gyro Middle,
26,,Skew Y Accel Middle,
27,,Autocorrelation Y Accel Middle,
28,,Zero Crossing Rate X Accel Middle,
29,,Skew X Accel Middle,
30,,Variance Frequency Z Accel Middle,
31,,Mean Square Frequency Z Accel Middle,
32,,Mean Square Frequency X Accel Middle,
33,,Mean Z Accel Middle,
34,,Skew Z Gyro Middle,
35,,Std Dev Z Gyro Middle,
36,,Min Y Accel Middle,
37,,Root Mean Squared Z Gyro Middle,
38,,Autocorrelation Y Gyro Middle,
39,,Frequency Center Y Gyro Middle,
40,,Frequency Center Z Gyro Middle,
41,,Frequency Center X Gyro Middle,
42,,Mean Square Frequency X Gyro Middle,
43,,Frequency Center Y Accel Middle,
44,,Autocorrelation X Accel Middle,
45,,Root Variance Frequency Z Gyro Middle,
46,,Frequency Center X Accel Middle,
47,,Max Z Accel Middle,
48,,Min X Gyro Middle,
49,,Frequency Center Z Accel Middle,
50,,Max X Accel Middle,
51,,Max Y Accel Middle,
52,,Max Y Gyro Middle,
53,,Autocorrelation Z Gyro Middle,
54,,Max X Gyro Middle,
55,,L2 Norm X Gyro Middle,
56,,Min Y Gyro Middle,
57,,Root Mean Square Frequency Z Gyro Middle,
58,,L2 Norm Y Accel Middle,
59,,Min Z Gyro Middle,
60,,Root Mean Square Frequency Y Accel Middle,
61,,Min Z Accel Middle,
62,,Max Z Gyro Middle,
63,,Std Dev Y Accel Middle,
64,,Mean Y Accel Middle,
65,,Root Mean Squared Y Gyro Middle,
66,,L2 Norm Z Gyro Middle,
67,,Root Mean Square Frequency X Gyro Middle,
68,,Autocorrelation X Gyro Middle,
69,,Mean X Gyro Middle,
70,,Root Variance Frequency Y Accel Middle,
71,,Root Variance Frequency Y Gyro Middle,
72,,Root Mean Square Frequency X Accel Middle,
73,,Root Mean Squared Y Accel Middle,
74,,Root Mean Square Frequency Z Accel Middle,
75,,Std Dev X Gyro Middle,
76,,Root Mean Squared X Accel Middle,
77,,Root Mean Squared X Gyro Middle,
78,,L2 Norm Y Gyro Middle,
79,,Root Variance Frequency X Gyro Middle,
80,,Mean Z Gyro Middle,
81,,Root Variance Frequency Z Accel Middle,
82,,Root Variance Frequency X Accel Middle,
83,,Root Mean Square Frequency Y Gyro Middle,
84,,L2 Norm X Accel Middle,
85,,Std Dev Y Gyro Middle,
86,,Std Dev X Accel Middle,
87,,Root Mean Squared Z Accel Middle,
88,,L2 Norm Z Accel Middle,
89,,Std Dev Z Accel Middle,
90,,Label,
