,Left,Middle,Right
0,,PSDLog 32.0 Hz Y Gyro Middle,
1,,PSDLog 0.0 Hz Y Gyro Middle,
2,,PSDLog 40.0 Hz Y Accel Middle,
3,,PSDLog 3.0 Hz Y Gyro Middle,
4,,PSDLog 37.0 Hz Y Accel Middle,
5,,PSDLog 1.0 Hz Y Gyro Middle,
6,,PSDLog 34.0 Hz Y Accel Middle,
7,,PSDLog 14.0 Hz Y Gyro Middle,
8,,PSDLog 41.0 Hz Y Accel Middle,
9,,PSDLog 2.0 Hz Y Gyro Middle,
10,,PSDLog 33.0 Hz Y Accel Middle,
11,,PSDLog 15.0 Hz Y Gyro Middle,
12,,PSDLog 36.0 Hz Y Accel Middle,
13,,PSDLog 26.0 Hz Y Accel Middle,
14,,PSDLog 17.0 Hz Y Gyro Middle,
15,,PSDLog 38.0 Hz Y Accel Middle,
16,,PSDLog 45.0 Hz Y Accel Middle,
17,,PSDLog 16.0 Hz Z Accel Middle,
18,,PSDLog 31.0 Hz Y Accel Middle,
19,,PSDLog 12.0 Hz Y Gyro Middle,
20,,PSDLog 35.0 Hz Y Accel Middle,
21,,PSDLog 4.0 Hz Y Gyro Middle,
22,,PSDLog 43.0 Hz Y Accel Middle,
23,,PSDLog 21.0 Hz Y Accel Middle,
24,,PSDLog 30.0 Hz Y Accel Middle,
25,,PSDLog 6.0 Hz Y Gyro Middle,
26,,PSDLog 25.0 Hz Y Accel Middle,
27,,PSDLog 42.0 Hz Y Accel Middle,
28,,PSDLog 16.0 Hz Y Gyro Middle,
29,,PSDLog 44.0 Hz Y Accel Middle,
30,,PSDLog 11.0 Hz Y Gyro Middle,
31,,PSDLog 32.0 Hz Y Accel Middle,
32,,PSDLog 24.0 Hz Y Accel Middle,
33,,PSDLog 39.0 Hz Y Accel Middle,
34,,PSDLog 31.0 Hz Y Gyro Middle,
35,,PSDLog 48.0 Hz Y Accel Middle,
36,,PSDLog 10.0 Hz Y Gyro Middle,
37,,PSDLog 28.0 Hz Y Accel Middle,
38,,PSDLog 15.0 Hz Z Accel Middle,
39,,PSDLog 33.0 Hz Y Gyro Middle,
40,,PSDLog 14.0 Hz Z Accel Middle,
41,,PSDLog 29.0 Hz Y Accel Middle,
42,,PSDLog 20.0 Hz Y Accel Middle,
43,,PSDLog 8.0 Hz Y Gyro Middle,
44,,PSDLog 30.0 Hz Y Gyro Middle,
45,,PSDLog 22.0 Hz Y Accel Middle,
46,,PSDLog 62.0 Hz Y Accel Middle,
47,,PSDLog 5.0 Hz Y Gyro Middle,
48,,PSDLog 37.0 Hz Y Gyro Middle,
49,,PSDLog 12.0 Hz Z Accel Middle,
50,,PSDLog 26.0 Hz X Gyro Middle,
51,,PSDLog 34.0 Hz Y Gyro Middle,
52,,PSDLog 13.0 Hz Y Gyro Middle,
53,,PSDLog 49.0 Hz Y Accel Middle,
54,,PSDLog 21.0 Hz X Gyro Middle,
55,,PSDLog 23.0 Hz Y Accel Middle,
56,,PSDLog 46.0 Hz Y Accel Middle,
57,,PSDLog 1.0 Hz X Gyro Middle,
58,,PSDLog 59.0 Hz Y Accel Middle,
59,,PSDLog 36.0 Hz Y Gyro Middle,
60,,PSDLog 17.0 Hz Z Accel Middle,
61,,PSDLog 27.0 Hz Y Accel Middle,
62,,PSDLog 7.0 Hz Y Gyro Middle,
63,,PSDLog 61.0 Hz Y Accel Middle,
64,,PSDLog 13.0 Hz Z Accel Middle,
65,,PSDLog 38.0 Hz Y Gyro Middle,
66,,PSDLog 63.0 Hz Y Accel Middle,
67,,PSDLog 11.0 Hz Z Accel Middle,
68,,PSDLog 28.0 Hz X Gyro Middle,
69,,PSDLog 37.0 Hz Z Accel Middle,
70,,PSDLog 22.0 Hz X Gyro Middle,
71,,PSDLog 18.0 Hz Y Gyro Middle,
72,,PSDLog 23.0 Hz X Gyro Middle,
73,,PSDLog 52.0 Hz Y Accel Middle,
74,,PSDLog 9.0 Hz Y Gyro Middle,
75,,PSDLog 32.0 Hz Z Accel Middle,
76,,PSDLog 58.0 Hz Y Accel Middle,
77,,PSDLog 30.0 Hz X Gyro Middle,
78,,PSDLog 28.0 Hz Y Gyro Middle,
79,,PSDLog 41.0 Hz Y Gyro Middle,
80,,PSDLog 34.0 Hz Z Accel Middle,
81,,PSDLog 53.0 Hz Y Accel Middle,
82,,PSDLog 35.0 Hz Y Gyro Middle,
83,,PSDLog 25.0 Hz X Gyro Middle,
84,,PSDLog 29.0 Hz Y Gyro Middle,
85,,PSDLog 50.0 Hz Y Accel Middle,
86,,PSDLog 36.0 Hz Z Accel Middle,
87,,PSDLog 24.0 Hz X Gyro Middle,
88,,PSDLog 19.0 Hz Z Accel Middle,
89,,PSDLog 18.0 Hz Y Accel Middle,
90,,PSDLog 60.0 Hz Y Accel Middle,
91,,PSDLog 32.0 Hz X Gyro Middle,
92,,PSDLog 0.0 Hz X Gyro Middle,
93,,PSDLog 47.0 Hz Y Accel Middle,
94,,PSDLog 40.0 Hz Y Gyro Middle,
95,,PSDLog 5.0 Hz Z Accel Middle,
96,,PSDLog 31.0 Hz X Gyro Middle,
97,,PSDLog 55.0 Hz Y Accel Middle,
