,Left,Middle,Right
0,,Excess Kurtosis Y Accel Middle,
1,,Mean Square Frequency Z Gyro Middle,
2,,Autocorrelation Y Gyro Middle,
3,,Excess Kurtosis X Gyro Middle,
4,,Zero Crossing Rate Z Gyro Middle,
5,,Excess Kurtosis Y Gyro Middle,
6,,Variance Frequency Y Gyro Middle,
7,,Excess Kurtosis Z Accel Middle,
8,,Root Mean Square Frequency Y Accel Middle,
9,,Variance Frequency Z Gyro Middle,
10,,Skew Z Gyro Middle,
11,,Excess Kurtosis X Accel Middle,
12,,Zero Crossing Rate Y Accel Middle,
13,,Zero Crossing Rate Z Accel Middle,
14,,Mean Square Frequency Y Gyro Middle,
15,,Variance Frequency X Gyro Middle,
16,,Autocorrelation Y Accel Middle,
17,,Skew Z Accel Middle,
18,,Mean Y Gyro Middle,
19,,Max Z Accel Middle,
20,,Skew Y Accel Middle,
21,,Zero Crossing Rate X Accel Middle,
22,,Skew Y Gyro Middle,
23,,Variance Frequency X Accel Middle,
24,,Variance Frequency Y Accel Middle,
25,,Excess Kurtosis Z Gyro Middle,
26,,Skew X Accel Middle,
27,,Min Z Accel Middle,
28,,Autocorrelation Z Gyro Middle,
29,,Zero Crossing Rate Y Gyro Middle,
30,,Skew X Gyro Middle,
31,,Min X Accel Middle,
32,,Mean Z Accel Middle,
33,,Frequency Center Z Gyro Middle,
34,,Variance Frequency Z Accel Middle,
35,,Mean Square Frequency Z Accel Middle,
36,,Std Dev Z Gyro Middle,
37,,Max Y Gyro Middle,
38,,Mean Square Frequency X Accel Middle,
39,,Mean X Accel Middle,
40,,Mean Square Frequency X Gyro Middle,
41,,Root Mean Square Frequency Z Gyro Middle,
42,,Zero Crossing Rate X Gyro Middle,
43,,Mean Square Frequency Y Accel Middle,
44,,Autocorrelation X Gyro Middle,
45,,Max X Accel Middle,
46,,Frequency Center Y Gyro Middle,
47,,Min Y Accel Middle,
48,,Min Y Gyro Middle,
49,,Mean X Gyro Middle,
50,,Frequency Center X Accel Middle,
51,,Frequency Center Z Accel Middle,
52,,Min X Gyro Middle,
53,,Frequency Center X Gyro Middle,
54,,Autocorrelation Z Accel Middle,
55,,L2 Norm Z Gyro Middle,
56,,Root Variance Frequency Y Accel Middle,
57,,Root Variance Frequency Z Gyro Middle,
58,,Max Y Accel Middle,
59,,Autocorrelation X Accel Middle,
60,,Mean Y Accel Middle,
61,,Frequency Center Y Accel Middle,
62,,Root Mean Squared Y Gyro Middle,
63,,Max X Gyro Middle,
64,,Root Variance Frequency Y Gyro Middle,
65,,Max Z Gyro Middle,
66,,Root Mean Squared X Gyro Middle,
67,,Root Mean Squared Z Gyro Middle,
68,,Root Variance Frequency Z Accel Middle,
69,,Root Mean Squared Y Accel Middle,
70,,Min Z Gyro Middle,
71,,Root Mean Square Frequency X Accel Middle,
72,,Std Dev Y Accel Middle,
73,,L2 Norm Y Gyro Middle,
74,,Std Dev X Gyro Middle,
75,,Root Mean Square Frequency Y Gyro Middle,
76,,Root Mean Squared X Accel Middle,
77,,L2 Norm X Gyro Middle,
78,,L2 Norm Y Accel Middle,
79,,Root Variance Frequency X Gyro Middle,
80,,Root Mean Square Frequency Z Accel Middle,
81,,Mean Z Gyro Middle,
82,,Std Dev X Accel Middle,
83,,Root Variance Frequency X Accel Middle,
84,,Std Dev Z Accel Middle,
85,,Std Dev Y Gyro Middle,
86,,Root Mean Square Frequency X Gyro Middle,
87,,L2 Norm X Accel Middle,
88,,L2 Norm Z Accel Middle,
89,,Root Mean Squared Z Accel Middle,
90,,Label,
