,Left,Middle,Right
0,,FFT 0.0 Hz Y Accel Middle,
1,,FFT 26.0 Hz Z Accel Middle,
2,,FFT 22.0 Hz Z Accel Middle,
3,,FFT 29.0 Hz Z Accel Middle,
4,,FFT 28.0 Hz Z Accel Middle,
5,,FFT 27.0 Hz Z Accel Middle,
6,,FFT 25.0 Hz Z Accel Middle,
7,,FFT 24.0 Hz Z Accel Middle,
8,,FFT 30.0 Hz Z Accel Middle,
9,,FFT 31.0 Hz Z Accel Middle,
10,,FFT 23.0 Hz Z Accel Middle,
11,,FFT 21.0 Hz Z Accel Middle,
12,,FFT 0.0 Hz Z Gyro Middle,
13,,FFT 20.0 Hz Z Accel Middle,
14,,FFT 32.0 Hz Z Accel Middle,
15,,FFT 19.0 Hz Z Accel Middle,
16,,FFT 33.0 Hz Z Accel Middle,
17,,FFT 34.0 Hz Z Accel Middle,
18,,FFT 18.0 Hz Z Accel Middle,
19,,FFT 0.0 Hz X Accel Middle,
20,,FFT 17.0 Hz Z Accel Middle,
21,,FFT 35.0 Hz Z Accel Middle,
22,,FFT 5.0 Hz X Accel Middle,
23,,FFT 3.0 Hz X Accel Middle,
24,,FFT 28.0 Hz X Accel Middle,
25,,FFT 16.0 Hz Z Accel Middle,
26,,FFT 4.0 Hz X Accel Middle,
27,,FFT 31.0 Hz X Accel Middle,
28,,FFT 26.0 Hz X Accel Middle,
29,,FFT 33.0 Hz X Accel Middle,
30,,FFT 27.0 Hz X Accel Middle,
31,,FFT 29.0 Hz X Accel Middle,
32,,FFT 1.0 Hz X Accel Middle,
33,,FFT 30.0 Hz X Accel Middle,
34,,FFT 32.0 Hz X Accel Middle,
35,,FFT 26.0 Hz Y Accel Middle,
36,,FFT 31.0 Hz Y Accel Middle,
37,,FFT 29.0 Hz Y Accel Middle,
38,,FFT 25.0 Hz X Accel Middle,
39,,FFT 6.0 Hz X Accel Middle,
40,,FFT 25.0 Hz Y Accel Middle,
41,,FFT 1.0 Hz Y Accel Middle,
42,,FFT 22.0 Hz Y Accel Middle,
43,,FFT 7.0 Hz X Accel Middle,
44,,FFT 15.0 Hz Z Accel Middle,
45,,FFT 12.0 Hz Z Accel Middle,
46,,FFT 27.0 Hz Y Accel Middle,
47,,FFT 35.0 Hz X Accel Middle,
48,,FFT 24.0 Hz Y Accel Middle,
49,,FFT 33.0 Hz Y Accel Middle,
50,,FFT 13.0 Hz Z Accel Middle,
51,,FFT 38.0 Hz Z Accel Middle,
52,,FFT 35.0 Hz Y Accel Middle,
53,,FFT 36.0 Hz Y Accel Middle,
54,,FFT 37.0 Hz Z Accel Middle,
55,,FFT 39.0 Hz Y Accel Middle,
56,,FFT 24.0 Hz X Accel Middle,
57,,FFT 28.0 Hz Y Accel Middle,
58,,FFT 2.0 Hz X Accel Middle,
59,,FFT 32.0 Hz Y Accel Middle,
60,,FFT 38.0 Hz Y Accel Middle,
61,,FFT 47.0 Hz Y Accel Middle,
62,,FFT 39.0 Hz X Accel Middle,
63,,FFT 9.0 Hz Z Accel Middle,
64,,FFT 36.0 Hz Z Accel Middle,
65,,FFT 43.0 Hz Y Accel Middle,
66,,FFT 7.0 Hz Z Accel Middle,
67,,FFT 17.0 Hz Y Accel Middle,
68,,FFT 23.0 Hz Y Accel Middle,
69,,FFT 34.0 Hz Y Accel Middle,
70,,FFT 40.0 Hz Z Accel Middle,
71,,FFT 30.0 Hz Y Accel Middle,
72,,FFT 11.0 Hz Z Accel Middle,
73,,FFT 25.0 Hz Z Gyro Middle,
74,,FFT 25.0 Hz Y Gyro Middle,
75,,FFT 25.0 Hz X Gyro Middle,
76,,FFT 6.0 Hz Y Gyro Middle,
77,,FFT 6.0 Hz Z Gyro Middle,
78,,FFT 6.0 Hz X Gyro Middle,
79,,FFT 6.0 Hz Z Accel Middle,
80,,FFT 7.0 Hz Z Gyro Middle,
81,,FFT 6.0 Hz Y Accel Middle,
82,,FFT 5.0 Hz Z Gyro Middle,
83,,FFT 26.0 Hz X Gyro Middle,
84,,FFT 26.0 Hz Y Gyro Middle,
85,,FFT 26.0 Hz Z Gyro Middle,
86,,FFT 7.0 Hz Y Accel Middle,
87,,FFT 5.0 Hz X Gyro Middle,
88,,FFT 7.0 Hz X Gyro Middle,
89,,FFT 8.0 Hz X Gyro Middle,
90,,FFT 8.0 Hz Z Accel Middle,
91,,FFT 8.0 Hz Z Gyro Middle,
92,,FFT 8.0 Hz Y Gyro Middle,
93,,FFT 23.0 Hz X Gyro Middle,
94,,FFT 23.0 Hz Y Gyro Middle,
95,,FFT 23.0 Hz Z Gyro Middle,
96,,FFT 7.0 Hz Y Gyro Middle,
97,,FFT 5.0 Hz Y Accel Middle,
98,,FFT 8.0 Hz Y Accel Middle,
99,,FFT 8.0 Hz X Accel Middle,
100,,FFT 24.0 Hz X Gyro Middle,
101,,FFT 24.0 Hz Y Gyro Middle,
102,,FFT 24.0 Hz Z Gyro Middle,
103,,FFT 5.0 Hz Y Gyro Middle,
104,,FFT 22.0 Hz Z Gyro Middle,
105,,FFT 5.0 Hz Z Accel Middle,
106,,FFT 1.0 Hz X Gyro Middle,
107,,FFT 29.0 Hz Y Gyro Middle,
108,,FFT 2.0 Hz X Gyro Middle,
109,,FFT 2.0 Hz Z Accel Middle,
110,,FFT 2.0 Hz Y Accel Middle,
111,,FFT 1.0 Hz Z Gyro Middle,
112,,FFT 1.0 Hz Y Gyro Middle,
113,,FFT 2.0 Hz Y Gyro Middle,
114,,FFT 29.0 Hz X Gyro Middle,
115,,FFT 2.0 Hz Z Gyro Middle,
116,,FFT 1.0 Hz Z Accel Middle,
117,,FFT 0.0 Hz Y Gyro Middle,
118,,FFT 0.0 Hz X Gyro Middle,
119,,FFT 29.0 Hz Z Gyro Middle,
120,,FFT 0.0 Hz Z Accel Middle,
121,,FFT 28.0 Hz Z Gyro Middle,
122,,FFT 22.0 Hz X Gyro Middle,
123,,FFT 27.0 Hz Z Gyro Middle,
124,,FFT 3.0 Hz Z Gyro Middle,
125,,FFT 27.0 Hz X Gyro Middle,
126,,FFT 4.0 Hz Y Gyro Middle,
127,,FFT 4.0 Hz X Gyro Middle,
128,,FFT 4.0 Hz Z Accel Middle,
129,,FFT 27.0 Hz Y Gyro Middle,
130,,FFT 4.0 Hz Z Gyro Middle,
131,,FFT 4.0 Hz Y Accel Middle,
132,,FFT 3.0 Hz Y Accel Middle,
133,,FFT 3.0 Hz Y Gyro Middle,
134,,FFT 3.0 Hz X Gyro Middle,
135,,FFT 3.0 Hz Z Accel Middle,
136,,FFT 28.0 Hz X Gyro Middle,
137,,FFT 28.0 Hz Y Gyro Middle,
138,,FFT 23.0 Hz X Accel Middle,
139,,FFT 11.0 Hz X Gyro Middle,
140,,FFT 15.0 Hz Y Gyro Middle,
141,,FFT 16.0 Hz X Accel Middle,
142,,FFT 14.0 Hz Z Gyro Middle,
143,,FFT 15.0 Hz X Accel Middle,
144,,FFT 15.0 Hz Y Accel Middle,
145,,FFT 11.0 Hz X Accel Middle,
146,,FFT 15.0 Hz X Gyro Middle,
147,,FFT 14.0 Hz X Gyro Middle,
148,,FFT 15.0 Hz Z Gyro Middle,
149,,FFT 14.0 Hz Z Accel Middle,
150,,FFT 16.0 Hz Y Accel Middle,
151,,FFT 10.0 Hz Z Gyro Middle,
152,,FFT 16.0 Hz X Gyro Middle,
153,,FFT 16.0 Hz Y Gyro Middle,
154,,FFT 16.0 Hz Z Gyro Middle,
155,,FFT 14.0 Hz Y Gyro Middle,
156,,FFT 10.0 Hz X Gyro Middle,
157,,FFT 12.0 Hz Z Gyro Middle,
158,,FFT 13.0 Hz Y Accel Middle,
159,,FFT 11.0 Hz Z Gyro Middle,
160,,FFT 12.0 Hz X Accel Middle,
161,,FFT 12.0 Hz Y Accel Middle,
162,,FFT 12.0 Hz X Gyro Middle,
163,,FFT 12.0 Hz Y Gyro Middle,
164,,FFT 10.0 Hz Z Accel Middle,
165,,FFT 13.0 Hz X Accel Middle,
166,,FFT 14.0 Hz Y Accel Middle,
167,,FFT 11.0 Hz Y Accel Middle,
168,,FFT 13.0 Hz X Gyro Middle,
169,,FFT 13.0 Hz Y Gyro Middle,
170,,FFT 13.0 Hz Z Gyro Middle,
171,,FFT 14.0 Hz X Accel Middle,
172,,FFT 10.0 Hz Y Gyro Middle,
173,,FFT 22.0 Hz Y Gyro Middle,
174,,FFT 21.0 Hz Y Accel Middle,
175,,FFT 21.0 Hz X Gyro Middle,
176,,FFT 9.0 Hz Y Gyro Middle,
177,,FFT 20.0 Hz X Gyro Middle,
178,,FFT 20.0 Hz Y Gyro Middle,
179,,FFT 20.0 Hz Z Gyro Middle,
180,,FFT 21.0 Hz X Accel Middle,
181,,FFT 20.0 Hz X Accel Middle,
182,,FFT 9.0 Hz X Gyro Middle,
183,,FFT 19.0 Hz Z Gyro Middle,
184,,FFT 21.0 Hz Y Gyro Middle,
185,,FFT 21.0 Hz Z Gyro Middle,
186,,FFT 22.0 Hz X Accel Middle,
187,,FFT 9.0 Hz Y Accel Middle,
188,,FFT 9.0 Hz X Accel Middle,
189,,FFT 20.0 Hz Y Accel Middle,
190,,FFT 11.0 Hz Y Gyro Middle,
191,,FFT 10.0 Hz X Accel Middle,
192,,FFT 18.0 Hz Y Gyro Middle,
193,,FFT 17.0 Hz X Gyro Middle,
194,,FFT 17.0 Hz Y Gyro Middle,
195,,FFT 17.0 Hz Z Gyro Middle,
196,,FFT 18.0 Hz X Accel Middle,
197,,FFT 18.0 Hz Y Accel Middle,
198,,FFT 10.0 Hz Y Accel Middle,
199,,FFT 18.0 Hz X Gyro Middle,
200,,FFT 19.0 Hz Y Gyro Middle,
201,,FFT 18.0 Hz Z Gyro Middle,
202,,FFT 19.0 Hz X Accel Middle,
203,,FFT 19.0 Hz Y Accel Middle,
204,,FFT 9.0 Hz Z Gyro Middle,
205,,FFT 19.0 Hz X Gyro Middle,
206,,FFT 17.0 Hz X Accel Middle,
207,,FFT 64.0 Hz Z Gyro Middle,
208,,FFT 54.0 Hz Y Gyro Middle,
209,,FFT 54.0 Hz Z Accel Middle,
210,,FFT 55.0 Hz X Accel Middle,
211,,FFT 54.0 Hz Z Gyro Middle,
212,,FFT 55.0 Hz Z Accel Middle,
213,,FFT 54.0 Hz X Gyro Middle,
214,,FFT 55.0 Hz X Gyro Middle,
215,,FFT 54.0 Hz Y Accel Middle,
216,,FFT 54.0 Hz X Accel Middle,
217,,FFT 55.0 Hz Y Accel Middle,
218,,FFT 53.0 Hz Y Gyro Middle,
219,,FFT 56.0 Hz X Gyro Middle,
220,,FFT 56.0 Hz Y Accel Middle,
221,,FFT 56.0 Hz Z Gyro Middle,
222,,FFT 56.0 Hz Y Gyro Middle,
223,,FFT 53.0 Hz Z Accel Middle,
224,,FFT 56.0 Hz Z Accel Middle,
225,,FFT 55.0 Hz Y Gyro Middle,
226,,FFT 56.0 Hz X Accel Middle,
227,,FFT 55.0 Hz Z Gyro Middle,
228,,FFT 53.0 Hz Z Gyro Middle,
229,,FFT 57.0 Hz Y Accel Middle,
230,,FFT 53.0 Hz X Gyro Middle,
231,,FFT 50.0 Hz Z Gyro Middle,
232,,FFT 50.0 Hz X Gyro Middle,
233,,FFT 51.0 Hz Y Accel Middle,
234,,FFT 51.0 Hz X Accel Middle,
