,Left,Middle,Right
0,,FFT 29.0 Hz Z Accel Middle,
1,,FFT 24.0 Hz Z Accel Middle,
2,,FFT 30.0 Hz Z Accel Middle,
3,,FFT 28.0 Hz Z Accel Middle,
4,,FFT 0.0 Hz Y Accel Middle,
5,,FFT 27.0 Hz Z Accel Middle,
6,,FFT 31.0 Hz Z Accel Middle,
7,,FFT 26.0 Hz Z Accel Middle,
8,,FFT 32.0 Hz Z Accel Middle,
9,,FFT 22.0 Hz Z Accel Middle,
10,,FFT 23.0 Hz Z Accel Middle,
11,,FFT 25.0 Hz Z Accel Middle,
12,,FFT 33.0 Hz Z Accel Middle,
13,,FFT 21.0 Hz Z Accel Middle,
14,,FFT 20.0 Hz Z Accel Middle,
15,,FFT 34.0 Hz Z Accel Middle,
16,,FFT 19.0 Hz Z Accel Middle,
17,,FFT 18.0 Hz Z Accel Middle,
18,,FFT 30.0 Hz X Accel Middle,
19,,FFT 32.0 Hz X Accel Middle,
20,,FFT 31.0 Hz X Accel Middle,
21,,FFT 29.0 Hz X Accel Middle,
22,,FFT 0.0 Hz Z Gyro Middle,
23,,FFT 35.0 Hz Z Accel Middle,
24,,FFT 15.0 Hz Z Accel Middle,
25,,FFT 28.0 Hz Y Accel Middle,
26,,FFT 16.0 Hz Z Accel Middle,
27,,FFT 28.0 Hz X Accel Middle,
28,,FFT 17.0 Hz Z Accel Middle,
29,,FFT 5.0 Hz X Accel Middle,
30,,FFT 27.0 Hz X Accel Middle,
31,,FFT 26.0 Hz X Accel Middle,
32,,FFT 40.0 Hz Z Accel Middle,
33,,FFT 36.0 Hz X Accel Middle,
34,,FFT 25.0 Hz X Accel Middle,
35,,FFT 13.0 Hz Z Accel Middle,
36,,FFT 24.0 Hz X Accel Middle,
37,,FFT 18.0 Hz X Accel Middle,
38,,FFT 5.0 Hz Z Accel Middle,
39,,FFT 10.0 Hz Z Accel Middle,
40,,FFT 30.0 Hz Y Accel Middle,
41,,FFT 34.0 Hz X Accel Middle,
42,,FFT 20.0 Hz X Accel Middle,
43,,FFT 19.0 Hz Z Gyro Middle,
44,,FFT 9.0 Hz Z Accel Middle,
45,,FFT 29.0 Hz X Gyro Middle,
46,,FFT 12.0 Hz Z Accel Middle,
47,,FFT 20.0 Hz Y Accel Middle,
48,,FFT 29.0 Hz Z Gyro Middle,
49,,FFT 20.0 Hz X Gyro Middle,
50,,FFT 20.0 Hz Y Gyro Middle,
51,,FFT 20.0 Hz Z Gyro Middle,
52,,FFT 29.0 Hz Y Accel Middle,
53,,FFT 21.0 Hz X Accel Middle,
54,,FFT 19.0 Hz Y Gyro Middle,
55,,FFT 28.0 Hz Y Gyro Middle,
56,,FFT 30.0 Hz X Gyro Middle,
57,,FFT 18.0 Hz X Gyro Middle,
58,,FFT 17.0 Hz Z Gyro Middle,
59,,FFT 30.0 Hz Z Gyro Middle,
60,,FFT 18.0 Hz Y Accel Middle,
61,,FFT 0.0 Hz X Accel Middle,
62,,FFT 30.0 Hz Y Gyro Middle,
63,,FFT 29.0 Hz Y Gyro Middle,
64,,FFT 19.0 Hz X Gyro Middle,
65,,FFT 18.0 Hz Y Gyro Middle,
66,,FFT 18.0 Hz Z Gyro Middle,
67,,FFT 19.0 Hz X Accel Middle,
68,,FFT 25.0 Hz Y Accel Middle,
69,,FFT 19.0 Hz Y Accel Middle,
70,,FFT 28.0 Hz Z Gyro Middle,
71,,FFT 25.0 Hz Z Gyro Middle,
72,,FFT 21.0 Hz X Gyro Middle,
73,,FFT 45.0 Hz X Accel Middle,
74,,FFT 27.0 Hz Y Accel Middle,
75,,FFT 26.0 Hz Z Gyro Middle,
76,,FFT 27.0 Hz X Gyro Middle,
77,,FFT 39.0 Hz Y Accel Middle,
78,,FFT 24.0 Hz X Gyro Middle,
79,,FFT 24.0 Hz Y Gyro Middle,
80,,FFT 24.0 Hz Z Gyro Middle,
81,,FFT 21.0 Hz Y Accel Middle,
82,,FFT 24.0 Hz Y Accel Middle,
83,,FFT 23.0 Hz Z Gyro Middle,
84,,FFT 26.0 Hz Y Gyro Middle,
85,,FFT 26.0 Hz X Gyro Middle,
86,,FFT 39.0 Hz Z Accel Middle,
87,,FFT 26.0 Hz Y Accel Middle,
88,,FFT 25.0 Hz X Gyro Middle,
89,,FFT 27.0 Hz Y Gyro Middle,
90,,FFT 35.0 Hz X Accel Middle,
91,,FFT 21.0 Hz Y Gyro Middle,
92,,FFT 27.0 Hz Z Gyro Middle,
93,,FFT 22.0 Hz X Gyro Middle,
94,,FFT 22.0 Hz Y Gyro Middle,
95,,FFT 21.0 Hz Z Gyro Middle,
96,,FFT 22.0 Hz X Accel Middle,
97,,FFT 22.0 Hz Y Accel Middle,
98,,FFT 28.0 Hz X Gyro Middle,
99,,FFT 25.0 Hz Y Gyro Middle,
100,,FFT 23.0 Hz Y Gyro Middle,
101,,FFT 22.0 Hz Z Gyro Middle,
102,,FFT 23.0 Hz X Accel Middle,
103,,FFT 23.0 Hz Y Accel Middle,
104,,FFT 23.0 Hz X Gyro Middle,
105,,FFT 17.0 Hz Y Gyro Middle,
106,,FFT 16.0 Hz X Gyro Middle,
107,,FFT 5.0 Hz X Gyro Middle,
108,,FFT 4.0 Hz Z Gyro Middle,
109,,FFT 5.0 Hz Z Gyro Middle,
110,,FFT 5.0 Hz Y Gyro Middle,
111,,FFT 6.0 Hz Y Accel Middle,
112,,FFT 5.0 Hz Y Accel Middle,
113,,FFT 6.0 Hz X Gyro Middle,
114,,FFT 4.0 Hz Y Gyro Middle,
115,,FFT 4.0 Hz X Gyro Middle,
116,,FFT 6.0 Hz X Accel Middle,
117,,FFT 4.0 Hz Y Accel Middle,
118,,FFT 6.0 Hz Z Accel Middle,
119,,FFT 7.0 Hz X Gyro Middle,
120,,FFT 7.0 Hz Y Accel Middle,
121,,FFT 7.0 Hz Z Gyro Middle,
122,,FFT 7.0 Hz Y Gyro Middle,
123,,FFT 3.0 Hz Z Gyro Middle,
124,,FFT 7.0 Hz Z Accel Middle,
125,,FFT 6.0 Hz Y Gyro Middle,
126,,FFT 7.0 Hz X Accel Middle,
127,,FFT 6.0 Hz Z Gyro Middle,
128,,FFT 4.0 Hz Z Accel Middle,
129,,FFT 8.0 Hz Y Accel Middle,
130,,FFT 4.0 Hz X Accel Middle,
131,,FFT 1.0 Hz Y Accel Middle,
132,,FFT 0.0 Hz Y Gyro Middle,
133,,FFT 1.0 Hz X Gyro Middle,
134,,FFT 1.0 Hz Z Accel Middle,
