,Left,Middle,Right
0,,PSDLog 32.0 Hz Y Gyro Middle,
1,,PSDLog 3.0 Hz Y Gyro Middle,
2,,PSDLog 35.0 Hz Z Accel Middle,
3,,PSDLog 1.0 Hz Y Gyro Middle,
4,,PSDLog 31.0 Hz Y Gyro Middle,
5,,PSDLog 2.0 Hz Y Gyro Middle,
6,,PSDLog 23.0 Hz Y Accel Middle,
7,,PSDLog 25.0 Hz Z Accel Middle,
8,,PSDLog 4.0 Hz Y Gyro Middle,
9,,PSDLog 34.0 Hz Z Accel Middle,
10,,PSDLog 11.0 Hz Y Gyro Middle,
11,,PSDLog 33.0 Hz Z Accel Middle,
12,,PSDLog 56.0 Hz Y Accel Middle,
13,,PSDLog 36.0 Hz Z Accel Middle,
14,,PSDLog 10.0 Hz Y Gyro Middle,
15,,PSDLog 32.0 Hz Z Accel Middle,
16,,PSDLog 26.0 Hz Y Gyro Middle,
17,,PSDLog 4.0 Hz X Accel Middle,
18,,PSDLog 28.0 Hz Z Accel Middle,
19,,PSDLog 35.0 Hz Y Gyro Middle,
20,,PSDLog 6.0 Hz Y Gyro Middle,
21,,PSDLog 24.0 Hz Y Gyro Middle,
22,,PSDLog 2.0 Hz X Gyro Middle,
23,,PSDLog 31.0 Hz Z Accel Middle,
24,,PSDLog 30.0 Hz Z Accel Middle,
25,,PSDLog 1.0 Hz X Gyro Middle,
26,,PSDLog 34.0 Hz Y Gyro Middle,
27,,PSDLog 12.0 Hz Y Gyro Middle,
28,,PSDLog 26.0 Hz Z Accel Middle,
29,,PSDLog 33.0 Hz Y Gyro Middle,
30,,PSDLog 3.0 Hz X Accel Middle,
31,,PSDLog 55.0 Hz Y Accel Middle,
32,,PSDLog 36.0 Hz Y Gyro Middle,
33,,PSDLog 29.0 Hz Z Accel Middle,
34,,PSDLog 7.0 Hz Y Gyro Middle,
35,,PSDLog 24.0 Hz Y Accel Middle,
36,,PSDLog 0.0 Hz Y Gyro Middle,
37,,PSDLog 22.0 Hz Y Accel Middle,
38,,PSDLog 13.0 Hz Y Gyro Middle,
39,,PSDLog 53.0 Hz Y Accel Middle,
40,,PSDLog 27.0 Hz Z Accel Middle,
41,,PSDLog 4.0 Hz Z Accel Middle,
42,,PSDLog 24.0 Hz Z Accel Middle,
43,,PSDLog 8.0 Hz Y Gyro Middle,
44,,PSDLog 38.0 Hz Y Accel Middle,
45,,PSDLog 28.0 Hz Y Gyro Middle,
46,,PSDLog 15.0 Hz Y Gyro Middle,
47,,PSDLog 23.0 Hz Z Accel Middle,
48,,PSDLog 25.0 Hz Y Gyro Middle,
49,,PSDLog 5.0 Hz Z Accel Middle,
50,,PSDLog 37.0 Hz Z Accel Middle,
51,,PSDLog 63.0 Hz Y Accel Middle,
52,,PSDLog 16.0 Hz Y Gyro Middle,
53,,PSDLog 5.0 Hz Y Gyro Middle,
54,,PSDLog 58.0 Hz Y Accel Middle,
55,,PSDLog 14.0 Hz Y Gyro Middle,
56,,PSDLog 45.0 Hz Y Accel Middle,
57,,PSDLog 30.0 Hz Y Gyro Middle,
58,,PSDLog 5.0 Hz Y Accel Middle,
59,,PSDLog 62.0 Hz Y Accel Middle,
60,,PSDLog 41.0 Hz Y Accel Middle,
61,,PSDLog 57.0 Hz Y Accel Middle,
62,,PSDLog 21.0 Hz Y Accel Middle,
63,,PSDLog 12.0 Hz Y Accel Middle,
64,,PSDLog 46.0 Hz Z Accel Middle,
65,,PSDLog 16.0 Hz Z Accel Middle,
66,,PSDLog 52.0 Hz Y Accel Middle,
67,,PSDLog 25.0 Hz Y Accel Middle,
68,,PSDLog 42.0 Hz Z Accel Middle,
69,,PSDLog 27.0 Hz Y Gyro Middle,
70,,PSDLog 2.0 Hz Z Accel Middle,
71,,PSDLog 39.0 Hz Y Accel Middle,
72,,PSDLog 11.0 Hz Z Accel Middle,
73,,PSDLog 37.0 Hz Y Gyro Middle,
74,,PSDLog 42.0 Hz Y Accel Middle,
75,,PSDLog 59.0 Hz Y Accel Middle,
76,,PSDLog 14.0 Hz Z Accel Middle,
77,,PSDLog 32.0 Hz Y Accel Middle,
78,,PSDLog 21.0 Hz Y Gyro Middle,
79,,PSDLog 22.0 Hz Z Accel Middle,
80,,PSDLog 3.0 Hz Z Accel Middle,
81,,PSDLog 64.0 Hz Y Accel Middle,
82,,PSDLog 12.0 Hz Z Accel Middle,
83,,PSDLog 61.0 Hz Y Accel Middle,
84,,PSDLog 17.0 Hz Z Accel Middle,
85,,PSDLog 38.0 Hz Z Accel Middle,
86,,PSDLog 10.0 Hz Z Accel Middle,
87,,PSDLog 23.0 Hz Y Gyro Middle,
88,,PSDLog 40.0 Hz Y Accel Middle,
89,,PSDLog 11.0 Hz Y Accel Middle,
90,,PSDLog 2.0 Hz X Accel Middle,
91,,PSDLog 36.0 Hz Y Accel Middle,
92,,PSDLog 31.0 Hz X Accel Middle,
93,,PSDLog 37.0 Hz Y Accel Middle,
94,,PSDLog 20.0 Hz Z Accel Middle,
95,,PSDLog 9.0 Hz Y Gyro Middle,
96,,PSDLog 60.0 Hz Y Accel Middle,
97,,PSDLog 13.0 Hz Z Accel Middle,
98,,PSDLog 22.0 Hz Y Gyro Middle,
99,,PSDLog 21.0 Hz Z Accel Middle,
100,,PSDLog 32.0 Hz X Accel Middle,
101,,PSDLog 38.0 Hz Y Gyro Middle,
102,,PSDLog 15.0 Hz Z Accel Middle,
103,,PSDLog 34.0 Hz Y Accel Middle,
104,,PSDLog 13.0 Hz Y Accel Middle,
105,,PSDLog 17.0 Hz Y Gyro Middle,
106,,PSDLog 5.0 Hz X Accel Middle,
107,,PSDLog 26.0 Hz Y Accel Middle,
108,,PSDLog 20.0 Hz Y Accel Middle,
109,,PSDLog 6.0 Hz Y Accel Middle,
110,,PSDLog 28.0 Hz Y Accel Middle,
111,,PSDLog 18.0 Hz Y Gyro Middle,
112,,PSDLog 44.0 Hz Y Accel Middle,
113,,PSDLog 29.0 Hz Y Gyro Middle,
114,,PSDLog 43.0 Hz Z Accel Middle,
115,,PSDLog 54.0 Hz Y Accel Middle,
116,,PSDLog 1.0 Hz Z Accel Middle,
117,,PSDLog 18.0 Hz Z Accel Middle,
118,,PSDLog 45.0 Hz Z Accel Middle,
119,,PSDLog 43.0 Hz Y Gyro Middle,
120,,PSDLog 31.0 Hz Y Accel Middle,
121,,PSDLog 20.0 Hz Y Gyro Middle,
122,,PSDLog 35.0 Hz Y Accel Middle,
123,,PSDLog 10.0 Hz Y Accel Middle,
124,,PSDLog 45.0 Hz Y Gyro Middle,
125,,PSDLog 6.0 Hz Z Accel Middle,
126,,PSDLog 30.0 Hz X Accel Middle,
127,,PSDLog 27.0 Hz Y Accel Middle,
128,,PSDLog 41.0 Hz Z Accel Middle,
129,,PSDLog 16.0 Hz Y Accel Middle,
130,,PSDLog 28.0 Hz X Accel Middle,
131,,PSDLog 42.0 Hz Y Gyro Middle,
132,,PSDLog 7.0 Hz Z Accel Middle,
133,,PSDLog 47.0 Hz Z Accel Middle,
134,,PSDLog 27.0 Hz X Accel Middle,
135,,PSDLog 19.0 Hz Z Accel Middle,
136,,PSDLog 44.0 Hz Y Gyro Middle,
137,,PSDLog 3.0 Hz X Gyro Middle,
138,,PSDLog 64.0 Hz Z Accel Middle,
139,,PSDLog 7.0 Hz Y Accel Middle,
140,,PSDLog 19.0 Hz X Gyro Middle,
141,,PSDLog 2.0 Hz Y Accel Middle,
142,,PSDLog 23.0 Hz X Gyro Middle,
143,,PSDLog 64.0 Hz Y Gyro Middle,
144,,PSDLog 25.0 Hz X Accel Middle,
145,,PSDLog 12.0 Hz X Accel Middle,
146,,PSDLog 19.0 Hz Y Gyro Middle,
147,,PSDLog 47.0 Hz Y Accel Middle,
148,,PSDLog 14.0 Hz Y Accel Middle,
149,,PSDLog 51.0 Hz Y Accel Middle,
150,,PSDLog 19.0 Hz Y Accel Middle,
151,,PSDLog 40.0 Hz Y Gyro Middle,
152,,PSDLog 29.0 Hz X Accel Middle,
153,,PSDLog 46.0 Hz Y Accel Middle,
154,,PSDLog 4.0 Hz X Gyro Middle,
155,,PSDLog 11.0 Hz X Accel Middle,
156,,PSDLog 17.0 Hz Y Accel Middle,
157,,PSDLog 33.0 Hz Y Accel Middle,
158,,PSDLog 26.0 Hz X Accel Middle,
159,,PSDLog 41.0 Hz Y Gyro Middle,
160,,PSDLog 63.0 Hz Y Gyro Middle,
161,,PSDLog 22.0 Hz X Gyro Middle,
162,,PSDLog 49.0 Hz Y Accel Middle,
163,,PSDLog 9.0 Hz Y Accel Middle,
164,,PSDLog 62.0 Hz Z Accel Middle,
165,,PSDLog 50.0 Hz Y Accel Middle,
166,,PSDLog 15.0 Hz Y Accel Middle,
167,,PSDLog 43.0 Hz Y Accel Middle,
168,,PSDLog 63.0 Hz Z Accel Middle,
169,,PSDLog 30.0 Hz Y Accel Middle,
170,,PSDLog 44.0 Hz Z Accel Middle,
171,,PSDLog 20.0 Hz X Gyro Middle,
172,,PSDLog 8.0 Hz Y Accel Middle,
173,,PSDLog 56.0 Hz Z Accel Middle,
174,,PSDLog 18.0 Hz Y Accel Middle,
175,,PSDLog 6.0 Hz X Gyro Middle,
176,,PSDLog 0.0 Hz X Gyro Middle,
177,,PSDLog 39.0 Hz Z Accel Middle,
178,,PSDLog 18.0 Hz X Gyro Middle,
179,,PSDLog 40.0 Hz Z Accel Middle,
180,,PSDLog 24.0 Hz X Accel Middle,
181,,PSDLog 15.0 Hz X Gyro Middle,
182,,PSDLog 53.0 Hz Z Accel Middle,
183,,PSDLog 46.0 Hz Y Gyro Middle,
184,,PSDLog 3.0 Hz Y Accel Middle,
185,,PSDLog 34.0 Hz X Accel Middle,
186,,PSDLog 54.0 Hz Z Accel Middle,
187,,PSDLog 4.0 Hz Y Accel Middle,
188,,PSDLog 62.0 Hz X Accel Middle,
189,,PSDLog 52.0 Hz Z Accel Middle,
190,,PSDLog 47.0 Hz Y Gyro Middle,
191,,PSDLog 5.0 Hz X Gyro Middle,
192,,PSDLog 29.0 Hz Y Accel Middle,
193,,PSDLog 1.0 Hz X Accel Middle,
194,,PSDLog 58.0 Hz Z Accel Middle,
195,,PSDLog 8.0 Hz Z Accel Middle,
196,,PSDLog 13.0 Hz X Accel Middle,
197,,PSDLog 57.0 Hz Z Accel Middle,
198,,PSDLog 35.0 Hz X Accel Middle,
199,,PSDLog 64.0 Hz X Accel Middle,
200,,PSDLog 0.0 Hz Z Accel Middle,
201,,PSDLog 21.0 Hz X Gyro Middle,
202,,PSDLog 14.0 Hz X Gyro Middle,
203,,PSDLog 23.0 Hz X Accel Middle,
204,,PSDLog 55.0 Hz Z Accel Middle,
205,,PSDLog 24.0 Hz X Gyro Middle,
206,,PSDLog 55.0 Hz X Accel Middle,
207,,PSDLog 56.0 Hz X Accel Middle,
208,,PSDLog 62.0 Hz Y Gyro Middle,
209,,PSDLog 17.0 Hz X Gyro Middle,
210,,PSDLog 39.0 Hz Y Gyro Middle,
211,,PSDLog 9.0 Hz Z Accel Middle,
212,,PSDLog 48.0 Hz Z Accel Middle,
213,,PSDLog 61.0 Hz X Accel Middle,
214,,PSDLog 16.0 Hz X Gyro Middle,
215,,PSDLog 7.0 Hz X Gyro Middle,
216,,PSDLog 49.0 Hz Z Accel Middle,
217,,PSDLog 61.0 Hz Z Accel Middle,
218,,PSDLog 61.0 Hz Y Gyro Middle,
219,,PSDLog 33.0 Hz X Accel Middle,
220,,PSDLog 60.0 Hz Z Accel Middle,
221,,PSDLog 20.0 Hz X Accel Middle,
222,,PSDLog 22.0 Hz X Accel Middle,
223,,PSDLog 59.0 Hz Z Accel Middle,
224,,PSDLog 12.0 Hz X Gyro Middle,
225,,PSDLog 57.0 Hz Y Gyro Middle,
226,,PSDLog 57.0 Hz X Accel Middle,
227,,PSDLog 48.0 Hz Y Accel Middle,
228,,PSDLog 42.0 Hz X Accel Middle,
229,,PSDLog 58.0 Hz X Accel Middle,
230,,PSDLog 13.0 Hz X Gyro Middle,
231,,PSDLog 63.0 Hz X Accel Middle,
232,,PSDLog 14.0 Hz X Accel Middle,
233,,PSDLog 51.0 Hz Z Accel Middle,
234,,PSDLog 10.0 Hz X Gyro Middle,
235,,PSDLog 36.0 Hz X Gyro Middle,
236,,PSDLog 8.0 Hz X Gyro Middle,
237,,PSDLog 25.0 Hz X Gyro Middle,
238,,PSDLog 10.0 Hz X Accel Middle,
239,,PSDLog 59.0 Hz X Accel Middle,
240,,Label,
