,Left,Middle,Right
0,,PSDLog 31.0 Hz Y Gyro Middle,
1,,PSDLog 0.0 Hz Y Gyro Middle,
2,,PSDLog 11.0 Hz Y Gyro Middle,
3,,PSDLog 13.0 Hz Y Gyro Middle,
4,,PSDLog 30.0 Hz Y Gyro Middle,
5,,PSDLog 3.0 Hz Y Gyro Middle,
6,,PSDLog 28.0 Hz Y Gyro Middle,
7,,PSDLog 9.0 Hz Y Gyro Middle,
8,,PSDLog 7.0 Hz Y Gyro Middle,
9,,PSDLog 33.0 Hz Y Gyro Middle,
10,,PSDLog 12.0 Hz Y Gyro Middle,
11,,PSDLog 27.0 Hz Y Gyro Middle,
12,,PSDLog 8.0 Hz Y Gyro Middle,
13,,PSDLog 15.0 Hz Y Gyro Middle,
14,,PSDLog 29.0 Hz Y Gyro Middle,
15,,PSDLog 10.0 Hz Y Gyro Middle,
16,,PSDLog 34.0 Hz Y Gyro Middle,
17,,PSDLog 14.0 Hz Z Accel Middle,
18,,PSDLog 2.0 Hz Y Gyro Middle,
19,,PSDLog 26.0 Hz Y Gyro Middle,
20,,PSDLog 16.0 Hz Y Gyro Middle,
21,,PSDLog 32.0 Hz Y Gyro Middle,
22,,PSDLog 4.0 Hz Y Gyro Middle,
23,,PSDLog 14.0 Hz Y Gyro Middle,
24,,PSDLog 37.0 Hz Y Accel Middle,
25,,PSDLog 17.0 Hz Y Gyro Middle,
26,,PSDLog 1.0 Hz Y Gyro Middle,
27,,PSDLog 31.0 Hz Z Accel Middle,
28,,PSDLog 12.0 Hz Z Accel Middle,
29,,PSDLog 16.0 Hz Z Accel Middle,
30,,PSDLog 43.0 Hz Y Accel Middle,
31,,PSDLog 15.0 Hz Z Accel Middle,
32,,PSDLog 35.0 Hz Y Gyro Middle,
33,,PSDLog 25.0 Hz Y Gyro Middle,
34,,PSDLog 5.0 Hz Y Gyro Middle,
35,,PSDLog 32.0 Hz Y Accel Middle,
36,,PSDLog 18.0 Hz Y Gyro Middle,
37,,PSDLog 11.0 Hz Z Accel Middle,
38,,PSDLog 34.0 Hz Z Accel Middle,
39,,PSDLog 19.0 Hz Z Accel Middle,
40,,PSDLog 41.0 Hz Y Gyro Middle,
41,,PSDLog 17.0 Hz Z Accel Middle,
42,,PSDLog 34.0 Hz Y Accel Middle,
43,,PSDLog 23.0 Hz Y Gyro Middle,
44,,PSDLog 6.0 Hz Y Gyro Middle,
45,,PSDLog 30.0 Hz Z Accel Middle,
46,,PSDLog 23.0 Hz Y Accel Middle,
47,,PSDLog 36.0 Hz Y Gyro Middle,
48,,PSDLog 13.0 Hz Z Accel Middle,
49,,PSDLog 19.0 Hz Y Gyro Middle,
50,,PSDLog 18.0 Hz Z Accel Middle,
51,,PSDLog 36.0 Hz Y Accel Middle,
52,,PSDLog 62.0 Hz Y Accel Middle,
53,,PSDLog 27.0 Hz Z Accel Middle,
54,,PSDLog 52.0 Hz Y Accel Middle,
55,,PSDLog 24.0 Hz Y Gyro Middle,
56,,PSDLog 10.0 Hz Z Accel Middle,
57,,PSDLog 31.0 Hz X Accel Middle,
58,,PSDLog 22.0 Hz Y Accel Middle,
59,,PSDLog 0.0 Hz X Gyro Middle,
60,,PSDLog 28.0 Hz Z Accel Middle,
61,,PSDLog 20.0 Hz Z Accel Middle,
62,,PSDLog 27.0 Hz Y Accel Middle,
63,,PSDLog 26.0 Hz Z Accel Middle,
64,,PSDLog 33.0 Hz Z Accel Middle,
65,,PSDLog 29.0 Hz Y Accel Middle,
66,,PSDLog 57.0 Hz Y Accel Middle,
67,,PSDLog 33.0 Hz Y Accel Middle,
68,,PSDLog 16.0 Hz Y Accel Middle,
69,,PSDLog 31.0 Hz Y Accel Middle,
70,,PSDLog 40.0 Hz Y Gyro Middle,
71,,PSDLog 2.0 Hz X Gyro Middle,
72,,PSDLog 30.0 Hz Y Accel Middle,
73,,PSDLog 12.0 Hz Y Accel Middle,
74,,PSDLog 29.0 Hz X Gyro Middle,
75,,PSDLog 22.0 Hz Y Gyro Middle,
