,Left,Middle,Right
0,,Max Y Gyro Middle,
1,,Variance Frequency X Gyro Middle,
2,,Excess Kurtosis Z Gyro Middle,
3,,Autocorrelation Y Accel Middle,
4,,Excess Kurtosis X Accel Middle,
5,,Std Dev Z Gyro Middle,
6,,Autocorrelation X Accel Middle,
7,,Excess Kurtosis Y Gyro Middle,
8,,Zero Crossing Rate Z Gyro Middle,
9,,Variance Frequency X Accel Middle,
10,,Max Y Accel Middle,
11,,Zero Crossing Rate X Gyro Middle,
12,,Min Y Accel Middle,
13,,Variance Frequency Z Gyro Middle,
14,,Excess Kurtosis Z Accel Middle,
15,,Mean Square Frequency X Accel Middle,
16,,Autocorrelation X Gyro Middle,
17,,Root Mean Square Frequency Y Accel Middle,
18,,Variance Frequency Y Gyro Middle,
19,,Root Variance Frequency Z Gyro Middle,
20,,Excess Kurtosis Y Accel Middle,
21,,Max Z Accel Middle,
22,,Frequency Center Z Gyro Middle,
23,,Zero Crossing Rate Y Accel Middle,
24,,Min X Accel Middle,
25,,Skew Z Accel Middle,
26,,Autocorrelation Y Gyro Middle,
27,,Skew X Gyro Middle,
28,,Variance Frequency Y Accel Middle,
29,,Mean X Accel Middle,
30,,Skew Y Gyro Middle,
31,,Min Z Accel Middle,
32,,Zero Crossing Rate Y Gyro Middle,
33,,Mean Square Frequency X Gyro Middle,
34,,Skew X Accel Middle,
35,,Root Mean Squared Y Accel Middle,
36,,Mean Square Frequency Z Accel Middle,
37,,Excess Kurtosis X Gyro Middle,
38,,Variance Frequency Z Accel Middle,
39,,Skew Y Accel Middle,
40,,Max X Accel Middle,
41,,Root Variance Frequency Y Accel Middle,
42,,Mean Z Accel Middle,
43,,Autocorrelation Z Accel Middle,
44,,Root Mean Square Frequency Z Gyro Middle,
45,,Mean Y Gyro Middle,
46,,Max X Gyro Middle,
47,,Zero Crossing Rate X Accel Middle,
48,,Frequency Center X Gyro Middle,
49,,Autocorrelation Z Gyro Middle,
50,,Skew Z Gyro Middle,
51,,Mean Square Frequency Y Accel Middle,
52,,Zero Crossing Rate Z Accel Middle,
53,,Min Y Gyro Middle,
54,,Frequency Center Y Accel Middle,
55,,Min X Gyro Middle,
56,,L2 Norm Y Accel Middle,
57,,Mean Square Frequency Z Gyro Middle,
58,,Mean Square Frequency Y Gyro Middle,
59,,Root Mean Square Frequency X Accel Middle,
60,,Mean Y Accel Middle,
61,,Frequency Center Y Gyro Middle,
62,,Std Dev Y Accel Middle,
63,,Frequency Center X Accel Middle,
64,,Std Dev Z Accel Middle,
65,,Min Z Gyro Middle,
66,,Frequency Center Z Accel Middle,
67,,L2 Norm X Accel Middle,
68,,Root Mean Squared X Gyro Middle,
69,,Root Variance Frequency X Accel Middle,
70,,Root Mean Squared Z Gyro Middle,
71,,L2 Norm Z Accel Middle,
72,,Max Z Gyro Middle,
73,,Root Mean Square Frequency X Gyro Middle,
74,,Std Dev X Gyro Middle,
75,,Mean X Gyro Middle,
76,,Root Mean Squared Z Accel Middle,
77,,Root Mean Squared X Accel Middle,
78,,L2 Norm X Gyro Middle,
79,,Root Variance Frequency Z Accel Middle,
80,,L2 Norm Z Gyro Middle,
81,,Std Dev X Accel Middle,
82,,Root Variance Frequency X Gyro Middle,
83,,Mean Z Gyro Middle,
84,,Root Mean Square Frequency Z Accel Middle,
85,,Root Mean Square Frequency Y Gyro Middle,
86,,Std Dev Y Gyro Middle,
87,,Root Mean Squared Y Gyro Middle,
88,,Root Variance Frequency Y Gyro Middle,
89,,L2 Norm Y Gyro Middle,
90,,Label,
