,Left,Middle,Right
0,,FFT 0.0 Hz Z Gyro Middle,
1,,FFT 19.3 Hz Z Accel Middle,
2,,FFT 20.7 Hz Z Accel Middle,
3,,FFT 29.3 Hz Z Accel Middle,
4,,FFT 18.0 Hz Z Accel Middle,
5,,FFT 22.0 Hz Z Accel Middle,
6,,FFT 18.7 Hz Z Accel Middle,
7,,FFT 30.7 Hz Z Accel Middle,
8,,FFT 21.3 Hz Z Accel Middle,
9,,FFT 0.0 Hz Y Accel Middle,
10,,FFT 30.0 Hz Z Accel Middle,
11,,FFT 27.3 Hz Z Accel Middle,
12,,FFT 20.0 Hz Z Accel Middle,
13,,FFT 16.7 Hz Z Accel Middle,
14,,FFT 25.3 Hz Z Accel Middle,
15,,FFT 26.0 Hz Z Accel Middle,
16,,FFT 17.3 Hz Z Accel Middle,
17,,FFT 28.0 Hz Z Accel Middle,
18,,FFT 28.7 Hz Z Accel Middle,
19,,FFT 23.3 Hz Z Accel Middle,
20,,FFT 24.0 Hz Z Accel Middle,
21,,FFT 15.3 Hz Z Accel Middle,
22,,FFT 0.0 Hz X Accel Middle,
23,,FFT 33.3 Hz Z Accel Middle,
24,,FFT 14.7 Hz Z Accel Middle,
25,,FFT 32.0 Hz Z Accel Middle,
26,,FFT 26.7 Hz Z Accel Middle,
27,,FFT 32.7 Hz Z Accel Middle,
28,,FFT 22.7 Hz Z Accel Middle,
29,,FFT 16.0 Hz Z Accel Middle,
30,,FFT 31.3 Hz Z Accel Middle,
31,,FFT 20.0 Hz X Accel Middle,
32,,FFT 21.3 Hz Y Gyro Middle,
33,,FFT 19.3 Hz Z Gyro Middle,
34,,FFT 20.0 Hz Y Accel Middle,
35,,FFT 20.7 Hz Y Gyro Middle,
36,,FFT 19.3 Hz X Gyro Middle,
37,,FFT 21.3 Hz Z Gyro Middle,
38,,FFT 19.3 Hz Y Gyro Middle,
39,,FFT 20.7 Hz Y Accel Middle,
40,,FFT 21.3 Hz X Gyro Middle,
41,,FFT 20.0 Hz Z Gyro Middle,
42,,FFT 20.7 Hz Z Gyro Middle,
43,,FFT 20.7 Hz X Gyro Middle,
44,,FFT 20.7 Hz X Accel Middle,
45,,FFT 21.3 Hz X Accel Middle,
46,,FFT 21.3 Hz Y Accel Middle,
47,,FFT 20.0 Hz Y Gyro Middle,
48,,FFT 20.0 Hz X Gyro Middle,
49,,FFT 19.3 Hz Y Accel Middle,
50,,FFT 18.0 Hz X Gyro Middle,
51,,FFT 16.0 Hz Y Gyro Middle,
52,,FFT 16.0 Hz X Gyro Middle,
53,,FFT 16.7 Hz X Gyro Middle,
54,,FFT 16.7 Hz Y Accel Middle,
55,,FFT 16.7 Hz X Accel Middle,
56,,FFT 16.0 Hz Z Gyro Middle,
57,,FFT 16.7 Hz Z Gyro Middle,
58,,FFT 17.3 Hz Y Accel Middle,
59,,FFT 16.0 Hz Y Accel Middle,
60,,FFT 16.0 Hz X Accel Middle,
61,,FFT 15.3 Hz Z Gyro Middle,
62,,FFT 15.3 Hz Y Gyro Middle,
63,,FFT 16.7 Hz Y Gyro Middle,
64,,FFT 19.3 Hz X Accel Middle,
65,,FFT 17.3 Hz X Accel Middle,
66,,FFT 18.0 Hz Z Gyro Middle,
67,,FFT 18.0 Hz Y Gyro Middle,
68,,FFT 18.7 Hz Y Gyro Middle,
69,,FFT 18.7 Hz X Gyro Middle,
70,,FFT 18.7 Hz Y Accel Middle,
