,Left,Middle,Right
0,,Max Z Accel Middle,
1,,Zero Crossing Rate Y Accel Middle,
2,,Excess Kurtosis Z Gyro Middle,
3,,Std Dev Z Gyro Middle,
4,,Autocorrelation Y Accel Middle,
5,,Variance Frequency X Gyro Middle,
6,,Excess Kurtosis Z Accel Middle,
7,,Min X Accel Middle,
8,,Zero Crossing Rate Z Gyro Middle,
9,,Variance Frequency Y Gyro Middle,
10,,Max Y Gyro Middle,
11,,Zero Crossing Rate X Gyro Middle,
12,,Min Y Accel Middle,
13,,Variance Frequency X Accel Middle,
14,,Std Dev Y Accel Middle,
15,,Root Mean Square Frequency Z Gyro Middle,
16,,Autocorrelation X Gyro Middle,
17,,Variance Frequency Y Accel Middle,
18,,Skew X Accel Middle,
19,,Max Y Accel Middle,
20,,Frequency Center Z Gyro Middle,
21,,Excess Kurtosis Y Gyro Middle,
22,,Mean Z Accel Middle,
23,,Skew X Gyro Middle,
24,,Autocorrelation X Accel Middle,
25,,Zero Crossing Rate X Accel Middle,
26,,Min Z Accel Middle,
27,,Zero Crossing Rate Z Accel Middle,
28,,Root Mean Square Frequency Y Accel Middle,
29,,Skew Z Accel Middle,
30,,Zero Crossing Rate Y Gyro Middle,
31,,Autocorrelation Y Gyro Middle,
32,,Excess Kurtosis Y Accel Middle,
33,,Mean X Accel Middle,
34,,Variance Frequency Z Gyro Middle,
35,,Max X Gyro Middle,
36,,L2 Norm Y Accel Middle,
37,,Mean Y Gyro Middle,
38,,Excess Kurtosis X Accel Middle,
39,,Variance Frequency Z Accel Middle,
40,,Root Variance Frequency X Accel Middle,
41,,Root Variance Frequency Z Gyro Middle,
42,,Skew Z Gyro Middle,
43,,Autocorrelation Z Gyro Middle,
44,,Min Y Gyro Middle,
45,,Skew Y Gyro Middle,
46,,Max X Accel Middle,
47,,Mean Square Frequency Y Gyro Middle,
48,,Excess Kurtosis X Gyro Middle,
49,,Autocorrelation Z Accel Middle,
50,,Skew Y Accel Middle,
51,,Root Variance Frequency Y Accel Middle,
52,,Frequency Center X Gyro Middle,
53,,Mean Y Accel Middle,
54,,Std Dev X Accel Middle,
55,,Mean Square Frequency X Gyro Middle,
56,,Frequency Center Y Gyro Middle,
57,,Mean Square Frequency Z Accel Middle,
58,,Root Mean Squared Y Accel Middle,
59,,Mean Square Frequency X Accel Middle,
60,,Mean Square Frequency Z Gyro Middle,
61,,Mean Square Frequency Y Accel Middle,
62,,Min Z Gyro Middle,
63,,Frequency Center X Accel Middle,
64,,Frequency Center Y Accel Middle,
65,,Root Mean Squared X Accel Middle,
66,,L2 Norm X Gyro Middle,
67,,Min X Gyro Middle,
68,,Frequency Center Z Accel Middle,
69,,Root Mean Squared Y Gyro Middle,
70,,Root Mean Squared Z Gyro Middle,
71,,Std Dev X Gyro Middle,
72,,Root Mean Square Frequency X Accel Middle,
73,,Mean X Gyro Middle,
74,,Std Dev Z Accel Middle,
75,,Root Variance Frequency X Gyro Middle,
76,,L2 Norm X Accel Middle,
77,,Root Variance Frequency Z Accel Middle,
78,,Root Mean Squared X Gyro Middle,
79,,Mean Z Gyro Middle,
80,,L2 Norm Y Gyro Middle,
81,,Root Mean Square Frequency Y Gyro Middle,
82,,Root Mean Square Frequency X Gyro Middle,
83,,L2 Norm Z Gyro Middle,
84,,Root Mean Squared Z Accel Middle,
85,,Max Z Gyro Middle,
86,,Root Mean Square Frequency Z Accel Middle,
87,,Std Dev Y Gyro Middle,
88,,Root Variance Frequency Y Gyro Middle,
89,,L2 Norm Z Accel Middle,
90,,Label,
