,Left,Middle,Right
0,,PSDLog 28.0 Hz Y Gyro Middle,
1,,PSDLog 0.0 Hz Y Gyro Middle,
2,,PSDLog 32.0 Hz Z Accel Middle,
3,,PSDLog 0.0 Hz X Gyro Middle,
4,,PSDLog 20.0 Hz Z Accel Middle,
5,,PSDLog 24.0 Hz Z Accel Middle,
6,,PSDLog 0.0 Hz X Accel Middle,
7,,PSDLog 60.0 Hz Y Accel Middle,
8,,PSDLog 4.0 Hz Y Gyro Middle,
9,,PSDLog 20.0 Hz Y Accel Middle,
10,,PSDLog 28.0 Hz Z Accel Middle,
11,,PSDLog 16.0 Hz Z Accel Middle,
12,,PSDLog 32.0 Hz Y Gyro Middle,
13,,PSDLog 8.0 Hz Y Gyro Middle,
14,,PSDLog 36.0 Hz Y Accel Middle,
15,,PSDLog 0.0 Hz Z Accel Middle,
16,,PSDLog 24.0 Hz Y Gyro Middle,
17,,PSDLog 0.0 Hz Y Accel Middle,
18,,PSDLog 52.0 Hz Y Accel Middle,
19,,PSDLog 40.0 Hz Z Accel Middle,
20,,PSDLog 12.0 Hz Y Gyro Middle,
21,,PSDLog 20.0 Hz Y Gyro Middle,
22,,PSDLog 40.0 Hz Y Accel Middle,
23,,PSDLog 68.0 Hz Y Gyro Middle,
24,,PSDLog 56.0 Hz Y Accel Middle,
25,,PSDLog 4.0 Hz Y Accel Middle,
26,,PSDLog 24.0 Hz Y Accel Middle,
27,,PSDLog 12.0 Hz Z Accel Middle,
28,,PSDLog 28.0 Hz X Accel Middle,
29,,PSDLog 64.0 Hz Y Accel Middle,
30,,PSDLog 8.0 Hz Z Accel Middle,
31,,PSDLog 32.0 Hz Y Accel Middle,
32,,PSDLog 4.0 Hz Z Accel Middle,
33,,PSDLog 36.0 Hz Z Accel Middle,
34,,PSDLog 44.0 Hz Z Accel Middle,
35,,PSDLog 8.0 Hz Y Accel Middle,
36,,PSDLog 16.0 Hz Y Gyro Middle,
37,,PSDLog 64.0 Hz Z Accel Middle,
38,,PSDLog 16.0 Hz Y Accel Middle,
39,,PSDLog 40.0 Hz Y Gyro Middle,
40,,PSDLog 76.0 Hz Y Gyro Middle,
41,,PSDLog 48.0 Hz Y Accel Middle,
42,,PSDLog 16.0 Hz X Gyro Middle,
43,,PSDLog 28.0 Hz Y Accel Middle,
44,,PSDLog 4.0 Hz X Gyro Middle,
45,,PSDLog 44.0 Hz Y Accel Middle,
46,,PSDLog 68.0 Hz Z Accel Middle,
47,,PSDLog 24.0 Hz X Accel Middle,
48,,PSDLog 36.0 Hz Y Gyro Middle,
49,,PSDLog 64.0 Hz Y Gyro Middle,
50,,PSDLog 20.0 Hz X Accel Middle,
51,,PSDLog 68.0 Hz Y Accel Middle,
52,,PSDLog 60.0 Hz Z Accel Middle,
53,,PSDLog 12.0 Hz Y Accel Middle,
54,,PSDLog 52.0 Hz Z Accel Middle,
55,,PSDLog 4.0 Hz X Accel Middle,
56,,PSDLog 12.0 Hz X Gyro Middle,
57,,PSDLog 76.0 Hz Z Accel Middle,
58,,PSDLog 8.0 Hz X Accel Middle,
59,,PSDLog 44.0 Hz Y Gyro Middle,
60,,PSDLog 72.0 Hz Y Gyro Middle,
61,,PSDLog 48.0 Hz Z Accel Middle,
62,,PSDLog 72.0 Hz Y Accel Middle,
63,,PSDLog 20.0 Hz X Gyro Middle,
64,,PSDLog 60.0 Hz X Accel Middle,
65,,PSDLog 8.0 Hz X Gyro Middle,
66,,PSDLog 60.0 Hz Y Gyro Middle,
67,,PSDLog 76.0 Hz Y Accel Middle,
68,,PSDLog 12.0 Hz X Accel Middle,
69,,PSDLog 72.0 Hz Z Accel Middle,
70,,PSDLog 32.0 Hz X Accel Middle,
71,,PSDLog 88.0 Hz Y Gyro Middle,
72,,PSDLog 64.0 Hz X Accel Middle,
73,,PSDLog 56.0 Hz Z Accel Middle,
74,,PSDLog 76.0 Hz X Accel Middle,
75,,PSDLog 80.0 Hz Y Accel Middle,
76,,PSDLog 88.0 Hz Z Accel Middle,
77,,PSDLog 56.0 Hz X Accel Middle,
78,,PSDLog 52.0 Hz Y Gyro Middle,
79,,PSDLog 68.0 Hz X Accel Middle,
80,,PSDLog 52.0 Hz X Accel Middle,
81,,PSDLog 80.0 Hz Y Gyro Middle,
82,,PSDLog 16.0 Hz X Accel Middle,
83,,PSDLog 88.0 Hz X Gyro Middle,
84,,PSDLog 84.0 Hz Z Accel Middle,
85,,PSDLog 84.0 Hz Y Accel Middle,
86,,PSDLog 80.0 Hz X Accel Middle,
87,,PSDLog 48.0 Hz Y Gyro Middle,
88,,PSDLog 84.0 Hz Y Gyro Middle,
89,,PSDLog 64.0 Hz X Gyro Middle,
90,,PSDLog 56.0 Hz Y Gyro Middle,
91,,PSDLog 40.0 Hz X Accel Middle,
92,,PSDLog 72.0 Hz X Gyro Middle,
93,,PSDLog 80.0 Hz Z Accel Middle,
94,,PSDLog 44.0 Hz X Accel Middle,
95,,PSDLog 72.0 Hz X Accel Middle,
96,,PSDLog 88.0 Hz Y Accel Middle,
97,,PSDLog 0.0 Hz Z Gyro Middle,
98,,PSDLog 48.0 Hz X Accel Middle,
99,,PSDLog 68.0 Hz X Gyro Middle,
100,,PSDLog 60.0 Hz X Gyro Middle,
101,,PSDLog 32.0 Hz X Gyro Middle,
102,,PSDLog 88.0 Hz X Accel Middle,
103,,PSDLog 80.0 Hz X Gyro Middle,
104,,PSDLog 24.0 Hz X Gyro Middle,
105,,PSDLog 56.0 Hz X Gyro Middle,
106,,PSDLog 28.0 Hz X Gyro Middle,
107,,PSDLog 36.0 Hz X Accel Middle,
108,,PSDLog 4.0 Hz Z Gyro Middle,
109,,PSDLog 76.0 Hz X Gyro Middle,
110,,PSDLog 84.0 Hz X Accel Middle,
111,,PSDLog 52.0 Hz X Gyro Middle,
112,,PSDLog 84.0 Hz X Gyro Middle,
113,,PSDLog 48.0 Hz X Gyro Middle,
114,,PSDLog 12.0 Hz Z Gyro Middle,
115,,PSDLog 36.0 Hz X Gyro Middle,
116,,PSDLog 8.0 Hz Z Gyro Middle,
117,,PSDLog 40.0 Hz X Gyro Middle,
118,,PSDLog 20.0 Hz Z Gyro Middle,
119,,PSDLog 52.0 Hz Z Gyro Middle,
120,,PSDLog 44.0 Hz X Gyro Middle,
121,,PSDLog 16.0 Hz Z Gyro Middle,
122,,PSDLog 56.0 Hz Z Gyro Middle,
123,,PSDLog 24.0 Hz Z Gyro Middle,
124,,PSDLog 28.0 Hz Z Gyro Middle,
125,,PSDLog 48.0 Hz Z Gyro Middle,
126,,PSDLog 88.0 Hz Z Gyro Middle,
127,,PSDLog 32.0 Hz Z Gyro Middle,
128,,PSDLog 36.0 Hz Z Gyro Middle,
