Vector,Naive Bayes,k Nearest,Decision Tree,Random Forest,AdaBoost,Support Vector Machine
Middle TimeFeats,0.5646546359676416,0.8413192283758555,0.7812694461729932,0.8963907902924705,0.54411947728687,0.8839452395768512
Middle FreqFeats,0.5113876789047915,0.684443061605476,0.6461729931549471,0.744803982576229,0.5382700684505289,0.6982576228998132
Middle FFTs,0.516241443683883,0.7238954573739887,0.6153080273802115,0.783136278780336,0.5491599253266957,0.8227753578095831
Middle PSDLogs,0.5522090852520224,0.7398257622899813,0.5939639079029246,0.7456751711263223,0.5371499688861232,0.8117610454262602
Middle AllFeats,0.5777224642190417,0.8530180460485376,0.794212818917237,0.9016179215930306,0.5930304915992533,0.8943995021779714
Middle Combined,0.5573117610454263,0.8294337274424393,0.7604853764779091,0.8754822650902302,0.5908525202240199,0.9107031736154324
Left TimeFeats,0.48222251199436056,0.6037501689202716,0.6205557873187978,0.764776589766479,0.5422432873494362,0.7435691582876494
Left FreqFeats,0.34017339921183065,0.5112616673456158,0.5040010124594938,0.624271412349947,0.4733043386895971,0.5714539366062443
Left FFTs,0.4610151622182014,0.45369921096462906,0.5107465810291953,0.6823475007398176,0.5182922475113776,0.7291640133724394
Left PSDLogs,0.4566141008024672,0.5065166540272635,0.4695893509392784,0.6639984208507831,0.5039439349738248,0.7226479966260065
Left AllFeats,0.47387691100503926,0.6338748913150225,0.6329595762964866,0.7696918060881889,0.5435574421246878,0.7583166537331341
Left Combined,0.4974282286975402,0.5280657333934011,0.6069509200619436,0.7466563753982801,0.5557906686072684,0.7766665669894086
Right TimeFeats,0.4967177741371289,0.6042136631998384,0.6307977902447948,0.7712208385019446,0.5584357132744229,0.7484965899712444
Right FreqFeats,0.35866748908223556,0.5023433064907719,0.5143121447268912,0.6329494380185625,0.4796211869944589,0.5769128271432419
Right FFTs,0.4749324297711395,0.4561247224841695,0.5012406795816934,0.6819813432716659,0.5412819919732362,0.720754678819195
Right PSDLogs,0.4396335414768594,0.5145330928741066,0.48767266278787014,0.6585412373430806,0.531796398616675,0.704152924890252
Right AllFeats,0.4785732002321864,0.623848682834858,0.6402846458145997,0.7819205897546911,0.550217442844171,0.7609624664924205
Right Combined,0.5068112220185952,0.5336161603442708,0.6033315282163209,0.7455191049661096,0.5432136192504856,0.7769572175102128
Synthesis TimeFeats,0.5222418489571253,0.6937531070240648,0.6987255168846407,0.8764952721694513,0.5884643839576587,0.8436342767753826
Synthesis FreqFeats,0.41231828545841676,0.6479263313368727,0.6508882711413124,0.7969706212767445,0.5343144774553631,0.7332071547726311
Synthesis FFTs,0.518608924708461,0.5502965016568452,0.6172459026327572,0.7900975365428199,0.5892473501174715,0.8225106363107194
Synthesis PSDLogs,0.4858048572576725,0.6553595589201089,0.5625916411037555,0.7542756009021634,0.5787415910243453,0.8360901295067761
Synthesis AllFeats,0.5619199069911419,0.7433768906285361,0.7494690864088088,0.8952726379940372,0.6105418525024321,0.8745386064383084
Synthesis Combined,0.5521958802286051,0.6721808212648437,0.7220856680427767,0.8735333167469201,0.6209352081915015,0.8825307898959072
