Vector,Naive Bayes,k Nearest,Decision Tree,Random Forest,AdaBoost,Support Vector Machine
Middle TimeFeats,0.6684505289359054,0.8355942750466709,0.759054138145613,0.8647790914747977,0.5692594897324207,0.8328562538892346
Middle FreqFeats,0.5472308649657748,0.6856253889234598,0.6391412570006223,0.74150591163659,0.5400746733042937,0.6986932171748601
Middle FFTs,0.5332918481642813,0.5811449906658369,0.5232731798382078,0.6420037336652147,0.5373988799004354,0.640261356565028
Middle PSDLogs,0.5644057249533292,0.6171748599875545,0.5553827006845052,0.6703173615432483,0.5439950217797137,0.6676415681393901
Middle AllFeats,0.6071561916614809,0.8006222775357811,0.701866832607343,0.8189794648413192,0.5004355942750467,0.7882389545737399
Middle Combined,0.6214685749844431,0.7116365899191038,0.6362165525824517,0.7436838830118233,0.4795892968263846,0.7317361543248289
Left TimeFeats,0.4677035225779611,0.6429055038350416,0.6170112149987802,0.7450549703737945,0.5352122333081852,0.6989254464764988
Left FreqFeats,0.359837630648698,0.5250369827138391,0.501943428744078,0.6172967331513978,0.46844652666423847,0.5745972997920994
Left FFTs,0.44106520020177287,0.4489538708355944,0.3829319526235626,0.5112608012973077,0.4416372986417258,0.515605651275681
Left PSDLogs,0.4446092659652329,0.4250603986992282,0.39024867188223833,0.5155478711470451,0.4369487582092801,0.5228080684982117
Left AllFeats,0.4934830681836565,0.6483938153692854,0.6114093367524267,0.7484855511278156,0.5144050305314709,0.7020119936252309
Left Combined,0.48959679895472874,0.5428720711022395,0.4950261865229484,0.6260438537450298,0.49033924746284613,0.6217566204899514
Right TimeFeats,0.48623869729860514,0.6473436266062994,0.6201539717668749,0.7490481923661647,0.5407860638275385,0.7044288021246545
Right FreqFeats,0.36881577480655825,0.5177323776402117,0.512878011956353,0.6278750670455739,0.47189934655372445,0.5787324824191185
Right FFTs,0.4435496112915468,0.44906555920380803,0.38889250824734695,0.5148639600252503,0.44912082285354177,0.5113896952606629
Right PSDLogs,0.4658867861632839,0.45082972271912364,0.40212909521665285,0.5314102526084092,0.4582206960087144,0.5293698316739791
Right AllFeats,0.4943469726879865,0.6395675870330249,0.6129280138496729,0.7444709053003985,0.5086329759140819,0.7087311548141041
Right Combined,0.48816967065814987,0.5583256574039984,0.5108372564593763,0.6344932920969787,0.5159674841702492,0.6329487841008579
Synthesis TimeFeats,0.5515817456372033,0.7396886783361923,0.671175187975444,0.815245053320945,0.5589034912837775,0.7572930005492882
Synthesis FreqFeats,0.5459366645785279,0.6655299038815798,0.635632113357357,0.7699226014242762,0.5120160129167864,0.7135915815988272
Synthesis FFTs,0.4773677768474601,0.6078571494390528,0.5230243778103779,0.6587684104109572,0.5462157286362861,0.6654186718343809
Synthesis PSDLogs,0.49323777247907996,0.49743002743630116,0.44679687781857746,0.5740464022867384,0.46088125705644895,0.5751086043033152
Synthesis AllFeats,0.6091420654394908,0.7835032815952819,0.703531703398075,0.8255287387719589,0.5801394102077658,0.801050832046012
Synthesis Combined,0.5625347756328412,0.6296525240163297,0.5482281040995771,0.6970489616233818,0.4574721088218633,0.6926342581898538
