Vector,Naive Bayes,k Nearest,Decision Tree,Random Forest,AdaBoost,Support Vector Machine
Middle TimeFeats X Accel,0.5182949595519603,0.5564405724953329,0.48500311138767893,0.5881767268201619,0.45830740510267576,0.5832607342874923
Middle TimeFeats Y Accel,0.47865588052271313,0.5845675171126322,0.5181082762912259,0.6137523335407592,0.4761667703795894,0.5929682638456752
Middle TimeFeats Z Accel,0.6261978842563785,0.6730553827006844,0.6088363410080897,0.6948973242065961,0.5657125077784692,0.6847542003733665
Middle TimeFeats X Gyro,0.4711885500933416,0.6101431238332296,0.5391412570006222,0.6322339763534537,0.43995021779713755,0.622090852520224
Middle TimeFeats Y Gyro,0.5708774113254511,0.6553827006845052,0.5910392034847542,0.6767268201617922,0.5460485376477909,0.6700062227753578
Middle TimeFeats Z Gyro,0.2558805227131301,0.2647790914747977,0.23497199751088985,0.30410703173615433,0.26944617299315493,0.31101431238332294
Middle FreqFeats X Accel,0.41512134411947726,0.4190416925948973,0.38388301182327317,0.41985065339141253,0.41804604853764776,0.46838830118232727
Middle FreqFeats Y Accel,0.4021779713752334,0.3976975731176105,0.34760423148724334,0.39533291848164287,0.387056627255756,0.4395146235220908
Middle FreqFeats Z Accel,0.5046670815183573,0.5059116365899191,0.4651524579962663,0.49172370877411326,0.4726820161792159,0.5333540759178593
Middle FreqFeats X Gyro,0.4966397013067828,0.5049782202862476,0.4588674548848786,0.49495955196017427,0.49041692594897324,0.5476042314872434
Middle FreqFeats Y Gyro,0.5395146235220908,0.5392657125077784,0.5053515868077162,0.5355942750466708,0.5207840696950841,0.5795270690728065
Middle FreqFeats Z Gyro,0.21263223397635347,0.19060360920970754,0.1849408836341008,0.19620410703173616,0.2268823895457374,0.23820784069695083
Middle FFTs X Accel,0.45588052271313007,0.5756067205973865,0.5055382700684505,0.603298070939639,0.4673304293714997,0.5890479153702551
Middle FFTs Y Accel,0.4855009334163037,0.6050404480398258,0.536403235843186,0.6322339763534537,0.5028624766645924,0.6115121344119477
Middle FFTs Z Accel,0.4800871188550094,0.6443061605476041,0.5786558805227131,0.6679527069072806,0.47952706907280646,0.6422526446795271
Middle FFTs X Gyro,0.4901057871810828,0.6143746110765401,0.5604853764779091,0.6452395768512756,0.5196017423771002,0.6121344119477287
Middle FFTs Y Gyro,0.45737398879900437,0.6644057249533292,0.6021157436216553,0.6868699439950218,0.5003111387678905,0.6605476042314872
Middle FFTs Z Gyro,0.34150591163658994,0.38114499066583696,0.35513378967019293,0.44449284380833853,0.35258245177349096,0.39502177971375235
Middle PSDLogs X Accel,0.5406347230864965,0.5504044803982577,0.48823895457373984,0.5758556316116988,0.48599875544492843,0.5819539514623522
Middle PSDLogs Y Accel,0.5640323584318606,0.5574984443061606,0.49583074051026754,0.5904791537025513,0.5057249533291848,0.6021157436216552
Middle PSDLogs Z Accel,0.5979464841319229,0.6065961418792781,0.5418170504044804,0.6350964530180461,0.5496577473553205,0.6413192283758556
Middle PSDLogs X Gyro,0.5951462352209085,0.5800871188550094,0.529247044181705,0.608462974486621,0.5419415059116366,0.6251400124455507
Middle PSDLogs Y Gyro,0.6286247666459241,0.645364032358432,0.5869321717486,0.6655258245177349,0.578593652769135,0.6706285003111387
Middle PSDLogs Z Gyro,0.2963285625388924,0.3140012445550716,0.28021157436216554,0.35762289981331674,0.295457373988799,0.35413814561294343
Middle AllFeats X Accel,0.4932794026135657,0.5617299315494709,0.5015556938394524,0.5965774735532048,0.46521468574984437,0.5891101431238333
Middle AllFeats Y Accel,0.468201617921593,0.5917237087741132,0.5188550093341631,0.6222775357809583,0.4387056627255756,0.6018668326073429
Middle AllFeats Z Accel,0.6235220908525202,0.686309894212819,0.6293714996888613,0.7126944617299316,0.5621655258245177,0.7000622277535781
Middle AllFeats X Gyro,0.5256378344741754,0.637710018668326,0.567579340385812,0.6523335407591786,0.5027380211574363,0.6375855631611699
Middle AllFeats Y Gyro,0.5904169259489731,0.6686994399502179,0.6082140634723087,0.6924704418170504,0.543497199751089,0.6775357809583074
Middle AllFeats Z Gyro,0.2641568139390168,0.25880522713130055,0.22800248911014315,0.2983198506533914,0.27853142501555694,0.3115121344119477
Middle Combined X Accel,0.5061605476042315,0.5640323584318606,0.5053515868077162,0.591599253266957,0.486994399502178,0.5908525202240199
Middle Combined Y Accel,0.5281891723708775,0.5840696950840074,0.5164903546981954,0.6083385189794649,0.4937772246421904,0.6145612943372744
Middle Combined Z Accel,0.5702551337896702,0.6277535780958308,0.5627255756067207,0.6481020535158681,0.5426260112009956,0.6444306160547604
Middle Combined X Gyro,0.5521468574984443,0.5974486621032982,0.5446172993154947,0.6246421904169259,0.526011200995644,0.6249533291848165
Middle Combined Y Gyro,0.5728686994399503,0.6487243310516491,0.5976353453640324,0.6777846919726198,0.5583074051026757,0.6762912258867455
Middle Combined Z Gyro,0.2937149968886123,0.3789047915370255,0.3449284380833852,0.4261356565028002,0.3431860609831985,0.4251400124455508
Left TimeFeats X Accel,0.2945007893295005,0.37361368134095657,0.322854099782818,0.4124271559414754,0.32982727565222836,0.41865825913505306
Left TimeFeats Y Accel,0.30078900268981534,0.3703559180757518,0.32256781362509684,0.39950792115561556,0.32834128382020766,0.4136272211075255
Left TimeFeats Z Accel,0.41145448564819065,0.48713795708354796,0.4221449532832301,0.5228074312173813,0.42637551756599257,0.5184642152924196
Left TimeFeats X Gyro,0.26700659879789224,0.29638776152820595,0.27935331028991217,0.34897691098869876,0.2997601863213062,0.3493199968430088
Left TimeFeats Y Gyro,0.28146810221526986,0.3107353224011892,0.28038119524797656,0.3454322733065447,0.3112493302423579,0.351949744360514
Left TimeFeats Z Gyro,0.24757000734180198,0.2837543717056462,0.24728543694016308,0.3135930367101537,0.29267167896210156,0.330055994108257
