Vector,Naive Bayes,k Nearest,Decision Tree,Random Forest,AdaBoost,Support Vector Machine
Middle TimeFeats X Accel,0.42326984236332504,0.4421387356116037,0.3776649423716763,0.4713258755056634,0.4246945872691593,0.4893971130759055
Middle TimeFeats Y Accel,0.41266609432074486,0.4963515709563257,0.43438584217225423,0.5255957071456263,0.4075937489946848,0.516702059178012
Middle TimeFeats Z Accel,0.4749733784407776,0.5378514053941112,0.48449367695318735,0.5774708007719521,0.456960648185006,0.5719414452427752
Middle TimeFeats X Gyro,0.4529132125796088,0.5210916837725958,0.4521156381391652,0.5527880741913691,0.45177271801164165,0.5530727957072756
Middle TimeFeats Y Gyro,0.4778808556463215,0.5967961843027524,0.5330058429326381,0.6250722445914448,0.5356867647388552,0.6167486408138317
Middle TimeFeats Z Gyro,0.20698867515458702,0.19689860865999237,0.17683271197406375,0.21913127442611327,0.2184471726555562,0.2376580111802425
Middle FreqFeats X Accel,0.38781213514166046,0.36523802777220843,0.32060154487905834,0.359422423460377,0.40189114617470045,0.41979261342311497
Middle FreqFeats Y Accel,0.4175697254136862,0.40605406914229025,0.3463123494464308,0.39835747335488186,0.3957937286527915,0.45730295090682277
Middle FreqFeats Z Accel,0.4513741663804395,0.4492073160626543,0.3965909943903817,0.44191133534131,0.44396225961390046,0.48728748651862147
Middle FreqFeats X Gyro,0.4559345848905226,0.4521720982662923,0.4078789091935934,0.4459575523828123,0.45069053578792173,0.49486906612187653
Middle FreqFeats Y Gyro,0.4775392840628415,0.4821002224935197,0.4307942631961533,0.4771399200557095,0.45581940623118333,0.5228029374213823
Middle FreqFeats Z Gyro,0.18435766897500577,0.1698785465489783,0.16178307417999585,0.16828260153967983,0.20083224664513116,0.20396761154652654
Middle FFTs X Accel,0.36250179941268473,0.4261779532220942,0.38319470408881806,0.4719527860107565,0.3957931762371592,0.4703577346149809
Middle FFTs Y Accel,0.4675631776636913,0.5668679138478575,0.4993162394273335,0.5933759679053017,0.49897353051755167,0.5917234002936901
Middle FFTs Z Accel,0.439003988115915,0.5662977396777077,0.4960662970247869,0.5948581965319346,0.4836979547298639,0.5716570324297222
Middle FFTs X Gyro,0.4329602036528971,0.5222321620930443,0.4579865652518219,0.5493668666952839,0.48426682909852586,0.5515339444783296
Middle FFTs Y Gyro,0.47691235731022974,0.6105922123043758,0.5431533281579571,0.6357884254627212,0.507467765735478,0.6051761344748623
Middle FFTs Z Gyro,0.25396194116253595,0.254760344226428,0.2330401901869537,0.30116234748048104,0.2766498299047278,0.29278264102115004
Middle PSDLogs X Accel,0.44253790464851256,0.41392095517212135,0.3553189339158177,0.4497788062818106,0.3981282046199494,0.4614069928670144
Middle PSDLogs Y Accel,0.5426980239442931,0.5186977418873703,0.4558204948149294,0.5465159633494975,0.4803893587851795,0.5690339030471572
Middle PSDLogs Z Accel,0.5358558851599389,0.5275349459753759,0.46556978585445535,0.5601407587526195,0.4758849129766656,0.5723405005470539
Middle PSDLogs X Gyro,0.5039331505595808,0.4907649916666477,0.43535526661690593,0.5265083302652602,0.47417583649537126,0.5403040820590675
Middle PSDLogs Y Gyro,0.5638465252894252,0.5802641066643096,0.5058712683105473,0.6052905007582717,0.5072401704949612,0.6065449066791274
Middle PSDLogs Z Gyro,0.24558179602020283,0.2509979063447535,0.21667975133497736,0.2871391304263057,0.2653056499446122,0.26906747042058005
Middle AllFeats X Accel,0.41500479464273815,0.45217221199892244,0.3971613472832362,0.48888344777543846,0.43968792741128604,0.49669413363844017
Middle AllFeats Y Accel,0.4435068091725691,0.5290157285728536,0.4573028371741926,0.554098290338608,0.44538815809355514,0.546117184253035
Middle AllFeats Z Accel,0.49886064275833475,0.5546113707284055,0.49880242789919904,0.5864211525794724,0.47531637980589414,0.5783260539034176
Middle AllFeats X Gyro,0.48973957827290826,0.5521615373792038,0.481814136186051,0.5771287417629142,0.4997712349381441,0.5780406987342858
Middle AllFeats Y Gyro,0.5030776374678176,0.600216725650575,0.5446361092002224,0.633279646116047,0.47976334189360925,0.6172042049877933
Middle AllFeats Z Gyro,0.2068750400095145,0.19638614567590165,0.1804808648099219,0.2165083887563272,0.22072762562337664,0.2427317050503462
Middle Combined X Accel,0.40776384426688433,0.43011061635611697,0.37988836654921876,0.4606094184265708,0.4195071282738344,0.47474685553648815
Middle Combined Y Accel,0.5273627710207959,0.5466879108388172,0.4867736262479313,0.5746213272078021,0.5101468515720937,0.58442655845386
Middle Combined Z Accel,0.5019378902857061,0.5436094122525137,0.4846092293054543,0.5676091743888414,0.49714984404006896,0.5675531854397537
Middle Combined X Gyro,0.47411908391290936,0.5037056365566569,0.44556004059280047,0.5302126670204294,0.4635163269689636,0.5448637694308137
Middle Combined Y Gyro,0.53654063683124,0.5942307986012836,0.5317528342983818,0.6150947084106579,0.5224031347312482,0.6154939424376412
Middle Combined Z Gyro,0.23321262510183133,0.26975269326992035,0.24677920564581773,0.3048690888684026,0.267529626537787,0.31820685560797723
